x(m),wallHeatFlux(W/m2)
1.841844051012753170e-02,1.699931496343018080e+05
1.907604501125303997e-02,1.619753043926502869e+05
1.973364951237810069e-02,1.551661016896725923e+05
2.039125401350316835e-02,1.492619867949105101e+05
2.104885851462868010e-02,1.440534826958708873e+05
2.170646301575418144e-02,1.393961934897720057e+05
2.236406751687924910e-02,1.351899535363732139e+05
2.302167201800430982e-02,1.313637589665550913e+05
2.367927651913026912e-02,1.278658681541885016e+05
2.433688102025532984e-02,1.246564984293551970e+05
2.499448552138039056e-02,1.217036021968537971e+05
2.565209002250589884e-02,1.189805370480784040e+05
2.630969452363096997e-02,1.164643684787147067e+05
2.696729902475647131e-02,1.141352840873490059e+05
2.762490352588153897e-02,1.119761990111527994e+05
2.828250802700705072e-02,1.099719957619088964e+05
2.894011252813211144e-02,1.081112177653472027e+05
2.959771702925761971e-02,1.063821321588797000e+05
3.025532153038268043e-02,1.047743287630631967e+05
3.091292603150818871e-02,1.032794225563073996e+05
3.157053053263326331e-02,1.018902204657020047e+05
3.222813503375832056e-02,1.006006016183796019e+05
3.288573953488382884e-02,9.940486679396081308e+04
3.354334403600889303e-02,9.829762537194939796e+04
3.420094853713440131e-02,9.727361858876053884e+04
3.485855303825990958e-02,9.632834615635259252e+04
3.551615753938496683e-02,9.545777833855085191e+04
3.617376204051003796e-02,9.465853599481972924e+04
3.683136654163599033e-02,9.392754017651644244e+04
3.748897104276061043e-02,9.326236479609843809e+04
3.814657554388566768e-02,9.266104038014885737e+04
3.880418004501162699e-02,9.212199529095932667e+04
3.946178454613624709e-02,9.164407414279498335e+04
4.011938904726219945e-02,9.122653640216782514e+04
4.077699354838725671e-02,9.086896318142721429e+04
4.143459804951277192e-02,9.057129565424499742e+04
4.209220255063784305e-02,9.033387535479497456e+04
4.274980705176333745e-02,9.015734121067145315e+04
4.340741155288840858e-02,9.004264925015345216e+04
4.406501605401347277e-02,8.999101831783811213e+04
4.472262055513898105e-02,9.000390775107689842e+04
4.538022505626405217e-02,9.008295898153941380e+04
4.603782955738954658e-02,9.022992430489731487e+04
4.669543405851461770e-02,9.044661932163601159e+04
4.735303855964013292e-02,9.073479045421397313e+04
4.801064306076519017e-02,9.109605500344274333e+04
4.866824756189069845e-02,9.153174201369070215e+04
4.932585206301576264e-02,9.204275357428446296e+04
4.998345656414082683e-02,9.262947090220313112e+04
5.064106106526634205e-02,9.329160031732612697e+04
5.129866556639184338e-02,9.402802630800387124e+04
