x(m),wallP(Pa)
2.350284001500373865e+00,2.218703476967605184e+03
2.350941606001499817e+00,2.218699272990253121e+03
2.351599210502624882e+00,2.218695071172464850e+03
2.352256815003749946e+00,2.218690871553129000e+03
2.352914419504875010e+00,2.218686674130869960e+03
2.353572024006000962e+00,2.218682478961606193e+03
2.354229628507126026e+00,2.218678286067634872e+03
2.354887233008251979e+00,2.218674095466696144e+03
2.355544837509377043e+00,2.218669907201853221e+03
2.356202442010502107e+00,2.218665721281452079e+03
2.356860046511627171e+00,2.218661537731179124e+03
2.357517651012753124e+00,2.218657356579125917e+03
2.358175255513878188e+00,2.218653177857338960e+03
2.358832860015002808e+00,2.218649001573325222e+03
2.359490464516127872e+00,2.218644827748245007e+03
2.360148069017253825e+00,2.218640656385844068e+03
2.360805673518378889e+00,2.218636487529503938e+03
2.361463278019503953e+00,2.218632321165065150e+03
2.362120882520629017e+00,2.218628157314291002e+03
2.362778487021754970e+00,2.218623995983701207e+03
2.363436091522880034e+00,2.218619837209500020e+03
2.364093696024005986e+00,2.218615680972939117e+03
2.364751300525131050e+00,2.218611527308054065e+03
2.365408905026256114e+00,2.218607376190352170e+03
2.366066509527381179e+00,2.218603227597859131e+03
2.366724114028507131e+00,2.218599081555992143e+03
2.367381718529632195e+00,2.218594938066787108e+03
2.368039323030756815e+00,2.218590797163153184e+03
2.368696927531881880e+00,2.218586658802596048e+03
2.369354532033007832e+00,2.218582523122131988e+03
2.370012136534132896e+00,2.218578390292333097e+03
2.370669741035257960e+00,2.218574259828577851e+03
2.371327345536383024e+00,2.218570131935526206e+03
2.371984950037508977e+00,2.218566006444330014e+03
2.372642554538634041e+00,2.218561883456955911e+03
2.373300159039759993e+00,2.218557762986872149e+03
2.373957763540885058e+00,2.218553645020814201e+03
2.374615368042010122e+00,2.218549529526490915e+03
2.375272972543135186e+00,2.218545416487951115e+03
2.375930577044261138e+00,2.218541305898052997e+03
2.376588181545386202e+00,2.218537197732589902e+03
2.377245786046510823e+00,2.218533091978346874e+03
2.377903390547635887e+00,2.218528988603587095e+03
2.378560995048761839e+00,2.218524887588685033e+03
2.379218599549886903e+00,2.218520788914022887e+03
2.379876204051011968e+00,2.218516692551670076e+03
2.380533808552137032e+00,2.218512598459477886e+03
2.381191413053262984e+00,2.218508506612904966e+03
2.381849017554388048e+00,2.218504417012058184e+03
2.382506622055513112e+00,2.218500329618771957e+03
2.383164226556639065e+00,2.218496244381026827e+03
2.383821831057764129e+00,2.218492161278942149e+03
2.384479435558889193e+00,2.218488080289189838e+03
2.385137040060013813e+00,2.218484001373607043e+03
2.385794644561140210e+00,2.218479924485297033e+03
2.386452249062264830e+00,2.218475849617843778e+03
2.387109853563389894e+00,2.218471776720251910e+03
2.387767458064514958e+00,2.218467705756248051e+03
2.388425062565640911e+00,2.218463636691968077e+03
2.389082667066765975e+00,2.218459569494727020e+03
2.389740271567891039e+00,2.218455504129272867e+03
2.390397876069016991e+00,2.218451440551616088e+03
