x(m),wallHeatFlux(W/m2)
2.350459999999999994e+00,7.428569999999999709e+04
2.351119999999999877e+00,7.428210000000000582e+04
2.351780000000000204e+00,7.427930000000000291e+04
2.352449999999999708e+00,7.427700000000000000e+04
2.353110000000000035e+00,7.427460000000000582e+04
2.353769999999999918e+00,7.427180000000000291e+04
2.354429999999999801e+00,7.426869999999999709e+04
2.355099999999999749e+00,7.426510000000000582e+04
2.355760000000000076e+00,7.426100000000000000e+04
2.356419999999999959e+00,7.425680000000000291e+04
2.357079999999999842e+00,7.425269999999999709e+04
2.357750000000000234e+00,7.424869999999999709e+04
2.358410000000000117e+00,7.424489999999999418e+04
2.359070000000000000e+00,7.424200000000000000e+04
2.359729999999999883e+00,7.423960000000000582e+04
2.360400000000000276e+00,7.423719999999999709e+04
2.361060000000000159e+00,7.423460000000000582e+04
2.361720000000000041e+00,7.423139999999999418e+04
2.362380000000000368e+00,7.422789999999999418e+04
2.363050000000000317e+00,7.422419999999999709e+04
2.363710000000000200e+00,7.422050000000000000e+04
2.364370000000000083e+00,7.421669999999999709e+04
2.365030000000000410e+00,7.421300000000000000e+04
2.365699999999999914e+00,7.420910000000000582e+04
2.366360000000000241e+00,7.420560000000000582e+04
2.367020000000000124e+00,7.420289999999999418e+04
2.367690000000000072e+00,7.420069999999999709e+04
2.368349999999999955e+00,7.419819999999999709e+04
2.369010000000000282e+00,7.419539999999999418e+04
2.369670000000000165e+00,7.419219999999999709e+04
2.370340000000000114e+00,7.418889999999999418e+04
2.370999999999999996e+00,7.418530000000000291e+04
2.371659999999999879e+00,7.418160000000000582e+04
2.372320000000000206e+00,7.417789999999999418e+04
2.372989999999999711e+00,7.417410000000000582e+04
2.373650000000000038e+00,7.417060000000000582e+04
2.374309999999999921e+00,7.416789999999999418e+04
2.374969999999999803e+00,7.416560000000000582e+04
2.375639999999999752e+00,7.416319999999999709e+04
2.376300000000000079e+00,7.416039999999999418e+04
2.376959999999999962e+00,7.415739999999999418e+04
2.377619999999999845e+00,7.415410000000000582e+04
2.378289999999999793e+00,7.415060000000000582e+04
2.378949999999999676e+00,7.414700000000000000e+04
2.379610000000000003e+00,7.414300000000000000e+04
2.380269999999999886e+00,7.413850000000000000e+04
2.380940000000000278e+00,7.413419999999999709e+04
2.381600000000000161e+00,7.413130000000000291e+04
2.382260000000000488e+00,7.412919999999999709e+04
2.382919999999999927e+00,7.412650000000000000e+04
2.383590000000000320e+00,7.412339999999999418e+04
2.384250000000000203e+00,7.412039999999999418e+04
2.384910000000000085e+00,7.411739999999999418e+04
2.385580000000000034e+00,7.411369999999999709e+04
2.386239999999999917e+00,7.410969999999999709e+04
2.386900000000000244e+00,7.410610000000000582e+04
2.387560000000000127e+00,7.410269999999999709e+04
2.388230000000000075e+00,7.409869999999999709e+04
2.388889999999999958e+00,7.409489999999999418e+04
2.389550000000000285e+00,7.409230000000000291e+04
2.390210000000000168e+00,7.409030000000000291e+04
2.390880000000000116e+00,7.408769999999999709e+04
2.391539999999999999e+00,7.408469999999999709e+04
2.392199999999999882e+00,7.408180000000000291e+04
2.392860000000000209e+00,7.407880000000000291e+04
2.393530000000000157e+00,7.407519999999999709e+04
2.394190000000000040e+00,7.407139999999999418e+04
2.394849999999999923e+00,7.406789999999999418e+04
2.395510000000000250e+00,7.406450000000000000e+04
2.396179999999999755e+00,7.406089999999999418e+04
2.396840000000000082e+00,7.405780000000000291e+04
2.397499999999999964e+00,7.405560000000000582e+04
2.398159999999999847e+00,7.405330000000000291e+04
2.398829999999999796e+00,7.405039999999999418e+04
2.399489999999999679e+00,7.404719999999999709e+04
2.400150000000000006e+00,7.404410000000000582e+04
2.400809999999999889e+00,7.404089999999999418e+04
2.401480000000000281e+00,7.403719999999999709e+04
2.402139999999999720e+00,7.403319999999999709e+04
2.402800000000000047e+00,7.402960000000000582e+04
2.403459999999999930e+00,7.402639999999999418e+04
2.404130000000000322e+00,7.402350000000000000e+04
2.404790000000000205e+00,7.402060000000000582e+04
2.405450000000000088e+00,7.401739999999999418e+04
2.406120000000000037e+00,7.401439999999999418e+04
2.406780000000000364e+00,7.401150000000000000e+04
2.407440000000000246e+00,7.400789999999999418e+04
2.408100000000000129e+00,7.400400000000000000e+04
2.408770000000000078e+00,7.400039999999999418e+04
2.409429999999999961e+00,7.399700000000000000e+04
2.410090000000000288e+00,7.399319999999999709e+04
2.410750000000000171e+00,7.398910000000000582e+04
2.411420000000000119e+00,7.398589999999999418e+04
2.412080000000000002e+00,7.398360000000000582e+04
2.412739999999999885e+00,7.398119999999999709e+04
2.413400000000000212e+00,7.397839999999999418e+04
2.414070000000000160e+00,7.397569999999999709e+04
2.414730000000000043e+00,7.397289999999999418e+04
2.415389999999999926e+00,7.396939999999999418e+04
2.416050000000000253e+00,7.396569999999999709e+04
2.416719999999999757e+00,7.396219999999999709e+04
2.417380000000000084e+00,7.395880000000000291e+04
2.418039999999999967e+00,7.395519999999999709e+04
2.418699999999999850e+00,7.395150000000000000e+04
2.419369999999999798e+00,7.394900000000000000e+04
2.420030000000000125e+00,7.394710000000000582e+04
2.420690000000000008e+00,7.394450000000000000e+04
2.421349999999999891e+00,7.394139999999999418e+04
2.422019999999999840e+00,7.393839999999999418e+04
2.422679999999999723e+00,7.393539999999999418e+04
2.423340000000000050e+00,7.393189999999999418e+04
2.424010000000000442e+00,7.392819999999999709e+04
2.424670000000000325e+00,7.392469999999999709e+04
2.425329999999999764e+00,7.392130000000000291e+04
2.425989999999999647e+00,7.391760000000000582e+04
2.426660000000000039e+00,7.391410000000000582e+04
2.427320000000000366e+00,7.391100000000000000e+04
2.427980000000000249e+00,7.390839999999999418e+04
2.428640000000000132e+00,7.390589999999999418e+04
2.429310000000000080e+00,7.390269999999999709e+04
2.429969999999999963e+00,7.389919999999999709e+04
2.430630000000000290e+00,7.389580000000000291e+04
2.431290000000000173e+00,7.389239999999999418e+04
2.431960000000000122e+00,7.388850000000000000e+04
2.432620000000000005e+00,7.388439999999999418e+04
2.433280000000000332e+00,7.388069999999999709e+04
2.433940000000000214e+00,7.387760000000000582e+04
2.434610000000000163e+00,7.387480000000000291e+04
2.435270000000000046e+00,7.387230000000000291e+04
2.435929999999999929e+00,7.387030000000000291e+04
2.436590000000000256e+00,7.386800000000000000e+04
2.437260000000000204e+00,7.386489999999999418e+04
2.437920000000000087e+00,7.386130000000000291e+04
2.438579999999999970e+00,7.385789999999999418e+04
2.439239999999999853e+00,7.385460000000000582e+04
2.439909999999999801e+00,7.385089999999999418e+04
2.440570000000000128e+00,7.384700000000000000e+04
2.441230000000000011e+00,7.384369999999999709e+04
2.441899999999999959e+00,7.384139999999999418e+04
2.442559999999999842e+00,7.383900000000000000e+04
2.443219999999999725e+00,7.383630000000000291e+04
2.443880000000000052e+00,7.383380000000000291e+04
2.444550000000000445e+00,7.383119999999999709e+04
2.445209999999999884e+00,7.382769999999999709e+04
2.445869999999999767e+00,7.382400000000000000e+04
2.446530000000000094e+00,7.382069999999999709e+04
2.447200000000000042e+00,7.381739999999999418e+04
2.447860000000000369e+00,7.381369999999999709e+04
2.448520000000000252e+00,7.381010000000000582e+04
2.449179999999999691e+00,7.380760000000000582e+04
2.449850000000000083e+00,7.380560000000000582e+04
2.450510000000000410e+00,7.380300000000000000e+04
2.451170000000000293e+00,7.379969999999999709e+04
2.451830000000000176e+00,7.379589999999999418e+04
2.452500000000000124e+00,7.379239999999999418e+04
2.453160000000000007e+00,7.378900000000000000e+04
2.453820000000000334e+00,7.378519999999999709e+04
2.454480000000000217e+00,7.378119999999999709e+04
2.455150000000000166e+00,7.377780000000000291e+04
2.455810000000000048e+00,7.377460000000000582e+04
2.456469999999999931e+00,7.377110000000000582e+04
2.457130000000000258e+00,7.376800000000000000e+04
2.457800000000000207e+00,7.376600000000000000e+04
2.458460000000000090e+00,7.376389999999999418e+04
2.459119999999999973e+00,7.376119999999999709e+04
2.459780000000000300e+00,7.375800000000000000e+04
2.460449999999999804e+00,7.375480000000000291e+04
2.461110000000000131e+00,7.375169999999999709e+04
2.461770000000000014e+00,7.374810000000000582e+04
2.462439999999999962e+00,7.374410000000000582e+04
2.463099999999999845e+00,7.374039999999999418e+04
2.463760000000000172e+00,7.373730000000000291e+04
2.464420000000000055e+00,7.373460000000000582e+04
2.465090000000000003e+00,7.373219999999999709e+04
2.465749999999999886e+00,7.373000000000000000e+04
2.466409999999999769e+00,7.372780000000000291e+04
2.467070000000000096e+00,7.372469999999999709e+04
2.467740000000000045e+00,7.372119999999999709e+04
2.468399999999999928e+00,7.371800000000000000e+04
2.469059999999999810e+00,7.371469999999999709e+04
2.469719999999999693e+00,7.371080000000000291e+04
2.470390000000000086e+00,7.370680000000000291e+04
2.471050000000000413e+00,7.370330000000000291e+04
2.471710000000000296e+00,7.370030000000000291e+04
2.472369999999999735e+00,7.369750000000000000e+04
2.473040000000000127e+00,7.369510000000000582e+04
2.473700000000000010e+00,7.369300000000000000e+04
2.474360000000000337e+00,7.369089999999999418e+04
2.475020000000000220e+00,7.368789999999999418e+04
2.475690000000000168e+00,7.368389999999999418e+04
2.476350000000000051e+00,7.367960000000000582e+04
2.477010000000000378e+00,7.367580000000000291e+04
2.477670000000000261e+00,7.367239999999999418e+04
2.478340000000000209e+00,7.366860000000000582e+04
2.479000000000000092e+00,7.366489999999999418e+04
2.479659999999999975e+00,7.366230000000000291e+04
2.480320000000000302e+00,7.366039999999999418e+04
2.480989999999999807e+00,7.365800000000000000e+04
2.481650000000000134e+00,7.365500000000000000e+04
2.482310000000000016e+00,7.365219999999999709e+04
2.482979999999999965e+00,7.364930000000000291e+04
2.483639999999999848e+00,7.364569999999999709e+04
2.484300000000000175e+00,7.364189999999999418e+04
2.484960000000000058e+00,7.363850000000000000e+04
2.485630000000000006e+00,7.363530000000000291e+04
2.486289999999999889e+00,7.363189999999999418e+04
2.486949999999999772e+00,7.362900000000000000e+04
2.487610000000000099e+00,7.362700000000000000e+04
2.488280000000000047e+00,7.362510000000000582e+04
2.488939999999999930e+00,7.362230000000000291e+04
2.489599999999999813e+00,7.361910000000000582e+04
2.490260000000000140e+00,7.361610000000000582e+04
2.490930000000000089e+00,7.361300000000000000e+04
2.491590000000000416e+00,7.360930000000000291e+04
2.492249999999999854e+00,7.360539999999999418e+04
2.492909999999999737e+00,7.360200000000000000e+04
2.493580000000000130e+00,7.359880000000000291e+04
2.494240000000000013e+00,7.359539999999999418e+04
2.494900000000000340e+00,7.359260000000000582e+04
2.495559999999999778e+00,7.359050000000000000e+04
2.496230000000000171e+00,7.358839999999999418e+04
2.496890000000000054e+00,7.358569999999999709e+04
2.497550000000000381e+00,7.358250000000000000e+04
2.498210000000000264e+00,7.357950000000000000e+04
2.498880000000000212e+00,7.357660000000000582e+04
2.499540000000000095e+00,7.357300000000000000e+04
2.500199999999999978e+00,7.356869999999999709e+04
2.500860000000000305e+00,7.356430000000000291e+04
2.501530000000000253e+00,7.356069999999999709e+04
2.502190000000000136e+00,7.355819999999999709e+04
2.502850000000000019e+00,7.355580000000000291e+04
2.503519999999999968e+00,7.355319999999999709e+04
2.504179999999999851e+00,7.355080000000000291e+04
2.504840000000000177e+00,7.354819999999999709e+04
2.505500000000000060e+00,7.354489999999999418e+04
2.506170000000000009e+00,7.354119999999999709e+04
2.506829999999999892e+00,7.353789999999999418e+04
2.507489999999999775e+00,7.353460000000000582e+04
2.508150000000000102e+00,7.353080000000000291e+04
2.508820000000000050e+00,7.352719999999999709e+04
2.509479999999999933e+00,7.352489999999999418e+04
2.510139999999999816e+00,7.352310000000000582e+04
2.510800000000000143e+00,7.352060000000000582e+04
2.511469999999999647e+00,7.351769999999999709e+04
2.512129999999999974e+00,7.351489999999999418e+04
2.512789999999999857e+00,7.351210000000000582e+04
2.513449999999999740e+00,7.350860000000000582e+04
2.514120000000000132e+00,7.350489999999999418e+04
