x(m),wallHeatFlux(W/m2)
7.323325316703110932e-01,8.357970578345441659e-02
6.622387566249861024e-01,4.428646859438170047e-01
9.955061196763970166e-02,1.591360861611568200e-01
8.789854896109436933e-01,2.433671409965695309e-01
7.732705129856414228e-01,6.069872627096436490e-01
5.568860390696007689e-01,2.504067595124106482e-01
6.507699873872085927e-01,3.888045394098282870e-02
7.566458402364644176e-01,3.083125293516074672e-01
5.874095053166998870e-01,8.311409464225419930e-01
4.708576140149584033e-01,3.932989328629394876e-01
6.690909080368101503e-01,5.994205884393282169e-01
3.764850479962378316e-01,2.856181342821985103e-01
2.193314248969362446e-01,2.480655736713014425e-01
5.167993430489721263e-01,2.219189756126679347e-01
4.926194028599294450e-01,6.481077460477007168e-01
2.805314840921289132e-01,6.940416757925671476e-02
5.436817105992938215e-01,3.161358417975776991e-01
4.767435402540581846e-01,5.292171965067518080e-01
6.149117701230583100e-01,1.135041049144003278e-02
7.276917818689246920e-01,1.159500370246955292e-01
1.353858203028661666e-01,3.837848280318245653e-01
9.005617995243820895e-01,5.699458568304318629e-01
5.796696151113349682e-01,8.985967928722372600e-01
7.415089199927332730e-01,6.178282494543683168e-01
7.106535539476600549e-01,2.552856998066733718e-01
1.618068389596627465e-01,6.581544830253542866e-01
8.107446902416663992e-01,8.830017595724207746e-01
5.823315896721151796e-01,5.401026053708949393e-01
1.968528947609219371e-01,2.441723515262180788e-01
7.111342955217803130e-02,5.016404148111863748e-01
5.861614960775994865e-01,1.239582614230549940e-02
2.492985926674899932e-01,2.253825614547866341e-02
5.313344153524907076e-01,7.333092545556388897e-01
9.726503907631266488e-01,7.290993876408929930e-01
1.286861696273260414e-01,6.256395020722637090e-01
2.281796281802775939e-01,5.637168801368215298e-01
1.061943509969736077e-01,4.972842346432773120e-01
9.167188386711702108e-01,9.851746759928888819e-01
1.551867751997406675e-01,7.935631689438683578e-01
1.181867459752994343e-01,6.444545034549625795e-01
5.553601140141146697e-01,2.495006269428838852e-01
4.044888345841956001e-01,8.816234319230770167e-01
3.034976283149687371e-01,7.664470502859894729e-01
6.118687556085160573e-01,5.466286966689004601e-01
1.760624600554564489e-01,2.610144113547362421e-01
3.697137165250137247e-01,8.642793858597066503e-01
7.557214498533435520e-01,6.974924556955822696e-01
3.698293672435428725e-01,7.989712827178939714e-01
4.430398607722105808e-01,3.369241547747743315e-01
4.019474828496978347e-01,6.639818189436832441e-01
5.255747842517241031e-01,3.562168760118622490e-02
3.436661251592810773e-01,1.787335959575014899e-01
1.006701595822881989e-01,3.442369129948077422e-01
8.283857954668050194e-01,8.674131176330777127e-01
8.580580679430017677e-01,9.724285446531875099e-01
7.619499243716174597e-01,6.272096082705639342e-01
2.313766202719640397e-01,2.548785636687733724e-02
3.271534037239119952e-01,4.487260076512012974e-01
1.360263372780357027e-01,5.516745215739707886e-01
9.123028964056478785e-01,3.504305428692947588e-01
4.287944543864345981e-01,9.809308472274501645e-01
5.183254632099462134e-01,9.094102784510229576e-01
1.701319009741009136e-01,9.108381969462855388e-01
3.248670811240789158e-01,3.380819676898929593e-01
9.128597516305818615e-01,2.077132517852842142e-01
4.989510338984372018e-01,5.926410308027415530e-01
6.414215021120545090e-01,8.709562731506241828e-01
5.697663527508520787e-01,9.026059342383929707e-01
3.083265434289017559e-02,2.073793884129984111e-01
2.736121401623543559e-01,7.109667169630218275e-01
2.984762969500377450e-01,8.753672964493719455e-02
2.976120261255659205e-01,6.890732798411718374e-01
3.881213161988715799e-01,5.052520092719925415e-01
4.719684831202364261e-01,1.462150531241634965e-02
1.808709599852897920e-02,2.828190605901637067e-01
2.605203755366317653e-01,9.072118330066527569e-01
4.751943448745347132e-01,5.737024564964943174e-03
7.499864313233295388e-01,2.683559427203290326e-01
6.789763595121706130e-01,5.952394396787679121e-01
7.515480891649570783e-01,1.870692212139246635e-02
3.521582507811871210e-02,3.329140195646653755e-01
4.692019901248118963e-01,4.841591141833433420e-01
1.380398689424860992e-01,3.450790060304779194e-01
2.765624772282790911e-01,6.530163126300846388e-01
3.473606067902157424e-01,7.254833541452649914e-01
6.063833867671625244e-01,1.042627711653411060e-01
6.875644704321175471e-01,8.040030607599931711e-01
4.332725672311384946e-01,5.534858583139694588e-01
3.651605801893880177e-01,1.039958456003753362e-02
6.691883771387974189e-02,3.513135413791769190e-01
7.259504846150586221e-01,1.901299159683317308e-01
6.523780509037764297e-01,3.812281251182902952e-01
1.518238717190474318e-01,8.727617349130123436e-01
3.582365649997057977e-01,3.170194911484450762e-01
8.936601798730281487e-01,5.810353590242200994e-01
8.038684098456112537e-01,2.325308206175312753e-01
4.735172593447337652e-01,5.070405724507243139e-01
2.291063465942478894e-01,5.459147937120926164e-01
6.518191510284047085e-01,7.086112529179916519e-01
4.613247136969906848e-01,2.260087440392521962e-02
