x(m),wallHeatFlux(W/m2)
0.000000000000000000e+00,2.170993000000000000e+06
6.215620700000000281e-04,1.538240399999999907e+06
1.243124099999999999e-03,7.703648100000000559e+05
1.864686300000000050e-03,5.784215000000000000e+05
2.486248300000000033e-03,4.916170599999999977e+05
3.107810400000000049e-03,4.390191599999999744e+05
3.729372500000000066e-03,3.988402199999999721e+05
4.350934600000000083e-03,3.680030599999999977e+05
4.972496499999999597e-03,3.434321599999999744e+05
5.594058899999999716e-03,3.223565300000000279e+05
6.215620800000000098e-03,3.048409699999999721e+05
6.837182699999999613e-03,2.901409099999999744e+05
7.458745000000000132e-03,2.770345599999999977e+05
8.080307400000000251e-03,2.653485599999999977e+05
8.701869299999999766e-03,2.550094400000000023e+05
9.323431199999999280e-03,2.458674500000000116e+05
9.944993100000000530e-03,2.376223099999999977e+05
1.056655500000000004e-02,2.302241600000000035e+05
1.118811800000000037e-02,2.235220499999999884e+05
1.180967999999999948e-02,2.175300000000000000e+05
1.243124200000000033e-02,2.123387000000000116e+05
1.305280299999999997e-02,2.077686700000000128e+05
1.367436500000000082e-02,2.036518599999999860e+05
1.429592799999999941e-02,2.000916700000000128e+05
1.491749000000000026e-02,1.972401400000000140e+05
1.553905199999999938e-02,1.950232999999999884e+05
1.616061499999999970e-02,1.933129200000000128e+05
1.678217599999999934e-02,1.921566400000000140e+05
1.740373900000000140e-02,1.915944500000000116e+05
1.802530000000000104e-02,1.915167699999999895e+05
1.864686200000000016e-02,1.917113099999999977e+05
1.926842499999999875e-02,1.921317999999999884e+05
1.988998599999999839e-02,1.928220899999999965e+05
2.051154900000000045e-02,1.936051199999999953e+05
2.113311000000000009e-02,1.943186099999999860e+05
2.175467299999999868e-02,1.949349400000000023e+05
2.237623600000000074e-02,1.954746600000000035e+05
2.299779700000000038e-02,1.958948299999999872e+05
2.361935899999999949e-02,1.961565799999999872e+05
2.424091999999999913e-02,1.962504700000000012e+05
2.486248300000000119e-02,1.962213299999999872e+05
2.548404599999999978e-02,1.960586099999999860e+05
2.610560699999999942e-02,1.957751199999999953e+05
2.672717000000000148e-02,1.954122999999999884e+05
2.734873100000000112e-02,1.949500000000000000e+05
2.797029399999999971e-02,1.944203399999999965e+05
2.859185599999999883e-02,1.938356600000000035e+05
2.921341699999999847e-02,1.932013900000000140e+05
2.983498000000000053e-02,1.925298800000000047e+05
3.045654100000000017e-02,1.918217200000000012e+05
3.107810399999999876e-02,1.910608800000000047e+05
3.169966500000000187e-02,1.902934200000000128e+05
3.232122999999999940e-02,1.894758800000000047e+05
3.294279099999999905e-02,1.886425599999999977e+05
3.356435099999999921e-02,1.879326199999999953e+05
3.418591599999999675e-02,1.872123800000000047e+05
3.480747700000000333e-02,1.864190599999999977e+05
3.542903800000000297e-02,1.855951099999999860e+05
3.605059900000000261e-02,1.847903800000000047e+05
3.667216400000000015e-02,1.840424500000000116e+05
