x(m),wallP(Pa)
2.350122520185317754e+00,2.076036250700035453e+03
2.350890599361457944e+00,2.076026451301117959e+03
2.351657831347306438e+00,2.076069879368832972e+03
2.352424219661561899e+00,2.076038586325189954e+03
2.353189767853712588e+00,2.076040400113204669e+03
2.353954479503959973e+00,2.076033777327052576e+03
2.354718358223134356e+00,2.076012697887373179e+03
2.355481407652613157e+00,2.076030702626259426e+03
2.356243631464233879e+00,2.076055898948124195e+03
2.357005033360208390e+00,2.076025068965274386e+03
2.357765617073032338e+00,2.076025983661723785e+03
2.358525386365394994e+00,2.076035971477509065e+03
2.359284345030088659e+00,2.076039062030708919e+03
2.360042496889908747e+00,2.076031041881052261e+03
2.360799845797561858e+00,2.076017003801796363e+03
2.361556395635564520e+00,2.076020220378534304e+03
2.362312150316145498e+00,2.076012502421821864e+03
2.363067113781142314e+00,2.076007818128065537e+03
2.363821290001896891e+00,2.076001713199590995e+03
2.364574682979149856e+00,2.075986096939833260e+03
2.365327296742935737e+00,2.075990222169689787e+03
2.366079135352469720e+00,2.076020812484653561e+03
2.366830202896037960e+00,2.076005813612677230e+03
2.367580503490885668e+00,2.076009922681505941e+03
2.368330041283099874e+00,2.076000996636576019e+03
2.369078820447495737e+00,2.076013117473711191e+03
2.369826845187495756e+00,2.076008490435101066e+03
2.370574119735009866e+00,2.075993497752948315e+03
2.371320648350315086e+00,2.075991286765185123e+03
2.372066435321928513e+00,2.075995307046639482e+03
2.372811484966484752e+00,2.075983563127020261e+03
2.373555801628606687e+00,2.075966776964921337e+03
2.374299389680776695e+00,2.075971583151909726e+03
2.375042253523206526e+00,2.075952996428281949e+03
2.375784397583702301e+00,2.075983351752432554e+03
2.376525826317532619e+00,2.075975342387003366e+03
2.377266544207290888e+00,2.075948420070727479e+03
2.378006555762757657e+00,2.075968587581407064e+03
2.378745865520759395e+00,2.075971742950610860e+03
2.379484478045030826e+00,2.075965468675965440e+03
2.380222397926066158e+00,2.075977836523898986e+03
2.380959629780979192e+00,2.075958633929823009e+03
2.381696178253354113e+00,2.075965563050689070e+03
2.382432048013097159e+00,2.075969406669099044e+03
2.383167243756286080e+00,2.075952173405196390e+03
2.383901770205021364e+00,2.075961041794804714e+03
2.384635632107269032e+00,2.075957105527941167e+03
2.385368834236706981e+00,2.075960047983852746e+03
2.386101381392568221e+00,2.075956078387967409e+03
2.386833278399483227e+00,2.075920325069223964e+03
2.387564530107316063e+00,2.075966480759776459e+03
2.388295141391008514e+00,2.075926434012014397e+03
2.389025117150411770e+00,2.075935607456917751e+03
2.389754462310123451e+00,2.075950340691918427e+03
2.390483181819319292e+00,2.075950062986212743e+03
2.391211280651587501e+00,2.075948430165394711e+03
2.391938763804756007e+00,2.075950826869354842e+03
2.392665636300721932e+00,2.075933521404788280e+03
2.393391903185279723e+00,2.075926541954955155e+03
2.394117569527943523e+00,2.075898541411349015e+03
2.394842640421773972e+00,2.075938022459264175e+03
2.395567120983199239e+00,2.075939055396537242e+03
2.396291016351833836e+00,2.075928741952007840e+03
2.397014331690299649e+00,2.075888482666696746e+03
2.397737072184043861e+00,2.075945800173645239e+03
2.398459243041152433e+00,2.075899337515144907e+03
2.399180849492167145e+00,2.075905227785924126e+03
2.399901896789896849e+00,2.075880713848664982e+03
2.400622390209230517e+00,2.075899757476758623e+03
2.401342335046944942e+00,2.075895106137965286e+03
2.402061736621515564e+00,2.075894568105097278e+03
2.402780600272921063e+00,2.075864678146615461e+03
2.403498931362451962e+00,2.075882866868596466e+03
2.404216735272512562e+00,2.075900205762899986e+03
2.404934017406424207e+00,2.075866422951086861e+03
2.405650783188225894e+00,2.075842348977164875e+03
2.406367038062475316e+00,2.075820836480349953e+03
2.407082787494046805e+00,2.075852004502218733e+03
2.407798036967929711e+00,2.075809764447601083e+03
2.408512791989020574e+00,2.075793704930735203e+03
2.409227058081921058e+00,2.075826504330212174e+03
2.409940840790731009e+00,2.075802666333891011e+03
2.410654145678836180e+00,2.075801916962408995e+03
2.411366978328703059e+00,2.075792252257559994e+03
2.412079344341665710e+00,2.075796346945926416e+03
2.412791249337713051e+00,2.075783829793748737e+03
2.413502698955277914e+00,2.075789262651491299e+03
2.414213698851018997e+00,2.075745987098840942e+03
2.414924254699606365e+00,2.075772644569860859e+03
2.415634372193505186e+00,2.075735274536472843e+03
2.416344057042754123e+00,2.075755675677426098e+03
2.417053314974748623e+00,2.075720331362694651e+03
2.417762151734017984e+00,2.075720006108600955e+03
2.418470573082004194e+00,2.075697950668444719e+03
2.419178584796837672e+00,2.075701176157494046e+03
2.419886192673113889e+00,2.075687943451755928e+03
