x(m),wallP(Pa)
1.777717473215015831e-01,3.800707076811616902e-01
6.258975085043849695e-01,8.016419659385165541e-01
9.310179910986322582e-01,7.943000628473873004e-01
3.156882691306805988e-02,5.568170252708828372e-01
7.399451582135012639e-01,3.712365235400245655e-01
9.474314232868160657e-01,6.891453638479483335e-02
1.953556705249654968e-01,2.860038063728593816e-01
1.899454857291316134e-01,9.758192378628486319e-01
7.091584298819653132e-01,7.970250599702126681e-01
1.246476025401112020e-01,8.363030181744696145e-01
9.264717764092234020e-02,3.730205560668043985e-01
9.494687872856354405e-01,8.787377183015629978e-01
7.258855302577125190e-01,4.395014903293305020e-01
4.618453547224766753e-01,8.906493478105993455e-01
8.267012952850998353e-01,6.052443901442539076e-01
7.001942316854713466e-01,5.304313396375746059e-01
3.465788474856749124e-01,3.937994433828327923e-01
5.626911794502331698e-02,9.216012846500879485e-01
1.323440887113099818e-01,6.411830035511709713e-01
1.055622803687137345e-01,2.273596202026276769e-01
8.762269246080888196e-01,7.943146802229836823e-01
2.982649394087683037e-01,9.783525003256187125e-01
1.084078077917254301e-01,2.870341619949733358e-01
1.551267241470245528e-01,2.639603211485226364e-01
2.368466101460995343e-01,4.397475825818920603e-01
5.876973942684948771e-02,9.190158938439723091e-01
5.624012042190045246e-01,9.239976323907967970e-01
9.918357393614536388e-01,2.818351105653710276e-01
7.123087471884825828e-01,6.172841106583398796e-01
7.423244304372952351e-01,2.697089222672111042e-02
1.078680206232397465e-01,9.606456934212286303e-01
6.528389368419809102e-01,7.524302985093294094e-01
7.756099174601662760e-01,5.359138808930022924e-01
1.308563360341304938e-01,7.487767492561979710e-01
1.976526630021713249e-01,2.789217947112234697e-01
5.445262412636870941e-01,2.061230801265924173e-01
2.433708515920429694e-01,6.546150580805624175e-01
7.895025522662723061e-01,9.779354820020269567e-01
1.074357819912061807e-01,5.197789270264582262e-01
6.823985039014865972e-01,9.060411055358423837e-01
6.154845244286474282e-01,2.671605593626479314e-01
6.411808815866175681e-01,3.104661597779242443e-01
1.401860967727857066e-01,9.856783184730155689e-02
8.460837353644252712e-01,3.387302282625791472e-01
1.035610257229035991e-02,2.795060947960361641e-01
3.303451253629612339e-01,2.827574080799755141e-01
7.154272773774195127e-01,7.133559280315664441e-01
8.054614211417077119e-02,1.110232898562479864e-01
7.062692255667474273e-01,3.808513871418706120e-01
4.259030590138446204e-01,1.595610869707175805e-02
3.626230688256950607e-01,7.855285371725810872e-01
9.067709550876519309e-01,5.666160097458918798e-01
1.182599378999832362e-01,6.918654424735500852e-01
7.971019678291363375e-01,8.913242881026894882e-02
1.352665293409834879e-01,5.686969093996729896e-02
7.292334490253306045e-01,4.311890475611103168e-01
8.581126584606936225e-01,9.507522351361540336e-01
2.520964208882919833e-01,7.382188957654245431e-01
7.357677519862406701e-01,8.136704757255621701e-01
8.630822539903748591e-01,5.131022954267921987e-01
2.598488167131032256e-01,9.968382699890950827e-01
3.108051418300482593e-01,1.013161673537592566e-01
3.052238699811562483e-01,2.134853527662752271e-01
6.188627405433436701e-01,6.289350105088185039e-01
5.482047721003193708e-01,8.536932017128063821e-01
2.648943004597613671e-01,6.568563284407457070e-01
2.149038720157355753e-01,4.787161890633061523e-01
3.617353286903315368e-01,5.826579050793224690e-01
2.460295325769384922e-01,7.739957178548495520e-01
3.977046703207206546e-01,2.334504872622640281e-01
4.545151547086112576e-02,8.475482507660609954e-01
2.239314596074170050e-01,4.567783092694011060e-02
1.695046966908120289e-02,9.533389955225847201e-01
6.640529091417374241e-01,8.505971418369981940e-01
2.338842139611260196e-01,7.595752262002444244e-01
4.752932747731224428e-01,9.799924010709399891e-01
8.681080050726361907e-01,8.625412062589032924e-01
2.949625251997537445e-01,7.575823884887713522e-01
6.939662662978400842e-01,5.104372723739214468e-02
1.284312757104488778e-02,4.318403080132292571e-01
3.532199069746326803e-01,4.874860827882454561e-02
1.340882264307701188e-01,2.838040836084141372e-01
6.804868662988972083e-02,7.995772741978995901e-01
8.931632547742150985e-01,2.446138511387822012e-01
4.845459913587268908e-02,1.658998255445629511e-01
5.936796706171171278e-01,5.469394281660600043e-03
6.555537090009975199e-01,1.296354552333565113e-01
5.690770956675831327e-01,4.291774990306148618e-01
4.470257864366490308e-01,4.458295170367926330e-01
5.902157718444648316e-01,3.700031775672320000e-01
9.795651794220220365e-01,9.829311477776804251e-01
4.070203334529874928e-01,2.843006987446620171e-01
8.975637094736110821e-02,1.729305375414794677e-01
2.126452405072581930e-01,1.153052041005609984e-01
6.147758276375223652e-01,4.039767584547178103e-01
7.410927107694024185e-01,3.850913554418208262e-01
5.830431117471085445e-01,4.140868192838582651e-01
9.932192235247992995e-01,4.622515088088408053e-01
7.004963070769471001e-01,3.312853215608221324e-01
4.571423402617934562e-01,5.318716692819578373e-01
