Solver,Turbulence Model,x$_{sep}$ (m),p$_{peak}$ (kPa),"p$_{peak,loc}$ (m)",q$_{peak}$ (MW/($m^2$)),"q$_{peak,loc}$ (m)"
STAR-CCM+,k-$\omega$ SST,2.571,150.38,2.695,3.722,2.694
Eilmer,k-$\omega$ 2006,2.531,161.82,2.707,4.185,2.706
Ansys Fluent (Aselsan),SA,2.638,103.67,2.676,1.41,2.702
,SA 2-T model,2.636,103.77,2.677,1.392,2.708
,k-$\omega$ SST,2.509,162.8,2.719,3.836,2.718
,k-$\omega$ SST 2-T model,2.489,163.05,2.729,3.809,2.729
SU2,k-$\omega$ SST,2.639,93.62,2.685,1.743,2.678
OVERFLOW,k-$\omega$ SST,2.415,175.32,2.753,2.534,2.742
VULCAN,SA-noft2,2.639,103.87,2.678,1.42,2.698
,SA-noft2 2013 QCR-V,2.549,145.22,2.701,2.44,2.681
,k-$\omega$ SST,2.472,173.18,2.737,4.072,2.737
,k-$\omega$ SST-KL,2.457,171.13,2.745,3.869,2.744
,k-$\omega$ SST-V,2.441,169.78,2.753,3.679,2.753
,k-$\omega$ SST-V no 2/3 rho*k,2.519,161.78,2.713,3.631,2.713
Cadence Fidelity,SSC-EARSM,2.614,109.1,2.672,3.364,2.671
,k-$\omega$ SST a1=0.355,2.563,127.7,2.705,3.888,2.7
