x(m),wallHeatFlux(W/m2)
2.350499629999999840e+00,7.225188748000000487e+04
2.351169586000000145e+00,7.224836482999999134e+04
2.351839542000000005e+00,7.224486513000000559e+04
2.352509498999999948e+00,7.224138751000000047e+04
2.353179454999999809e+00,7.223795287999999709e+04
2.353849411000000114e+00,7.223443000999999640e+04
2.354519366999999974e+00,7.223085628000000725e+04
2.355189322999999835e+00,7.222733744000000297e+04
2.355859279999999778e+00,7.222386156000000483e+04
2.356529236000000083e+00,7.222039584000001196e+04
2.357199191999999943e+00,7.221696116999999504e+04
2.357869147999999804e+00,7.221354849000000104e+04
2.358538865999999956e+00,7.221014594000000216e+04
2.359208821999999817e+00,7.220673713999999745e+04
2.359878778000000121e+00,7.220332660000000033e+04
2.360548735000000065e+00,7.219991350000000966e+04
2.361218690999999925e+00,7.219655137000000104e+04
2.361888646999999786e+00,7.219319933000000310e+04
2.362558603000000090e+00,7.218991902999999002e+04
2.363228558999999951e+00,7.218662793000000238e+04
2.363898515999999894e+00,7.218337951999998768e+04
2.364568472000000199e+00,7.217998603000000003e+04
2.365238428000000059e+00,7.217675400000000081e+04
2.365908383999999920e+00,7.217369877000000270e+04
2.366578340999999863e+00,7.217046585000000778e+04
2.367248297000000168e+00,7.216744673999999941e+04
2.367918253000000028e+00,7.216404260000000068e+04
2.368588208999999889e+00,7.216076626999999280e+04
2.369258165000000194e+00,7.215778504000000248e+04
2.369928122000000137e+00,7.215478108000000066e+04
2.370598077999999997e+00,7.215175072999999975e+04
2.371268033999999858e+00,7.214874202000000514e+04
2.371937752000000010e+00,7.214578384000000369e+04
2.372607707999999871e+00,7.214285172999999486e+04
2.373277664000000176e+00,7.213995828000000620e+04
2.373947620000000036e+00,7.213707825999999477e+04
2.374617576999999979e+00,7.213424048999999650e+04
2.375287532999999840e+00,7.213141245000000345e+04
2.375957489000000145e+00,7.212864734000001044e+04
2.376627445000000005e+00,7.212583870999999635e+04
2.377297400999999866e+00,7.212308849999999802e+04
2.377967357999999809e+00,7.212016126999999688e+04
2.378637314000000114e+00,7.211751969000000099e+04
2.379307269999999974e+00,7.211503007000000798e+04
2.379977225999999835e+00,7.211235086999999476e+04
2.380647182000000139e+00,7.210968938999999955e+04
2.381317139000000083e+00,7.210706183000000601e+04
2.381987094999999943e+00,7.210443210000000545e+04
2.382657050999999804e+00,7.210183179999999993e+04
2.383327007000000108e+00,7.209902241000000504e+04
2.383996964000000052e+00,7.209652223000000231e+04
2.384666919999999912e+00,7.209421407000000181e+04
2.385336636999999982e+00,7.209165192000000388e+04
2.386006593999999925e+00,7.208906694000000425e+04
2.386676549999999786e+00,7.208653194000000076e+04
2.387346506000000090e+00,7.208401896999999008e+04
2.388016461999999951e+00,7.208151105000000098e+04
2.388686418999999894e+00,7.207900454000000900e+04
2.389356375000000199e+00,7.207650750999999582e+04
2.390026331000000059e+00,7.207400016999999934e+04
2.390696286999999920e+00,7.207150594000000274e+04
2.391366242999999780e+00,7.206899696999999287e+04
2.392036200000000168e+00,7.206648940000000584e+04
2.392706156000000028e+00,7.206396347000000242e+04
2.393376111999999889e+00,7.206145066000000224e+04
2.394046068000000194e+00,7.205894731000000320e+04
2.394716024000000054e+00,7.205638088000001153e+04
2.395385980999999997e+00,7.205374781000000075e+04
2.396055936999999858e+00,7.205117621999999392e+04
2.396725893000000163e+00,7.204858190000000468e+04
2.397395849000000023e+00,7.204598904000000039e+04
2.398065804999999884e+00,7.204335739000000467e+04
2.398735523000000036e+00,7.204073967999999877e+04
2.399405478999999897e+00,7.203807073999999557e+04
2.400075435999999840e+00,7.203538721000000078e+04
2.400745392000000145e+00,7.203267301999998745e+04
2.401415348000000005e+00,7.202998887000000104e+04
2.402085303999999866e+00,7.202719736000000557e+04
2.402755260000000170e+00,7.202444756000000052e+04
2.403425217000000114e+00,7.202167521000000124e+04
2.404095172999999974e+00,7.201886063999999897e+04
2.404765128999999835e+00,7.201604322999999567e+04
2.405435085000000139e+00,7.201319529999999213e+04
2.406105042000000083e+00,7.201027676000000793e+04
2.406774997999999943e+00,7.200736424999999872e+04
2.407444953999999804e+00,7.200441689000000770e+04
2.408114910000000108e+00,7.200146314999999595e+04
2.408784865999999969e+00,7.199846298999999999e+04
2.409454822999999912e+00,7.199548490999999922e+04
2.410124779000000217e+00,7.199246404999999504e+04
2.410794735000000077e+00,7.198940483999998833e+04
2.411464690999999938e+00,7.198629931000000215e+04
2.412134646999999799e+00,7.198321589999999560e+04
2.412804364999999951e+00,7.198007382000000507e+04
2.413474320999999811e+00,7.197693348000000697e+04
2.414144278000000199e+00,7.197373893000000680e+04
2.414814234000000059e+00,7.197056652000000759e+04
2.415484189999999920e+00,7.196728759999999602e+04
2.416154145999999781e+00,7.196405844000000798e+04
2.416824102000000085e+00,7.196083905000000959e+04
2.417494059000000028e+00,7.195754598999999871e+04
2.418164014999999889e+00,7.195421047000000544e+04
2.418833971000000194e+00,7.195091670000000158e+04
2.419503927000000054e+00,7.194759283000000869e+04
2.420173882999999915e+00,7.194426721999999427e+04
2.420843839999999858e+00,7.194083542000000307e+04
2.421513796000000163e+00,7.193745334999999614e+04
2.422183752000000023e+00,7.193405720999999903e+04
2.422853707999999884e+00,7.193065935000000172e+04
2.423523664000000188e+00,7.192722714999999152e+04
2.424193621000000132e+00,7.192378888000000734e+04
2.424863576999999992e+00,7.192030475999999908e+04
2.425533295000000145e+00,7.191685080000000016e+04
2.426203251000000005e+00,7.191337051000000793e+04
2.426873206999999866e+00,7.190988420000000042e+04
2.427543163000000170e+00,7.190636005999999179e+04
2.428213120000000114e+00,7.190285811999998987e+04
2.428883075999999974e+00,7.189935375000000931e+04
2.429553031999999835e+00,7.189585925999999745e+04
2.430222988000000139e+00,7.189231109999999171e+04
2.430892944000000000e+00,7.188879666000000725e+04
2.431562900999999943e+00,7.188525676000000385e+04
2.432232856999999804e+00,7.188171444999999949e+04
2.432902813000000108e+00,7.187815823000000091e+04
2.433572768999999969e+00,7.187465155999999843e+04
2.434242724999999830e+00,7.187111945000001288e+04
2.434912682000000217e+00,7.186754529999999795e+04
2.435582638000000077e+00,7.186398896000000241e+04
2.436252593999999938e+00,7.186049004000000423e+04
2.436922549999999799e+00,7.185694195000000764e+04
2.437592506000000103e+00,7.185343897000000288e+04
2.438262463000000047e+00,7.184980335000000196e+04
2.438932418999999907e+00,7.184551291999999376e+04
2.439602137000000059e+00,7.184009788000000117e+04
2.440272092999999920e+00,7.183374031000000832e+04
2.440942048999999781e+00,7.182709367999999085e+04
2.441612005000000085e+00,7.182086173000000417e+04
2.442281960999999946e+00,7.181542779000000155e+04
2.442951917999999889e+00,7.181089314000000013e+04
2.443621874000000194e+00,7.180713498999999138e+04
2.444291830000000054e+00,7.180374211999999534e+04
