x(m),wallHeatFlux(W/m2)
1.213118085000000103e-03,1.443973166000000015e+07
1.213243812999999921e-03,1.426615343999999948e+07
1.213495502999999923e-03,1.411597131000000052e+07
1.213874434999999983e-03,1.395141738999999873e+07
1.214382703999999967e-03,1.378702826999999955e+07
1.215023453999999892e-03,1.362941183999999985e+07
1.215799479000000084e-03,1.347215830000000075e+07
1.216714969000000065e-03,1.330465641999999993e+07
1.217775162999999933e-03,1.312031184999999963e+07
1.218985766000000096e-03,1.291527985999999940e+07
1.220353063999999937e-03,1.268887233999999985e+07
1.221885206000000073e-03,1.243636088999999873e+07
1.223590923000000092e-03,1.215997961999999918e+07
1.225479762000000012e-03,1.185912689000000060e+07
1.227563014000000036e-03,1.153292224000000022e+07
1.229853020000000073e-03,1.118305430000000075e+07
1.232364214999999907e-03,1.080569372000000067e+07
1.235112081999999905e-03,1.040629196000000089e+07
1.238114433000000016e-03,9.980833506999999285e+06
1.241390942999999903e-03,9.531554074000000954e+06
1.244963379999999972e-03,9.064119171000000089e+06
1.248856541000000018e-03,8.568325569000000134e+06
1.253097784000000011e-03,8.060670366000000387e+06
1.257717144000000068e-03,7.532151082999999635e+06
1.262748614000000101e-03,6.989385677999999374e+06
1.268229913000000096e-03,6.441521491999999620e+06
1.274202834000000024e-03,5.878702247999999672e+06
1.280713244000000056e-03,5.345330183000000194e+06
1.287811319000000060e-03,4.789751753999999724e+06
1.295552473000000007e-03,4.225766269000000320e+06
1.303995958999999922e-03,3.658103736999999732e+06
1.313205225999999979e-03,3.297816395000000019e+06
1.323246397000000076e-03,2.699746604999999981e+06
1.334185945000000012e-03,2.313291111999999732e+06
1.345622120000000048e-03,1.943537175999999978e+06
1.357895670999999943e-03,1.740563153000000166e+06
1.371894963000000077e-03,1.592691636999999871e+06
1.387861673999999908e-03,1.471528239999999991e+06
1.406070542999999931e-03,1.366854750000000000e+06
1.426834263999999901e-03,1.273937002000000095e+06
1.450508833000000017e-03,1.190202185000000056e+06
1.477498560999999976e-03,1.111864269000000088e+06
1.508263405000000038e-03,1.043360520000000019e+06
1.543325139000000000e-03,9.455290481000000145e+05
1.583276317000000032e-03,9.464077340000000549e+05
1.628788887000000079e-03,8.381770898999999044e+05
1.680623973000000028e-03,8.182969240999999456e+05
1.739643047999999944e-03,7.550403343999999342e+05
1.806820044000000038e-03,6.987920128000000259e+05
1.883254154000000040e-03,6.494729779000000563e+05
1.970184733999999927e-03,6.057989904000000097e+05
2.069005743000000130e-03,5.672178090000000084e+05
2.181282965000000146e-03,5.318106805000000168e+05
2.308769384000000213e-03,5.009627784000000102e+05
2.453424268999999849e-03,4.651557385999999824e+05
2.617429475999999942e-03,4.708804723000000231e+05
2.803205512000000142e-03,4.276904701999999816e+05
3.013427835000000079e-03,4.019009918000000180e+05
3.251038725000000070e-03,3.797556185999999871e+05
3.519256598999999895e-03,3.615213403999999864e+05
3.821578109999999948e-03,3.443858074999999953e+05
4.161774646000000050e-03,3.298869634000000078e+05
4.543876740999999719e-03,3.136045325999999768e+05
4.972148220999999570e-03,3.057441907999999821e+05
5.451040808000000119e-03,2.918292452000000048e+05
5.985134746999999644e-03,2.806997186999999685e+05
6.579050793999999779e-03,2.712852180999999982e+05
7.237344514999999832e-03,2.621952001999999629e+05
7.964368910000000149e-03,2.552903067000000156e+05
8.764110505999999148e-03,2.524256054999999760e+05
9.640001691999999442e-03,2.532846577999999863e+05
1.059471071000000000e-02,2.565434100999999791e+05
1.162991485999999991e-02,2.594461283999999869e+05
1.274607143999999942e-02,2.600075596000000078e+05
1.394220068999999992e-02,2.585047017000000051e+05
1.521569396999999935e-02,2.545547562000000034e+05
1.656217314000000065e-02,2.497807196000000113e+05
1.797541044999999976e-02,2.437660328000000154e+05
1.944733783999999868e-02,2.383856535999999905e+05
2.096815594000000019e-02,2.322702600000000093e+05
2.252653054999999988e-02,2.268168496999999916e+05
2.410990186000000132e-02,2.205258316000000050e+05
2.570487185999999896e-02,2.156643643999999913e+05
2.729764021999999887e-02,2.099743205000000016e+05
2.887448482000000080e-02,2.045827633999999962e+05
3.042222559000000090e-02,1.991230736000000034e+05
3.192865848999999756e-02,1.941316940999999933e+05
3.338290378000000058e-02,1.894044447999999975e+05
3.477570041999999972e-02,1.850625402999999933e+05
3.609955311000000167e-02,1.812483420999999798e+05
3.734883293999999992e-02,1.777475335999999952e+05
3.851973264999999924e-02,1.747990553000000073e+05
3.961017727999999877e-02,1.722450399000000034e+05
4.061967134000000340e-02,1.700898307999999961e+05
4.154907911999999870e-02,1.682329030999999959e+05
4.240042715999999684e-02,1.666736904999999970e+05
4.317663983000000205e-02,1.654035628999999899e+05
4.388135298999999712e-02,1.642243248000000021e+05
4.455129801999999778e-02,1.632957440000000061e+05
4.522124304999999844e-02,1.623663146999999881e+05
4.589118435999999662e-02,1.614947492999999959e+05
4.656112938999999729e-02,1.606669151000000129e+05
4.723107441999999795e-02,1.598755679999999993e+05
4.790101944999999861e-02,1.591161902000000118e+05
4.857096449000000010e-02,1.583853726000000024e+05
4.924090578999999746e-02,1.576803695000000007e+05
4.991085081999999812e-02,1.569980605000000214e+05
5.058079584999999878e-02,1.563366184999999823e+05
5.125074089000000027e-02,1.556934812000000093e+05
5.192068592000000093e-02,1.550659419000000053e+05
5.259063095000000160e-02,1.544532899000000034e+05
5.326057224999999895e-02,1.538546557000000030e+05
5.393051729000000044e-02,1.532695095999999903e+05
5.460046232000000110e-02,1.526975298999999941e+05
5.527040735000000177e-02,1.521384450999999826e+05
5.594035238000000243e-02,1.515919968999999983e+05
5.661029369000000061e-02,1.510578095000000030e+05
5.728023872000000127e-02,1.505354664999999804e+05
5.795018375000000194e-02,1.500243889999999956e+05
5.862012878000000260e-02,1.495239335000000137e+05
5.929007381000000326e-02,1.490333941000000050e+05
5.996001512000000144e-02,1.485520849999999919e+05
6.062996015000000211e-02,1.480793546999999962e+05
6.129990518000000277e-02,1.476145762999999861e+05
6.196985021000000343e-02,1.471572485000000161e+05
6.263979524000000410e-02,1.467069867000000086e+05
6.330973654999999534e-02,1.462636450999999943e+05
6.397968531000000625e-02,1.458272125999999989e+05
6.464962660999999666e-02,1.453977915000000212e+05
6.531956792000000178e-02,1.449754985999999917e+05
6.598951667999999882e-02,1.445602802000000083e+05
6.665945798000000311e-02,1.441519974000000220e+05
6.732940674000000014e-02,1.437503168000000005e+05
6.799934804000000443e-02,1.433548924999999872e+05
6.866928934999999568e-02,1.429653919999999925e+05
6.933923811000000659e-02,1.425815558000000019e+05
7.000917940999999700e-02,1.422034555999999866e+05
7.067912816999999404e-02,1.418304324999999953e+05
7.134906947999999915e-02,1.414625632000000041e+05
7.201901078000000345e-02,1.411004660999999905e+05
7.268895954000000048e-02,1.407434580999999889e+05
7.335890085000000560e-02,1.403914998000000196e+05
7.402884960000000181e-02,1.400445430000000051e+05
7.469879091000000693e-02,1.397025339999999851e+05
7.536873966000000313e-02,1.393653802000000142e+05
7.603868096999999437e-02,1.390330337000000000e+05
7.670862227999999949e-02,1.387053916000000027e+05
7.737857102999999570e-02,1.383823629000000074e+05
7.804851234000000082e-02,1.380638597000000009e+05
7.871846109999999785e-02,1.377497664999999979e+05
7.938840240000000215e-02,1.374400020000000077e+05
8.005834370999999339e-02,1.371344122999999963e+05
8.072829247000000430e-02,1.368329077999999863e+05
8.139823376999999471e-02,1.365354036999999953e+05
8.206818253000000563e-02,1.362417867999999726e+05
8.273812382999999604e-02,1.359519334000000090e+05
8.340806514000000116e-02,1.356657528000000166e+05
8.407801389999999819e-02,1.353831572999999917e+05
8.474795520000000248e-02,1.351040617999999959e+05
8.541790395999999952e-02,1.348284263999999966e+05
8.608784527000000464e-02,1.345561983000000182e+05
8.675778656999999505e-02,1.342873398999999918e+05
8.742773533000000596e-02,1.340217743999999948e+05
8.809767662999999638e-02,1.337593442999999970e+05
8.876762538999999341e-02,1.334998289999999979e+05
8.943756669999999853e-02,1.332432035000000033e+05
9.010750800000000282e-02,1.329892562000000034e+05
9.077745675999999986e-02,1.327388445000000065e+05
9.144739807000000498e-02,1.324922601000000141e+05
9.211734682000000118e-02,1.322493016999999818e+05
9.278728813000000630e-02,1.320106187999999966e+05
9.345722943999999754e-02,1.317760289000000048e+05
9.412717818999999375e-02,1.315449193999999843e+05
9.479711949999999887e-02,1.313164657000000007e+05
9.546706824999999508e-02,1.310897906000000075e+05
9.613700956000000020e-02,1.308641667000000016e+05
9.680695087000000532e-02,1.306392607999999891e+05
9.747689962000000152e-02,1.304150581000000093e+05
9.814684093000000664e-02,1.301918882000000012e+05
9.881678969000000368e-02,1.299702063000000053e+05
9.948673098999999409e-02,1.297505036999999866e+05
1.001566722999999992e-01,1.295331862000000110e+05
1.008266210999999996e-01,1.293185054000000091e+05
1.014965624000000038e-01,1.291065278999999864e+05
1.021665110999999959e-01,1.288972006000000110e+05
1.028364524000000002e-01,1.286904011999999930e+05
1.035063937000000045e-01,1.284859758999999904e+05
1.041763425000000048e-01,1.282837746000000043e+05
1.048462837999999953e-01,1.280836740000000136e+05
1.055162325999999956e-01,1.278855771999999852e+05
1.061861738999999999e-01,1.276894008999999933e+05
1.068561226000000058e-01,1.274950407999999879e+05
1.075260638999999963e-01,1.273026090000000113e+05
1.081960052000000005e-01,1.271115680000000139e+05
1.088659540000000009e-01,1.269230222999999969e+05
1.095358953000000052e-01,1.267334462999999960e+05
1.102058439999999973e-01,1.265494587000000029e+05
1.108757853999999959e-01,1.263664869999999937e+05
1.115457267000000002e-01,1.261788894000000000e+05
1.122156754000000062e-01,1.260121392000000051e+05
1.128856166999999966e-01,1.258099793999999965e+05
1.135555654999999969e-01,1.256447918999999965e+05
1.142255068000000012e-01,1.254661239000000060e+05
1.148954481000000055e-01,1.252901485000000102e+05
