x(m),wallHeatFlux(W/m2)
1.213118085000000103e-03,1.443973283999999985e+07
1.213243812999999921e-03,1.426615500999999978e+07
1.213495502999999923e-03,1.411597225000000000e+07
1.213874434999999983e-03,1.395141738999999873e+07
1.214382703999999967e-03,1.378702826999999955e+07
1.215023453999999892e-03,1.362941183999999985e+07
1.215799479000000084e-03,1.347215830000000075e+07
1.216714969000000065e-03,1.330465762000000104e+07
1.217775162999999933e-03,1.312031288999999873e+07
1.218985766000000096e-03,1.291528077999999933e+07
1.220353063999999937e-03,1.268887233999999985e+07
1.221885206000000073e-03,1.243636234999999963e+07
1.223590923000000092e-03,1.215997961999999918e+07
1.225479762000000012e-03,1.185912689000000060e+07
1.227563014000000036e-03,1.153292224000000022e+07
1.229853020000000073e-03,1.118305430000000075e+07
1.232364214999999907e-03,1.080569372000000067e+07
1.235112081999999905e-03,1.040629277999999933e+07
1.238114433000000016e-03,9.980833506999999285e+06
1.241390942999999903e-03,9.531554763000000268e+06
1.244963379999999972e-03,9.064119804000001401e+06
1.248856541000000018e-03,8.568323826999999583e+06
1.253097784000000011e-03,8.060676231000000611e+06
1.257717144000000068e-03,7.532145209000000730e+06
1.262748614000000101e-03,6.989386577000000514e+06
1.268229913000000096e-03,6.441519429000000469e+06
1.274202834000000024e-03,5.878716629000000656e+06
1.280713244000000056e-03,5.345298940000000410e+06
1.287811319000000060e-03,4.789776904000000097e+06
1.295552473000000007e-03,4.225739707999999635e+06
1.303995958999999922e-03,3.658440371999999974e+06
1.313205225999999979e-03,3.297584029999999795e+06
1.323246397000000076e-03,2.699677271000000183e+06
1.334185945000000012e-03,2.312928900999999605e+06
1.345622120000000048e-03,1.943426497999999905e+06
1.357895670999999943e-03,1.740324280999999959e+06
1.371894963000000077e-03,1.592833070999999996e+06
1.387861673999999908e-03,1.471264219000000041e+06
1.406070542999999931e-03,1.366867129999999888e+06
1.426834263999999901e-03,1.274054100000000093e+06
1.450508833000000017e-03,1.190250155000000028e+06
1.477498560999999976e-03,1.112393667999999830e+06
1.508263405000000038e-03,1.039049738999999943e+06
1.543325139000000000e-03,9.701639435000000522e+05
1.583276317000000032e-03,9.057325295999998925e+05
1.628788887000000079e-03,8.456541744000000181e+05
1.680623973000000028e-03,7.897068607999999076e+05
1.739643047999999944e-03,7.376197648000000045e+05
1.806820044000000038e-03,6.889311312000000617e+05
1.883254154000000040e-03,6.442394513000000734e+05
1.970184733999999927e-03,6.025430999000000302e+05
2.069005743000000130e-03,5.648137992000000086e+05
2.181282965000000146e-03,5.300190097999999998e+05
2.308769384000000213e-03,4.996089525999999605e+05
2.453424268999999849e-03,4.644345951000000350e+05
2.617429475999999942e-03,4.705251663000000408e+05
2.803205512000000142e-03,4.278322498999999953e+05
3.013427835000000079e-03,4.020541444999999949e+05
3.251038725000000070e-03,3.798394690999999875e+05
3.519256598999999895e-03,3.615058459000000148e+05
3.821578109999999948e-03,3.444961093000000110e+05
4.161774646000000050e-03,3.295663642000000109e+05
4.543876740999999719e-03,3.138063821999999927e+05
4.972148220999999570e-03,3.057339304000000120e+05
5.451040808000000119e-03,2.913360685999999987e+05
5.985134746999999644e-03,2.798640010999999940e+05
6.579050793999999779e-03,2.703709685999999638e+05
7.237344514999999832e-03,2.609601381000000110e+05
7.964368910000000149e-03,2.515737979000000050e+05
8.764110505999999148e-03,2.424096128999999783e+05
9.640001691999999442e-03,2.333009744000000064e+05
1.059471071000000000e-02,2.241719441999999981e+05
1.162991485999999991e-02,2.155724320000000007e+05
1.274607143999999942e-02,2.063980929999999935e+05
1.394220068999999992e-02,1.984976411000000080e+05
1.521569396999999935e-02,1.897693695000000007e+05
1.656217314000000065e-02,1.825104668999999994e+05
1.797541044999999976e-02,1.742515538999999990e+05
1.944733783999999868e-02,1.677268516999999993e+05
2.096815594000000019e-02,1.609594437999999791e+05
2.252653054999999988e-02,1.551872603999999992e+05
2.410990186000000132e-02,1.488213432000000030e+05
2.570487185999999896e-02,1.446779783000000170e+05
2.729764021999999887e-02,1.403245730999999796e+05
2.887448482000000080e-02,1.366698728999999876e+05
3.042222559000000090e-02,1.335723158999999869e+05
3.192865848999999756e-02,1.312918507999999856e+05
3.338290378000000058e-02,1.299013816000000079e+05
3.477570041999999972e-02,1.295368288000000030e+05
3.609955311000000167e-02,1.302543377000000037e+05
3.734883293999999992e-02,1.316357447000000102e+05
