x(m),wallHeatFlux(W/m2)
7.880460932080113334e-02,7.020688413594422528e-01
3.196133277862011068e-01,2.279213956137577934e-01
5.693342963073181329e-01,7.388367120510428432e-01
4.455057095418470947e-01,5.251193805188704156e-01
2.194354035998637986e-01,4.719924983292719256e-01
4.988010434477163635e-02,6.764432821011089336e-01
5.003351725877024370e-01,5.075595981758665998e-01
7.874637297943563041e-01,4.558687235238195745e-01
6.733302605266777707e-01,7.529005591922538487e-01
6.090645280503969028e-01,6.041808134268149555e-01
2.832912016512928455e-01,9.500107252770310096e-01
9.117879488752114181e-01,9.865580296422870044e-01
6.227342226748320275e-01,9.396230986204938684e-01
7.346601662490244156e-01,6.046921425188183097e-01
7.234555624946878982e-01,6.097907886645511644e-01
8.868445024834871182e-01,3.979693029003177340e-01
4.648506730945343168e-01,5.490628570281697041e-01
5.672844549237547884e-01,8.430694748586261555e-01
5.746679874790621145e-01,1.617636239953579302e-01
5.770873619970984247e-02,8.803289687375692729e-02
8.160034586807508594e-01,4.933071412745637652e-02
6.016808617150759542e-02,7.812769052329290309e-01
4.635733825557464272e-01,4.136658196659186437e-01
8.689687227907629818e-01,1.012060495319518916e-01
5.419064024123009249e-01,8.654610228013115414e-01
9.385425984773467789e-01,5.387980474748623738e-01
4.495459132365651200e-01,8.364672202734699802e-01
4.083017577396687026e-01,1.452803867059334619e-01
5.444985782699728327e-01,5.009811297575047506e-01
8.440136599874820122e-01,3.431952706208942772e-01
9.587169919471716373e-01,3.397287550916313625e-01
7.012996274449030398e-01,4.562871474845631159e-02
7.987780348014128506e-01,6.671505994575743781e-02
1.833955320505142872e-01,7.999509816352146085e-01
8.359643195177953734e-01,4.385798264597803309e-01
4.181817152532547599e-01,3.891775718183996258e-01
9.062194196260953127e-02,2.517017756496169323e-01
2.630376302242520836e-01,5.941287839851421282e-01
4.389497481126325429e-01,3.558128125200266112e-01
8.524660711897316112e-01,5.359305482033805967e-01
2.236338796532818529e-01,9.817394977548894452e-01
5.348352237902245232e-01,1.491030019941490536e-01
3.512721136252037191e-01,4.725414188384520209e-01
7.046803729595724208e-01,8.388922261898509314e-01
8.836554937512196561e-01,7.544408802891829913e-01
1.312614467218746750e-01,2.768716243485626061e-01
2.680044186196028910e-02,7.047317898142912984e-01
2.120964098918554086e-02,6.121181078889449401e-01
9.113916797598387021e-02,5.148276112138552296e-01
6.160715517107973049e-02,7.135912343978170203e-01
7.455969959379767920e-01,5.624092332528417559e-01
1.554389637792226164e-01,5.509324214051067869e-01
7.895404811507955589e-02,8.083447508851463459e-01
1.933669115170476571e-01,5.076295613526125017e-01
6.242440931624123612e-01,6.407879720921617617e-01
7.308136448108457639e-01,1.484224219866528971e-01
5.701839682034921530e-01,3.939622576517567420e-01
3.301523983551062358e-01,1.756588987247007516e-01
7.941851609137617896e-02,5.628554394634489588e-01
8.545910304381747480e-01,2.328217156806460242e-01
2.696652884326500299e-02,3.049540542994497727e-01
4.132552127777100459e-01,6.882644107220717844e-01
5.006705849726591495e-01,6.184248268216979705e-01
4.868894877980715075e-01,8.034978485676917970e-01
6.856707904502969964e-01,5.234709887180726273e-01
3.971204870120689234e-01,6.794871380214726475e-01
7.726423895286046450e-01,5.555638168242388319e-01
6.857000578022577342e-01,5.705450609800949424e-01
3.657841858000415725e-01,6.536498050356620571e-01
4.951686232410760224e-01,8.106128520932441850e-01
3.745707919754670545e-02,4.777074513773540421e-01
3.819075646912741817e-01,4.288194112380435685e-01
9.926395817602268190e-01,1.047012511951279645e-01
9.430714241735829173e-01,8.766124967426378589e-01
1.435230383220184036e-01,6.542900732123432261e-01
1.952521258428812079e-01,1.565507758600845900e-01
1.477143435459223886e-01,9.918829147792651568e-01
8.303789705974906621e-01,1.461897611516393969e-01
2.737174302526590441e-02,9.933790424002275632e-02
3.784849875318380130e-01,8.732895609058698438e-01
5.022943169318683232e-01,5.888144585222992999e-01
2.402536837787075941e-01,9.604131249898074651e-01
3.112187289880176122e-01,4.809722378136033205e-01
1.203924018701197918e-01,1.890958568325060707e-01
8.744702817679306239e-01,6.841595192192171382e-01
7.035155035646890598e-01,5.735625019792812695e-01
5.438925554307326715e-01,6.631564070727723470e-01
8.200214696903007638e-02,8.854427098583143030e-01
2.226431270778420624e-01,8.493351861531394098e-01
7.700640187241782897e-01,3.645220046213147880e-01
7.458753078711515272e-01,5.805420430711032420e-01
2.103593454144345731e-01,1.394527508485090550e-01
8.814319114022476365e-01,6.357414921724380275e-02
6.937711485185947824e-01,3.023547919426501362e-01
1.173696974567258744e-01,5.669550999888695042e-01
3.752932511455141507e-01,6.207469804309634354e-01
8.999855983421130023e-01,8.676544882366742373e-01
8.724597466233381393e-01,5.981263259498315055e-01
2.512928898113860887e-01,9.439663557720854303e-01
1.667347012093929326e-01,8.433914693877254676e-01
