x(m),wallHeatFlux(W/m2)
1.648685640637659181e-04,3.401077580989175476e+06
4.948245702544648962e-04,1.854553126785905333e+06
8.252186231520446807e-04,1.338418730836780742e+06
1.156051304303453266e-03,1.103310722333348123e+06
1.487323196027735307e-03,9.508375798344779760e+05
1.819034881416997738e-03,8.447675125607956434e+05
2.151186944337484322e-03,7.654511548456598539e+05
2.483779969430541679e-03,7.042440437968337210e+05
2.816814542113694163e-03,6.509648191450251034e+05
3.150291248581663442e-03,6.114871685703800758e+05
3.484210675807363801e-03,5.804071454630182125e+05
3.818573411543029275e-03,5.521118204959960422e+05
4.153380044321154305e-03,5.263410449941855622e+05
4.488631163455564926e-03,5.039426342486570938e+05
4.824327359042470884e-03,4.855453334505391540e+05
5.160469221961460490e-03,4.693052877214068430e+05
5.497057343876593505e-03,4.538710365095877787e+05
5.834092317237404672e-03,4.395278069715649472e+05
6.171574735279944553e-03,4.263987371455683606e+05
6.509505192027887147e-03,4.147137307175073656e+05
6.847884282293492664e-03,4.042263313980347593e+05
7.186712601678682186e-03,3.941335232309625717e+05
7.525990746576116663e-03,3.846506007996027474e+05
7.865719314170183107e-03,3.760243189087600331e+05
8.205898902438130832e-03,3.679963052959466586e+05
8.546530110151093207e-03,3.606626418241066858e+05
8.887613536875071246e-03,3.538664200908681378e+05
9.229149782972023014e-03,3.472499045823061606e+05
9.571139449601032828e-03,3.409245842657563626e+05
9.913583138719234134e-03,3.350981856177772279e+05
1.025648145308288330e-02,3.296941784628148307e+05
1.059983499624850799e-02,3.246587364821876981e+05
1.094364437257385608e-02,3.199741452086570789e+05
1.128791018721904751e-02,3.155486862859895919e+05
1.163263304614762725e-02,3.112985064935685950e+05
1.197781355612758183e-02,3.072167558498515864e+05
1.232345232473241320e-02,3.033240739955188474e+05
1.266954996034226968e-02,2.996645532097186660e+05
1.301610707214500076e-02,2.962342752680657431e+05
1.336312427013716490e-02,2.929935746019213693e+05
1.371060216512514848e-02,2.899123904667536844e+05
1.405854136872625518e-02,2.869655745401454042e+05
1.440694249336975895e-02,2.841321265942653990e+05
1.475580615229800732e-02,2.814181638026672881e+05
1.510513295956749172e-02,2.788335878341062344e+05
1.545492353004985706e-02,2.763876477362890146e+05
1.580517847943308657e-02,2.740699215514281532e+05
1.615589842422258254e-02,2.718484586003210279e+05
1.650708398174215510e-02,2.697043431805013097e+05
1.685873577013520183e-02,2.676275677715467173e+05
1.721085440836574859e-02,2.656196354026509216e+05
1.756344051621953201e-02,2.636976879763596808e+05
1.791649471430515825e-02,2.618652332510873384e+05
1.827001762405513693e-02,2.601110784351876937e+05
1.862400986772692890e-02,2.584284081608270353e+05
1.897847206840416051e-02,2.568091180611742893e+05
1.933340484999765407e-02,2.552458585550900025e+05
1.968880883724649991e-02,2.537337477742760093e+05
2.004468465571921168e-02,2.522740824725943967e+05
2.040103293181480537e-02,2.508697201240196300e+05
2.075785429276386096e-02,2.495165821513937262e+05
2.111514936662971589e-02,2.482054794817914371e+05
2.147291878230946777e-02,2.469317066305977642e+05
2.183116316953516434e-02,2.456952158844345831e+05
2.218988315887492069e-02,2.444951615819287836e+05
2.254907938173388721e-02,2.433294756162853446e+05
2.290875247035552634e-02,2.421982343049816554e+05
2.326890305782269158e-02,2.411023086191804323e+05
2.362953177805861976e-02,2.400383928066940862e+05
2.399063926582822165e-02,2.390013824114963063e+05
2.435222615673907770e-02,2.379879971593077353e+05
2.471429308724257951e-02,2.369938331380018499e+05
2.507684069463513715e-02,2.360196553054296528e+05
2.543986961705916455e-02,2.350711095337789739e+05
2.580338049350425558e-02,2.341488596345213882e+05
2.616737396380840880e-02,2.332495851274349261e+05
2.653185066865897460e-02,2.323687950385997829e+05
2.689681124959387992e-02,2.315041536802813935e+05
2.726225634900284953e-02,2.306557392708586121e+05
2.762818661012831842e-02,2.298201818582798005e+05
2.799460267706675026e-02,2.289950486378273636e+05
2.836150519476971291e-02,2.281818404197788623e+05
2.872889480904493309e-02,2.273829379297998676e+05
2.909677216655759055e-02,2.266009796907921846e+05
2.946513791483135192e-02,2.258329112704125873e+05
2.983399270224952604e-02,2.250744757408713049e+05
3.020333717805617074e-02,2.243236751211663650e+05
3.057317199235731753e-02,2.235790454693894135e+05
3.094349779612205059e-02,2.228419771332447126e+05
3.131431524118369336e-02,2.221156158669898578e+05
3.168562498024095342e-02,2.214024730847156607e+05
3.205742766685901191e-02,2.207031140476479195e+05
3.242972395547072395e-02,2.200164345426255022e+05
3.280251450137779828e-02,2.193391469531060429e+05
