x(m),wallHeatFlux(W/m2)
0.000000000000000000e+00,1.691780000000000000e+06
1.012000000000000096e-03,1.411290000000000000e+06
2.023000000000020008e-03,1.011500000000000000e+06
3.032999999999990131e-03,8.036840000000000000e+05
4.044000000000010260e-03,6.744470000000000000e+05
5.054000000000000332e-03,6.297140000000000000e+05
6.062999999999990272e-03,6.335870000000000000e+05
7.072000000000000161e-03,6.445960000000000000e+05
8.080999999999990968e-03,6.441720000000000000e+05
9.088999999999999857e-03,6.342280000000000000e+05
1.009700000000000007e-02,6.215070000000000000e+05
1.110399999999999929e-02,6.093540000000000000e+05
1.211199999999999950e-02,5.985260000000000000e+05
1.311800000000000119e-02,5.889320000000000000e+05
1.412400000000000114e-02,5.803370000000000000e+05
1.513000000000000109e-02,5.725390000000000000e+05
1.613600000000000104e-02,5.653960000000000000e+05
1.714099999999999999e-02,5.588070000000000000e+05
1.814600000000000241e-02,5.527000000000000000e+05
1.915000000000000036e-02,5.470180000000000000e+05
2.015400000000000177e-02,5.417190000000000000e+05
2.115700000000000219e-02,5.367610000000000000e+05
2.215999999999999914e-02,5.321080000000000000e+05
2.316299999999999956e-02,5.277310000000000000e+05
2.416499999999999898e-02,5.236010000000000000e+05
2.516700000000000187e-02,5.196950000000000000e+05
2.616800000000000029e-02,5.159910000000000000e+05
2.716900000000000218e-02,5.124710000000000000e+05
2.817000000000000060e-02,5.091190000000000000e+05
2.917000000000000148e-02,5.059190000000000000e+05
3.017000000000000237e-02,5.028590000000000000e+05
3.116900000000000226e-02,4.999280000000000000e+05
3.216800000000000215e-02,4.971160000000000000e+05
3.316700000000000204e-02,4.944130000000000000e+05
3.416500000000000092e-02,4.918130000000000000e+05
3.516299999999999981e-02,4.893080000000000000e+05
3.615999999999999770e-02,4.868900000000000000e+05
3.715699999999999559e-02,4.845560000000000000e+05
3.815400000000000735e-02,4.822990000000000000e+05
3.914999999999999730e-02,4.801150000000000000e+05
4.014600000000000113e-02,4.779990000000000000e+05
4.114200000000000496e-02,4.759490000000000000e+05
4.213700000000000084e-02,4.739590000000000000e+05
4.313100000000000267e-02,4.720270000000000000e+05
4.412499999999999756e-02,4.701490000000000000e+05
4.511899999999999938e-02,4.683240000000000000e+05
4.611300000000000121e-02,4.665470000000000000e+05
4.710600000000000204e-02,4.648170000000000000e+05
4.809800000000000186e-02,4.631320000000000000e+05
4.909100000000000269e-02,4.614900000000000000e+05
5.008200000000000152e-02,4.598890000000000000e+05
5.107400000000000134e-02,4.583270000000000000e+05
5.206500000000000017e-02,4.568010000000000000e+05
5.305499999999999799e-02,4.553110000000000000e+05
5.404600000000000376e-02,4.538550000000000000e+05
5.503600000000000159e-02,4.524320000000000000e+05
5.602499999999999841e-02,4.510400000000000000e+05
5.701400000000000218e-02,4.496770000000000000e+05
5.800299999999999900e-02,4.483440000000000000e+05
5.899100000000000177e-02,4.470400000000000000e+05
5.997899999999999759e-02,4.457630000000000000e+05
6.096599999999999936e-02,4.445110000000000000e+05
6.195300000000000112e-02,4.432840000000000000e+05
6.293999999999999595e-02,4.420800000000000000e+05
6.392599999999999671e-02,4.408990000000000000e+05
6.491200000000001136e-02,4.397410000000000000e+05
6.589799999999999824e-02,4.386040000000000000e+05
6.688299999999999801e-02,4.374890000000000000e+05
6.786700000000001065e-02,4.363950000000000000e+05
6.885200000000001042e-02,4.353190000000000000e+05
6.983599999999999530e-02,4.342620000000000000e+05
7.081900000000000694e-02,4.332240000000000000e+05
7.180200000000000471e-02,4.322030000000000000e+05
7.278500000000000247e-02,4.312000000000000000e+05
7.376699999999999924e-02,4.302140000000000000e+05
7.474899999999999600e-02,4.292440000000000000e+05
7.573099999999999277e-02,4.282890000000000000e+05
