x(m),wallHeatFlux(W/m2)
2.260760528000000047e+00,6.859349270308000087e+03
2.262734107999999633e+00,5.503378570184199816e+03
2.265423205999999912e+00,6.455056498746800571e+03
2.270086392000000064e+00,7.257963772605700797e+03
2.272404396000000215e+00,7.566861620540100375e+03
2.274943633999999992e+00,7.658849582608800119e+03
2.279801130000000065e+00,8.460621202615000584e+03
2.284464062000000073e+00,8.861507012618099907e+03
2.289127247999999781e+00,9.663278632624300371e+03
2.293984743999999854e+00,1.046618590648320060e+04
2.298841985999999782e+00,1.086707171648629992e+04
2.303505171999999934e+00,1.166884333649250220e+04
2.308362413999999863e+00,1.206972914649559971e+04
2.313219402000000091e+00,1.206745783879020019e+04
2.318076644000000019e+00,1.206632218493750042e+04
2.322739575999999584e+00,1.246720799494060157e+04
2.327596817999999956e+00,1.286695815109100113e+04
2.332454313999999584e+00,1.366986542494990135e+04
2.337117753999999881e+00,1.487365850881190090e+04
2.341781194000000177e+00,1.688263017423819838e+04
2.346250831999999953e+00,1.929248764966760064e+04
2.350332866000000021e+00,2.451763102594030352e+04
2.352362834000000014e+00,3.011981148130940346e+04
2.352665601999999634e+00,2.773266708293400370e+04
2.353016883999999642e+00,2.549656464696770126e+04
2.353278758000000082e+00,1.290897734364090138e+04
2.353973447999999635e+00,1.878825733906880123e+04
2.354374768000000007e+00,2.074726023497630013e+04
2.354994781999999898e+00,2.210436658895279834e+04
2.356646797999999876e+00,2.513088410639829817e+04
2.358688449999999825e+00,2.773039577522860418e+04
2.362381864000000053e+00,3.295553915150130342e+04
2.366075531999999981e+00,3.858270399162980175e+04
2.369381087999999913e+00,4.541593322332570096e+04
2.372492588000000069e+00,5.265004826502469950e+04
2.375215975999999785e+00,6.109136335214380961e+04
2.377550489999999961e+00,6.872863551155129971e+04
2.379690947999999917e+00,7.757197206252619799e+04
2.381249238000000101e+00,8.721935154121270170e+04
2.381641921999999578e+00,1.070898870019046008e+05
2.381645731999999960e+00,1.073192890801500034e+05
2.382038415999999881e+00,1.173698256765450205e+05
2.382292415999999857e+00,1.507637272151884972e+05
2.382666304000000235e+00,2.437680994820550259e+05
2.383160079999999681e+00,1.399057407295237936e+05
2.383405444000000095e+00,1.350576344323475205e+05
2.383595689999999934e+00,1.250070978359525034e+05
2.383980245999999692e+00,1.149565612395575154e+05
2.384714052000000084e+00,1.057520867634239985e+05
2.385838001999999847e+00,1.033740275958702114e+05
2.388640383999999894e+00,1.081210607001562021e+05
2.391363517999999910e+00,1.161603543234195095e+05
2.394086906000000070e+00,1.246016694105386123e+05
2.396421927999999646e+00,1.334450059615135251e+05
2.398951005999999886e+00,1.418863210486326134e+05
2.401480083999999682e+00,1.503276361357517017e+05
2.404009161999999922e+00,1.587678155690181011e+05
2.407120915999999777e+00,1.664050877284255985e+05
2.410232161999999789e+00,1.736403384239773150e+05
2.413925830000000161e+00,1.792675032641057915e+05
2.418395975999999781e+00,1.828834251311026164e+05
2.423496296000000161e+00,1.840883538688173285e+05
2.427819375999999973e+00,1.844881040249677317e+05
2.429080485999999706e+00,1.800658679225539090e+05
2.431019775999999855e+00,1.712213957177263219e+05
2.432764501999999940e+00,1.619749020490429248e+05
2.434898101999999565e+00,1.527284083803594986e+05
2.438003505999999820e+00,1.450888649132466235e+05
2.441887165999999887e+00,1.398614502292685211e+05
2.445965390000000017e+00,1.354380784730020096e+05
2.450431979999999843e+00,1.310147067167355126e+05
2.452180008000000022e+00,1.292555788989032153e+05
2.454899585999999800e+00,1.281994208158922120e+05
2.457145708000000095e+00,1.277462949286648945e+05
2.459561501999999678e+00,1.261881778427605022e+05
2.464222909999999711e+00,1.229708704780614207e+05
2.468690515999999668e+00,1.201544489233654022e+05
2.473352431999999990e+00,1.181432059502337070e+05
2.478014856000000155e+00,1.169360059048136027e+05
2.482677279999999875e+00,1.157288058593935129e+05
2.487339449999999896e+00,1.145204701601207053e+05
