x(m),wallP(Pa)
2.250302861715428815e+00,7.203098739792117158e+03
2.250890022505627197e+00,7.203088082511046196e+03
2.251477183295823803e+00,7.203077426322326573e+03
2.252064344086022185e+00,7.203066771277890439e+03
2.252651504876218791e+00,7.203056117382401681e+03
2.253238665666417173e+00,7.203045464690788322e+03
2.253825826456613779e+00,7.203034813218140698e+03
2.254412987246812161e+00,7.203024162996976884e+03
2.255000148037009211e+00,7.203013514058366127e+03
2.255587308827207149e+00,7.203002866422983971e+03
2.256174469617405087e+00,7.202992220101695239e+03
2.256761630407602137e+00,7.202981575060820433e+03
2.257348791197800075e+00,7.202970931296386880e+03
2.257935951987997125e+00,7.202960288807315919e+03
2.258523112778195063e+00,7.202949647658960203e+03
2.259110273568392113e+00,7.202939007914266767e+03
2.259697434358590051e+00,7.202928369677486444e+03
2.260284595148787989e+00,7.202917732995931146e+03
2.260871755938985039e+00,7.202907097935827551e+03
2.261458916729182977e+00,7.202896464520287736e+03
2.262046077519380027e+00,7.202885832755575393e+03
2.262633238309577965e+00,7.202875202667372832e+03
2.263220399099775015e+00,7.202864574240721595e+03
2.263807559889972953e+00,7.202853947497757872e+03
2.264394720680170003e+00,7.202843322437028291e+03
2.264981881470367053e+00,7.202832699073032018e+03
2.265569042260564991e+00,7.202822077410655766e+03
2.266156203050762930e+00,7.202811457490947760e+03
2.266743363840959979e+00,7.202800839309480580e+03
2.267330524631157918e+00,7.202790222841184004e+03
2.267917685421354967e+00,7.202779608103841383e+03
2.268504846211552906e+00,7.202768995122452907e+03
2.269092007001749955e+00,7.202758383901429625e+03
2.269679167791947894e+00,7.202747774445732830e+03
2.270266328582145832e+00,7.202737166762673041e+03
2.270853489372342882e+00,7.202726560847000655e+03
2.271440650162540820e+00,7.202715956702824769e+03
2.272027810952737870e+00,7.202705354329843431e+03
2.272614971742935808e+00,7.202694753725668306e+03
2.273202132533132858e+00,7.202684154874256819e+03
2.273789293323330796e+00,7.202673557788143626e+03
2.274376454113527846e+00,7.202662962435289955e+03
2.274963614903725784e+00,7.202652368815617592e+03
2.275550775693924166e+00,7.202641776912859314e+03
2.276137936484121216e+00,7.202631186710211296e+03
2.276725097274319154e+00,7.202620598184262235e+03
2.277312258064516204e+00,7.202610011316928649e+03
2.277899418854714142e+00,7.202599426079355908e+03
2.278486579644911192e+00,7.202588842451753408e+03
2.279073740435109130e+00,7.202578260395435791e+03
2.279660901225307068e+00,7.202567679878391573e+03
2.280248062015504118e+00,7.202557100871144939e+03
2.280835222805702056e+00,7.202546523335785423e+03
2.281422383595899106e+00,7.202535947221451352e+03
2.282009544386097044e+00,7.202525372494306794e+03
2.282596705176294094e+00,7.202514799115463575e+03
2.283183865966492032e+00,7.202504227022628584e+03
2.283771026756689082e+00,7.202493656164134336e+03
2.284358187546887020e+00,7.202483086498695229e+03
2.284945348337084958e+00,7.202472517968977627e+03
2.285532509127282008e+00,7.202461950509651615e+03
2.286119669917479946e+00,7.202451384066427636e+03
2.286706830707676996e+00,7.202440818583686450e+03
2.287293991497874046e+00,7.202430253980276575e+03
2.287881152288071984e+00,7.202419690216781419e+03
2.288468313078269034e+00,7.202409127206392441e+03
2.289055473868466972e+00,7.202398564898185214e+03
2.289642634658664910e+00,7.202388003211483010e+03
2.290229795448861960e+00,7.202377442075879117e+03
2.290816956239059898e+00,7.202366881435781579e+03
2.291404117029256948e+00,7.202356321207824294e+03
2.291991277819454886e+00,7.202345761333923292e+03
2.292578438609651936e+00,7.202335201728681568e+03
2.293165599399849874e+00,7.202324642342759034e+03
2.293752760190047812e+00,7.202314083102579389e+03
2.294339920980244862e+00,7.202303523932801909e+03
2.294927081770442800e+00,7.202292964799432411e+03
2.295514242560639850e+00,7.202282405618359007e+03
2.296101403350837789e+00,7.202271846363634722e+03
2.296688564141034838e+00,7.202261286966100670e+03
2.297275724931233221e+00,7.202250727406763872e+03
2.297862885721429826e+00,7.202240167634577119e+03
2.298450046511628209e+00,7.202229607653596759e+03
2.299037207301826147e+00,7.202219047446427794e+03
2.299624368092023197e+00,7.202208487014968341e+03
2.300211528882221135e+00,7.202197926399348034e+03
2.300798689672418185e+00,7.202187365622764446e+03
2.301385850462616123e+00,7.202176804765792440e+03
2.301973011252813173e+00,7.202166243902953283e+03
2.302560172043011111e+00,7.202155683150142977e+03
2.303147332833209049e+00,7.202145122646661548e+03
2.303734493623406099e+00,7.202134562575047312e+03
2.304321654413604037e+00,7.202124003126522439e+03
2.304908815203801087e+00,7.202113444554980560e+03
2.305495975993999025e+00,7.202102887121601270e+03
2.306083136784196075e+00,7.202092331110877240e+03
2.306670297574394013e+00,7.202081776850193819e+03
2.307257458364591063e+00,7.202071224671830350e+03
2.307844619154789001e+00,7.202060674961138830e+03
2.308431779944986051e+00,7.202050128053566368e+03
2.309018940735183989e+00,7.202039584478039615e+03
2.309606101525381039e+00,7.202029044991854789e+03
2.310193262315578977e+00,7.202018509533109864e+03
2.310780423105776027e+00,7.202007978799796547e+03
2.311367583895973965e+00,7.201997453243422569e+03
2.311954744686171015e+00,7.201986933274079092e+03
2.312541905476368953e+00,7.201976419292575883e+03
2.313129066266566891e+00,7.201965911834638064e+03
2.313716227056763941e+00,7.201955411334850396e+03
