x(m),wallP(Pa)
2.250128098999999882e+00,7.034821055999999771e+03
2.250326609000000033e+00,7.034792362999999568e+03
2.250525119999999824e+00,7.034762566999999763e+03
2.250725418000000033e+00,7.034734821000000011e+03
2.250923928999999823e+00,7.034706430999999611e+03
2.251120653000000082e+00,7.034681959999999890e+03
2.251319163999999873e+00,7.034659405999999763e+03
2.251517675000000107e+00,7.034634681999999884e+03
2.251718078000000123e+00,7.034611434999999801e+03
2.251916588999999913e+00,7.034589383000000453e+03
2.252113207999999922e+00,7.034569096000000172e+03
2.252311718000000074e+00,7.034550091000000066e+03
2.252510228999999864e+00,7.034531668999999965e+03
2.252708740000000098e+00,7.034512622000000192e+03
2.252907250999999889e+00,7.034496251999999913e+03
2.253105762000000123e+00,7.034479233000000022e+03
2.253304272999999913e+00,7.034461548000000221e+03
2.253502784000000148e+00,7.034444776000000275e+03
2.253701294999999938e+00,7.034429224000000431e+03
2.253899806000000172e+00,7.034411286999999902e+03
2.254098316999999962e+00,7.034394347000000380e+03
2.254296827000000114e+00,7.034377392000000327e+03
2.254495337999999904e+00,7.034358420999999908e+03
2.254693849000000139e+00,7.034336463999999978e+03
2.254892359999999929e+00,7.034314293000000362e+03
2.255090871000000163e+00,7.034291583000000173e+03
2.255289381999999954e+00,7.034266075999999885e+03
2.255487893000000188e+00,7.034236211000000367e+03
2.255686403999999978e+00,7.034204552999999578e+03
2.255884915000000213e+00,7.034167124999999942e+03
2.256083426000000003e+00,7.034128518000000440e+03
2.256281936999999793e+00,7.034085855999999694e+03
2.256480446999999945e+00,7.034038212000000385e+03
2.256678958000000179e+00,7.033984977000000072e+03
2.256877468999999969e+00,7.033926387999999861e+03
2.257075980000000204e+00,7.033862129000000095e+03
2.257272427000000192e+00,7.033791959999999563e+03
2.257470937999999983e+00,7.033717426000000160e+03
2.257671513000000019e+00,7.033633939999999711e+03
2.257870023999999809e+00,7.033545554000000266e+03
2.258068535000000043e+00,7.033448967000000266e+03
2.258264973999999814e+00,7.033346789999999601e+03
2.258463485000000048e+00,7.033238819000000149e+03
2.258664067000000220e+00,7.033121092000000317e+03
2.258862578000000010e+00,7.032998249999999643e+03
2.259061088999999800e+00,7.032872731999999814e+03
2.259258890999999991e+00,7.032742056000000048e+03
2.259457401999999782e+00,7.032604819000000134e+03
2.259656622000000059e+00,7.032464178000000175e+03
2.259855132999999849e+00,7.032321447999999691e+03
2.260053644000000084e+00,7.032177592000000004e+03
2.260252808999999807e+00,7.032030359999999746e+03
2.260451320000000042e+00,7.031882077999999638e+03
2.260649175999999816e+00,7.031734445000000051e+03
2.260847687000000050e+00,7.031584772000000157e+03
2.261046197999999841e+00,7.031435752000000321e+03
2.261246725999999985e+00,7.031284627000000000e+03
2.261445237000000219e+00,7.031136226999999963e+03
2.261641731000000100e+00,7.030990324000000328e+03
2.261840241999999890e+00,7.030840503000000353e+03
2.262038753000000124e+00,7.030693078000000241e+03
2.262239295000000094e+00,7.030545113000000129e+03
2.262437805999999885e+00,7.030395798999999897e+03
2.262634284999999856e+00,7.030248757999999725e+03
2.262832796000000091e+00,7.030100182999999561e+03
2.263031306999999881e+00,7.029952075999999579e+03
2.263229818000000115e+00,7.029802295999999842e+03
2.263428328999999906e+00,7.029650330999999824e+03
2.263626840000000140e+00,7.029498798999999963e+03
2.263825350999999930e+00,7.029346919999999955e+03
2.264023862000000165e+00,7.029195993999999700e+03
2.264222372999999955e+00,7.029043166000000383e+03
2.264420884000000189e+00,7.028889183000000230e+03
2.264619393999999897e+00,7.028736273999999867e+03
2.264817905000000131e+00,7.028585183999999572e+03
2.265016415999999921e+00,7.028434792000000016e+03
2.265214927000000156e+00,7.028284951999999976e+03
2.265413437999999946e+00,7.028136389999999665e+03
2.265611949000000180e+00,7.027989878000000317e+03
2.265810459999999971e+00,7.027848135000000184e+03
2.266008971000000205e+00,7.027710466999999880e+03
2.266207481999999995e+00,7.027574403999999959e+03
2.266405992999999786e+00,7.027444212000000334e+03
2.266604502999999937e+00,7.027316109999999753e+03
2.266803014000000172e+00,7.027196313000000373e+03
2.267001524999999962e+00,7.027081065999999737e+03
2.267200036000000196e+00,7.026970895000000382e+03
2.267398546999999986e+00,7.026867341000000124e+03
2.267597058000000221e+00,7.026769341000000168e+03
2.267793643000000081e+00,7.026678520999999819e+03
2.267992153999999871e+00,7.026594767999999931e+03
2.268192591000000036e+00,7.026516690000000381e+03
2.268391101999999826e+00,7.026445082999999613e+03
2.268589611999999978e+00,7.026380968999999823e+03
2.268786282000000210e+00,7.026323862999999619e+03
2.268984793000000000e+00,7.026273734999999760e+03
2.269185144999999793e+00,7.026229244000000108e+03
2.269383656000000027e+00,7.026192243000000417e+03
2.269582166999999817e+00,7.026161946000000171e+03
2.269780198999999943e+00,7.026133963999999651e+03
2.269978710000000177e+00,7.026114147000000230e+03
2.270177700000000076e+00,7.026100241000000096e+03
2.270376210999999866e+00,7.026090334999999868e+03
2.270574721000000018e+00,7.026082440000000133e+03
2.270774117000000203e+00,7.026079542999999830e+03
2.270972627999999993e+00,7.026080643000000236e+03
2.271170253999999833e+00,7.026082814000000326e+03
2.271368765000000067e+00,7.026087913999999728e+03
2.271567275999999858e+00,7.026096316000000115e+03
2.271768035000000019e+00,7.026101966999999604e+03
2.271966545000000171e+00,7.026111552000000302e+03
2.272162809000000117e+00,7.026123711999999614e+03
2.272361319999999907e+00,7.026136864000000060e+03
2.272559831000000141e+00,7.026149539000000004e+03
2.272758340999999849e+00,7.026166127000000415e+03
2.272956852000000083e+00,7.026183704000000034e+03
2.273155362999999873e+00,7.026207502999999633e+03
2.273353874000000108e+00,7.026232455000000300e+03
2.273552384999999898e+00,7.026262464999999793e+03
2.273750896000000132e+00,7.026297403999999915e+03
2.273949406999999923e+00,7.026338673999999628e+03
2.274147918000000157e+00,7.026384778999999980e+03
2.274346428999999947e+00,7.026436896999999590e+03
2.274544940000000182e+00,7.026495154999999613e+03
2.274743449999999889e+00,7.026561270000000150e+03
2.274941961000000124e+00,7.026633512000000337e+03
2.275140471999999914e+00,7.026713509000000158e+03
2.275338983000000148e+00,7.026799739000000045e+03
2.275537493999999938e+00,7.026892605000000003e+03
2.275736005000000173e+00,7.026993169999999736e+03
2.275934515999999963e+00,7.027100207999999839e+03
2.276133027000000197e+00,7.027213477000000239e+03
2.276331537999999988e+00,7.027334074000000328e+03
2.276530049000000222e+00,7.027460272999999688e+03
2.276728558999999930e+00,7.027592286000000058e+03
2.276927070000000164e+00,7.027727614999999787e+03
2.277125580999999954e+00,7.027869407999999567e+03
2.277324092000000189e+00,7.028013764000000265e+03
2.277522602999999979e+00,7.028163289000000077e+03
2.277721114000000213e+00,7.028312496999999894e+03
2.277919625000000003e+00,7.028465798000000177e+03
2.278118135999999794e+00,7.028618843000000197e+03
2.278314860000000053e+00,7.028771136000000297e+03
2.278513370999999843e+00,7.028923107999999957e+03
2.278713667999999970e+00,7.029076551000000109e+03
2.278912179000000204e+00,7.029225953999999547e+03
2.279110689999999995e+00,7.029369875999999749e+03
2.279307590000000161e+00,7.029509479999999712e+03
2.279506100999999951e+00,7.029644274999999652e+03
2.279706222999999810e+00,7.029774376999999731e+03
2.279904734000000044e+00,7.029897635999999693e+03
2.280103244999999834e+00,7.030011249999999563e+03
2.280301506999999894e+00,7.030115899000000354e+03
2.280500018000000129e+00,7.030210124000000178e+03
2.280698778000000093e+00,7.030294684999999845e+03
2.280897287999999801e+00,7.030368435999999747e+03
2.281095799000000035e+00,7.030430378000000019e+03
2.281295425000000154e+00,7.030481373999999960e+03
2.281493935999999945e+00,7.030519694999999956e+03
2.281691331999999850e+00,7.030545374000000265e+03
2.281889843000000084e+00,7.030559588000000076e+03
2.282088353999999875e+00,7.030561367999999675e+03
2.282289342999999970e+00,7.030551637999999912e+03
2.282487853000000122e+00,7.030530418999999711e+03
2.282683887000000134e+00,7.030499278999999660e+03
2.282882396999999841e+00,7.030457669000000351e+03
2.283080908000000075e+00,7.030405824000000393e+03
2.283279418999999866e+00,7.030344125999999960e+03
2.283477930000000100e+00,7.030272404000000279e+03
2.283676440999999890e+00,7.030188919000000169e+03
2.283874952000000125e+00,7.030094774999999572e+03
2.284073462999999915e+00,7.029988344000000325e+03
2.284271974000000149e+00,7.029870162000000164e+03
2.284470484999999940e+00,7.029740426000000298e+03
2.284668996000000174e+00,7.029600108999999975e+03
2.284867505999999882e+00,7.029450004999999692e+03
2.285066017000000116e+00,7.029289026000000376e+03
2.285264527999999906e+00,7.029115114000000176e+03
2.285463039000000141e+00,7.028936007999999674e+03
2.285661549999999931e+00,7.028746901000000435e+03
2.285860061000000165e+00,7.028550048000000061e+03
2.286058571999999955e+00,7.028346779000000424e+03
2.286257083000000190e+00,7.028138946000000033e+03
2.286455593999999980e+00,7.027925312999999733e+03
2.286654105000000214e+00,7.027707755000000361e+03
2.286852614999999922e+00,7.027489235000000008e+03
2.287051126000000156e+00,7.027266045000000304e+03
2.287249636999999947e+00,7.027042848000000049e+03
2.287448148000000181e+00,7.026821686999999656e+03
2.287646658999999971e+00,7.026601348000000144e+03
2.287845170000000206e+00,7.026381416999999601e+03
2.288043680999999996e+00,7.026165334999999686e+03
2.288242191999999786e+00,7.025953612999999677e+03
2.288440703000000020e+00,7.025744969999999739e+03
2.288639213999999811e+00,7.025539768999999978e+03
2.288836075999999942e+00,7.025341134999999667e+03
2.289034587000000176e+00,7.025149067000000286e+03
2.289234745999999987e+00,7.024957972000000154e+03
2.289433257000000221e+00,7.024775015000000167e+03
2.289631768000000012e+00,7.024597983999999997e+03
2.289828898000000112e+00,7.024428958999999850e+03
2.290027408999999903e+00,7.024264357000000018e+03
2.290227300999999827e+00,7.024103586999999607e+03
2.290425812000000061e+00,7.023951834999999846e+03
2.290624322999999851e+00,7.023802869000000101e+03
2.290822814999999846e+00,7.023662443000000167e+03
2.291021326000000080e+00,7.023525553000000400e+03
2.291219855000000027e+00,7.023391722000000300e+03
2.291418365999999818e+00,7.023262923999999657e+03
2.291616877000000052e+00,7.023137638999999581e+03
2.291816733000000106e+00,7.023015924000000268e+03
2.292015243999999896e+00,7.022894879999999830e+03
2.292212409999999867e+00,7.022776023999999779e+03
2.292410921000000101e+00,7.022658921000000191e+03
2.292609431999999892e+00,7.022539437000000362e+03
2.292809569000000103e+00,7.022418749000000389e+03
2.293008079999999893e+00,7.022295030999999653e+03
2.293204964000000068e+00,7.022170758000000205e+03
2.293403474999999858e+00,7.022043010999999751e+03
2.293601986000000093e+00,7.021911406999999599e+03
2.293800496999999883e+00,7.021775668999999652e+03
