x(m),wallHeatFlux(W/m2)
3.516137836044233023e-01,3.847134998741049694e-01
6.936696621060163270e-01,5.325034270315048834e-01
2.485905123444135389e-01,2.155450165979005961e-01
4.060961027370079135e-01,2.275908355914879611e-01
2.672219984232471202e-01,3.639364408880176871e-01
1.001827865538547080e-01,8.006194802615459460e-01
5.161476276404658448e-01,3.471802150181576563e-01
5.906232515258016402e-01,8.924904641708980568e-01
9.368105191770503826e-02,3.321070768408181939e-01
5.678336835086679191e-01,9.970975967838525689e-01
6.470285121186243327e-01,3.316344129097829052e-01
1.141925997538585369e-01,4.336940051479636349e-01
1.067679425245323666e-01,2.072170644339514922e-01
5.630148414011719726e-01,3.138125723777581699e-01
2.270259297042611646e-01,6.703719559677326911e-01
8.990629180263070008e-01,9.390138452647858180e-01
9.937355387028987685e-01,8.135129879129148200e-01
7.292660453145571875e-01,9.304254377707127377e-01
3.537922633681699347e-01,1.100173978814706910e-01
2.931409974036148780e-01,2.411405793067211700e-02
3.729343545417295180e-01,4.471310847941941669e-01
8.735614986356758926e-01,7.526444933081278821e-01
1.347270175134251957e-01,2.383816835406590284e-01
5.001815741497781520e-01,6.096266284931517454e-02
8.831233359646959435e-01,5.562591874673046277e-01
5.496831188876114549e-01,1.372436323057946161e-01
4.060975955401960880e-01,9.357454064441550479e-02
2.054946243071870127e-01,5.597088994964233288e-01
7.721500282673590121e-01,3.184821042490380005e-01
3.192171706774895590e-01,1.327827943527303267e-01
6.610244027777029130e-01,6.678008388272392848e-01
4.503059669176634472e-03,4.073311749592648523e-01
9.687295607720839419e-01,7.207242487232468076e-01
6.482434409215805937e-01,2.475859688670829506e-01
1.136310175407639900e-01,5.218440349858949334e-01
3.006682537777336517e-01,6.362259063003793402e-01
3.588235926523670738e-01,3.429488501550503887e-01
1.340016572727223965e-01,7.035979326685637414e-02
3.414473369551629389e-02,8.647913084604689216e-01
1.365634878755113135e-01,5.064289142341740213e-01
2.071030645144266158e-01,8.647363966897673171e-01
1.371671825046026916e-01,4.572675650811385273e-01
8.957339278299456531e-01,8.647586668494712248e-01
3.030324635757045693e-01,5.491512826740730935e-01
6.352323317173844686e-01,4.750777271832730131e-01
6.374062046396986592e-01,5.879466889523314865e-01
9.229758580782780886e-01,2.208617202043076100e-01
7.216727217407999939e-01,6.877327312572054652e-01
5.097734567688788632e-01,5.243120501004846501e-01
2.896287586330443808e-01,5.842778948676905504e-01
4.774473246639698853e-02,3.020696060824779039e-02
5.558453516799000127e-01,9.252788387529480296e-01
7.439165733087167443e-01,5.966503139805181544e-01
9.413140403654745025e-01,7.078836344466488129e-02
5.047845726644145659e-01,9.474323419941897972e-01
6.513133613499779706e-01,6.749478919967355495e-02
5.778158561108649449e-01,2.155463973427362845e-02
5.525781964527359813e-01,1.106125193660172368e-01
6.653983898771319572e-01,9.166507570615418654e-01
9.101855979538371333e-01,7.999657566871395398e-01
9.706882704448058785e-01,5.474362187718759820e-01
8.149819760230021526e-01,6.460701291208047481e-01
5.306777340953502398e-01,1.338001134272451820e-01
4.999619253782958683e-01,8.828996966543025682e-01
7.611510048390582872e-01,6.370171111769467043e-01
2.019835620121971376e-01,5.766291468204525206e-01
9.653420810241899463e-01,2.554815332504344338e-01
3.985978618561306641e-01,2.190463259392378959e-01
7.680716155482696372e-01,3.573788433801520226e-01
2.850607272565973682e-01,9.326803602198220355e-01
3.191327992188608409e-01,7.114713779810758476e-01
5.460263169281919238e-01,6.716279538586908959e-01
6.330320900337532697e-01,1.005604996604384516e-01
7.729135517082774687e-02,3.657608404755703368e-01
9.342035110398674291e-01,8.301828310409303802e-01
4.466003542598787623e-01,2.546810320664858462e-01
8.549736171670401230e-01,6.134270844668052725e-01
9.622894015617411423e-01,7.462652904943125609e-01
8.428038438977822899e-01,7.640986562557807726e-01
9.554223616958432697e-01,1.236549622425343609e-01
6.140679311470359503e-01,7.499183042303959601e-01
4.011683849650484746e-01,8.207053718876711201e-01
8.862386116822977833e-01,5.369854296761863433e-01
3.015154950780897236e-01,9.244243081311911414e-01
7.039234855866297602e-01,7.167273661758112313e-01
4.183196792881069825e-01,8.164711596489617751e-01
8.936396068700879214e-01,3.277312336506045254e-01
9.136666737553438278e-01,8.570795676726503665e-01
8.549780340304369286e-02,4.271960737697277910e-02
7.693237348643511275e-02,8.827260085102982545e-01
6.667750775723177981e-01,9.034578547958892480e-01
9.334816003048264088e-01,5.746995224919463352e-01
5.249059927177058826e-01,4.550867406618726019e-01
6.149951284836345788e-01,2.955750349030861202e-01
9.627842128247781073e-01,7.916078406456141803e-01
8.633922183523403682e-01,9.161090082844376425e-01
1.714614458133605357e-01,6.083597235356330568e-01
3.040249129473365786e-01,6.565123925360372148e-01
6.652037339201043453e-01,5.685472490422402991e-01
3.531755366987017197e-01,6.861243278802844348e-01
