x(m),wallHeatFlux(W/m2)
8.787153208940069460e-01,7.177924534395390133e-01
7.710596483521769962e-01,4.667626178265414927e-01
1.881496786256672271e-01,5.096955814848607158e-01
5.204215392083556546e-01,3.921034343832618951e-01
1.343002728328668294e-01,8.353700005542719076e-02
9.185668990866879824e-01,4.115197647803130465e-01
4.021982889889651469e-01,5.338310653627330593e-01
6.701428706811722869e-01,4.369680970678679888e-02
2.165608082738109674e-01,7.492318796812524884e-02
6.411447740613273050e-01,6.868951865073333884e-01
7.112101081686929005e-01,9.771799385348555189e-01
7.286159948531388819e-01,4.496276478668522758e-01
6.481755741733408183e-01,4.509097932628202132e-01
4.754494512637119641e-02,1.317776494080220573e-01
9.194195035448043951e-01,3.741885725246827388e-01
8.619654828658973589e-02,6.091090443381503849e-01
7.875074008205995568e-02,6.821868236114817519e-01
7.815992984427084789e-01,2.474807741116957782e-02
1.184753962421735141e-01,7.000753280404187207e-01
2.468120337731061209e-02,7.680828851512921940e-02
3.464043780681580476e-02,3.130736983799640161e-01
3.125636451055574527e-01,7.634333750668564900e-02
2.660065989314015500e-01,5.063886715223289148e-01
1.469575582847673090e-01,8.702432022220576435e-01
2.703297310717168722e-01,3.261895244800426807e-01
2.252958098398205600e-01,7.749602922775225000e-01
8.936111894115529308e-01,7.559171930447278198e-01
9.726296845124493551e-03,9.150818027085004802e-01
5.628930570159362823e-01,3.270433399492873594e-01
8.678847497643880082e-01,6.019569428814652845e-02
4.219552813806997094e-01,9.539301781558445770e-01
7.368154934621576890e-01,1.927254255515286063e-01
6.184050795534139500e-01,3.009251024921744122e-01
4.184036978187871680e-01,5.729822658322698548e-01
5.101807267212052910e-01,3.085411656687341297e-01
5.319156383319811887e-03,3.078075803722586379e-01
9.105506485568249930e-01,5.180818620543192754e-02
4.003723354502544129e-01,8.407875398033981540e-01
5.569243090588897882e-01,8.213154560254034564e-01
4.227704212401146577e-01,2.114832925485193860e-01
3.545142888151672222e-01,8.629854414617125213e-01
3.858791603798230607e-01,6.629397520282674927e-01
5.403801852201707279e-01,1.307190095934198659e-01
5.797394001060925950e-01,1.599073427269690484e-01
4.748020732925465337e-01,6.691515806828574053e-02
2.359558781415750373e-01,5.534123831548798389e-02
8.931250405668520465e-01,9.925680399367186046e-01
6.034038427373533686e-02,5.067273088900623446e-01
9.718187596930302208e-01,5.102404603642345382e-01
8.738372020603479839e-01,5.979054835183350569e-02
1.504209960907064714e-01,6.876039306165845355e-01
3.164509665130603722e-01,7.587094768762903119e-02
5.251916825560938307e-01,4.749092776423787798e-01
6.772333359716132817e-01,1.837338849702226939e-01
9.142078515408395001e-01,3.325373293122568796e-02
8.847753963841381575e-01,1.876027454579256570e-01
3.216273090607801866e-01,7.117309647436586006e-01
8.775273404533288080e-01,2.093607736339413439e-01
7.469537679781965700e-01,7.241458404050501452e-01
6.031952802799656066e-01,4.895338466669724165e-01
7.479957621151892555e-01,1.914758437391830270e-01
2.466360968526859487e-02,2.666115603139559420e-01
3.066354801716789646e-01,1.343441624645393961e-01
7.617214451481520987e-01,6.939947462432316527e-03
4.956360396270975688e-01,3.578586893933025648e-01
7.831071241894129731e-01,9.074729053759424957e-01
8.356468960830463200e-01,7.065413497665389286e-01
5.105826921929812467e-02,2.560847748184884587e-01
9.904764419669641606e-01,6.780263077613879474e-01
9.624351178156022035e-01,4.279023806552497700e-01
5.572363423338959620e-01,3.908067747290444593e-01
8.550480255706154331e-01,7.945307120279242463e-01
1.489391576333469747e-01,4.962978152022671230e-01
6.951787779495144370e-01,8.277835668267677915e-01
3.885663440212377973e-01,2.935778519834575384e-01
3.725259731897808679e-01,8.965483777105901497e-01
7.680654234648112144e-01,4.486767827289455113e-01
4.901228180185805972e-01,5.667843369324199188e-01
8.948690416571517536e-01,5.148090051761388120e-01
7.665629265926245939e-01,2.414747108034626111e-01
6.202585653719059344e-01,3.126338794937700838e-01
8.944237220649121634e-01,5.433999938037348265e-01
7.587256756035034577e-01,2.561883206083191977e-01
8.750155377947995694e-01,5.836680433272459778e-01
2.469563912776899794e-01,7.761129889836236861e-01
2.074630688466394535e-01,2.154311930835723921e-01
5.321568696092806583e-01,6.500451444898220910e-01
5.580857549456625932e-01,2.739470524175917632e-01
2.854419578946736369e-01,5.178839739774974138e-01
6.620711854871483837e-01,8.585080859195979297e-01
4.888536685363403800e-01,3.140770230634314375e-01
5.251523315631672073e-01,5.814051409253399028e-01
9.314666653953935782e-01,6.541575205284233530e-01
2.632185636934190054e-01,4.083470970583360504e-01
4.676068742705863368e-02,3.363035150317826849e-01
1.711649530221938109e-01,5.280544514646292598e-01
3.422801615218449278e-01,4.386206091178918021e-01
2.416152913123542634e-01,7.542599578290410944e-01
3.409808597210273184e-02,2.550728266945736511e-01
2.456253029340729199e-01,4.644159146506487978e-01
