x(m),wallHeatFlux(W/m2)
6.797399777866762749e-01,2.853165604535551347e-01
6.583890803439836903e-01,9.505824533793988396e-01
3.904071870016104784e-01,8.694518594725004768e-01
1.023393295576023876e-01,4.898211764194356777e-01
6.250416378212835244e-01,3.579387032786296441e-02
7.263270566714996601e-01,7.230168179347727930e-01
9.808812425832702520e-01,5.032791017720861237e-02
5.431794020999081152e-02,5.957441048922493820e-01
4.904993137421261862e-01,7.492045951567301021e-01
6.064168265946999758e-01,8.875763146323709663e-01
6.150433606479304149e-01,3.304911457134166453e-01
9.842599830340238443e-01,9.493078619156174458e-01
2.205940249965807620e-01,1.994927858386739139e-01
2.990486461467504187e-01,4.111350903701684878e-01
3.070320607813847857e-01,9.431454819125271172e-01
9.638533809786434814e-01,2.026759798099799781e-01
4.396686454675358124e-01,7.218818185350155403e-01
3.456953882574328452e-01,8.983927766121233560e-01
5.574860493653348570e-01,3.184802548670591094e-01
4.372312921957807186e-01,8.929003382927769294e-02
4.969163876367510557e-01,6.425118709477408707e-01
6.629408436630179757e-02,4.545956191272758629e-01
6.874153422682364178e-01,6.753848995357737417e-01
7.125881725862064364e-01,4.474277120401877195e-01
9.534525778044012911e-01,2.542251797895249688e-01
7.843989705473525254e-01,3.078257058942562852e-01
7.297942658514195990e-01,7.799514108169713911e-01
3.733232860804527320e-01,4.572301434907627415e-01
5.552989938714348872e-01,9.675598072352650236e-01
8.087892643628045164e-01,3.149157463959102454e-01
3.249758675179866829e-01,5.232956197394922349e-02
7.765166498782702931e-01,6.877815554861953506e-01
6.420434342969151276e-01,9.126548620175467530e-02
1.750732894297923892e-01,6.522929077976452605e-01
4.814634390786765028e-01,9.574222502714051508e-01
7.316995956129459522e-01,3.499753084053455199e-01
1.117862671007869846e-01,2.148218912014321358e-02
7.385663546552624359e-01,5.143533890008300524e-01
4.652012584642015725e-01,9.982449272636650939e-01
8.045171980510401610e-02,3.750895605505889518e-01
2.205297097236422754e-01,7.043856941333621613e-01
2.954575014567675240e-01,4.517030047628209921e-01
9.826250161203015088e-01,5.479211066838427513e-01
1.032981169601980831e-01,6.944621954333390912e-01
2.122709158136736329e-01,9.444423399731607383e-01
6.128955741870416585e-01,5.962831103902173080e-01
7.221462350308697209e-01,6.426197831585911402e-02
4.438988031742638896e-01,8.851171485297036901e-01
4.174965695122994092e-01,2.883948826011554223e-01
3.154619703211481996e-01,8.612713363847755987e-01
3.684736802150886392e-01,3.013908370215151455e-01
2.049388164637634402e-01,8.750942676887096816e-02
7.205875722216104062e-01,9.223517872684576790e-01
5.355912644042960524e-01,5.318248011690840382e-01
2.484793727680392195e-01,4.621810885491067777e-01
7.089671850873974224e-01,8.418644182827217382e-01
9.965236598659945599e-01,4.480616891362396714e-01
8.485380209599340251e-01,4.982882768930116946e-01
4.445723425224733516e-01,2.916262318231388484e-01
3.232530849230987879e-01,8.199093831379343777e-01
4.742362741527358372e-01,5.067734924142651698e-01
6.813711098266991284e-01,6.526041905663882980e-01
3.246348527561138120e-02,2.418880443086779408e-02
1.981656311440963547e-01,8.543163348765149268e-01
6.498332137607532033e-03,6.582998873040313281e-01
5.895531076192366271e-01,5.606859412254455721e-01
4.781155008497491865e-01,2.562474347103066430e-01
2.372328985387539557e-01,1.140716850664353910e-01
2.462885773906117182e-01,3.907847655331189163e-01
1.548926306891961202e-01,4.398069092273318992e-01
3.826240644042390171e-01,5.369845720347693474e-01
6.616706005637286170e-01,1.806864266845652489e-01
4.539543071193249402e-01,5.005142677720586519e-01
7.073202323150509230e-01,8.207313540603976554e-01
9.950594377586338135e-01,3.232234200467765106e-01
4.689154807050194274e-01,1.177570335581356042e-01
8.875412574006384947e-01,2.914798276692092127e-01
1.261535057873097720e-02,5.131095115546879804e-03
6.933548124816825142e-01,5.202104894264957258e-01
6.599699996879815345e-02,9.068429437227669698e-01
2.680115042356249200e-01,9.003319882344784642e-01
4.968116931902291089e-01,9.028413364410295960e-01
1.278918029179098026e-01,3.202728952639763982e-01
7.102010386983297341e-01,7.419205967533227808e-01
4.839867327657465523e-02,5.807587312283312153e-01
5.529566050862197990e-01,5.851350302719382501e-02
2.197805350189073748e-01,1.991070877036471565e-01
4.290290271061701910e-01,8.930033758011792777e-01
5.474851136617011615e-01,2.642215276549195746e-01
1.205068198632429644e-01,6.864078320738246086e-01
9.488146101550301026e-01,4.316704633757951770e-01
2.548864073168127797e-01,1.390957006568924736e-01
8.660489837218406928e-01,7.158049504425203491e-01
9.757844961601026545e-01,6.999009470621303519e-01
2.472422076865307128e-01,4.782317104832511934e-01
1.750377681427428556e-01,7.454085125240381693e-01
7.773027957248557218e-02,7.131663946909425622e-01
5.720039956621187915e-01,3.399365876671874842e-01
7.817671293520017661e-01,3.138238008479113939e-01
5.644791823222192750e-01,3.651318513349455230e-01
