x(m),wallP(Pa)
4.671836757493769143e-01,9.011231512918587150e-01
2.826613998505069780e-01,9.465850894811795868e-01
9.674052534819668203e-01,5.483339789740956371e-01
9.086127073106705643e-01,1.529375569874128482e-01
7.902660376776008411e-01,9.943866708960691358e-02
8.187141947559766209e-01,9.086789104933089556e-01
7.567578434346527994e-01,8.333918187492763696e-01
5.078740207661356365e-01,5.231140416860825537e-01
6.417294990408051181e-01,4.916280841023024095e-01
8.857883973639435471e-02,2.476033877299766983e-01
2.350314854809817389e-01,6.331145783708668207e-01
7.117334239979955512e-03,5.130167279565245320e-02
6.828767611379448210e-01,8.430880538199863050e-01
8.024571665156170486e-01,2.163081629263127192e-01
1.201554538835236663e-02,2.727640798111289344e-01
9.517796212956998181e-01,1.684739421807270876e-01
7.101110364823914889e-02,5.676474314593871195e-01
4.964706426799886385e-01,4.145333667398317656e-01
2.588392649082328356e-01,6.161458313949025323e-01
7.159809440749451692e-01,5.651298582122760150e-01
7.925969592675187192e-01,5.121744873737983372e-01
4.418061923167759808e-01,5.601889064139556895e-01
2.963273132592201264e-01,9.111718924445053602e-01
4.148231230998392638e-01,9.999341435104682763e-01
9.472004083297499433e-01,6.861203834464738582e-01
1.223060634523428503e-01,4.439247764867106927e-01
9.633945824765918209e-01,8.850158568351462751e-02
5.650612186305322693e-01,6.682344871269844111e-01
8.675248965894138964e-01,5.990346839198923412e-01
9.187458230258689351e-01,9.969807995221194874e-01
5.892971138009572840e-04,8.401447840563551761e-01
2.961605847033607075e-01,8.520137185117853118e-01
9.029454411357806798e-01,7.984232306414257296e-01
4.693356150523320114e-02,1.708999302488969363e-01
3.222970271483075466e-01,4.886854523542779605e-01
2.338874698403903274e-02,1.997225555293241639e-01
1.779501987511973304e-01,1.149189872648034294e-01
7.499145737206855955e-01,6.682701855087136433e-02
9.780023893266543977e-01,8.523814402397766887e-02
1.804069420631563281e-01,8.233302946342164752e-01
2.112290791737360118e-01,8.663498251955727980e-01
3.571107194565092957e-01,8.681007491621990368e-01
3.981183469586948576e-01,9.194355705935139955e-01
2.134920319808742972e-01,1.035679905982636040e-01
5.707429524959639622e-01,7.099292356364165224e-01
1.900187203289852578e-01,3.461693315640925750e-01
4.780526459419877083e-01,6.853082240762440325e-01
7.120664859593517360e-01,6.864148676215234834e-01
2.545895611109112444e-01,8.427336588993660227e-01
2.029728523934649642e-01,7.789485391588536478e-01
1.544649427272454245e-01,4.706926213367691458e-01
5.759404666633399783e-01,8.732972645497506514e-01
6.927367803572925808e-02,8.210314538026275422e-02
6.596239939839958488e-01,1.763880270100953718e-01
2.829158595891495542e-01,6.906951287994170796e-01
4.617226156586184960e-02,7.702299690159539747e-01
7.834849822047127432e-01,5.069913572142012992e-01
7.661914600936772235e-01,7.930733196936259333e-01
3.422510203054277556e-01,4.889047292158561486e-01
2.436868113292520732e-01,1.998523562703062861e-01
7.723712790362669001e-01,1.786763626521226112e-01
3.363997698585766694e-01,2.307413842565303463e-01
9.765681362391757103e-01,2.543662612829208358e-01
6.918405506715981090e-01,1.507384977324840447e-01
2.529520792220715242e-01,3.869942744444970772e-01
9.149647172695581920e-01,3.077664270168735117e-01
6.213810909429341445e-01,4.408378045483455354e-01
5.141452827735339959e-01,2.489010893686719461e-01
2.597388095529299390e-01,6.507575281151055657e-01
9.348255645566836414e-01,4.295361263710244515e-01
1.754785577227331306e-01,2.495110147518233568e-01
7.849561045884634325e-01,8.870621275639219983e-01
9.123619591419155350e-01,7.295259519657606440e-01
2.931370277780118716e-01,6.121645324017178647e-01
1.856300384846014673e-01,1.475510583434560541e-01
2.624155545166839687e-01,1.828351280444373561e-01
5.127992864791199867e-01,9.353997294280661512e-01
6.996978842127169473e-01,1.836752367507100692e-01
8.180139230667042849e-01,1.153164530692538658e-01
5.867847641410706139e-02,9.186437089299045455e-01
2.843713208767936207e-01,2.403864784829745638e-01
1.785239446727870938e-02,1.452060107571373493e-01
3.104481058282951844e-01,4.985653135427714489e-02
8.097976294503250738e-02,7.371634155262504207e-01
7.671168456302867034e-01,5.354396252888704577e-01
2.852315593138815553e-01,2.208182255850867914e-01
6.191608313142780151e-01,3.865294563192620547e-01
8.427326550319294007e-01,7.319030188472331888e-01
3.188872847544370615e-01,4.232719000013940303e-01
7.324529021911430071e-01,4.090467883036185137e-01
6.550931282263916522e-03,3.151522148780924182e-01
2.674113194138535432e-01,5.709021645406078260e-01
4.609280549833341123e-01,2.250482593309408585e-01
9.407054132682800551e-01,6.020308734705464015e-01
5.969623059647110042e-01,8.279402226397569731e-01
9.871263078892822396e-02,4.309462284160237022e-01
6.063182099937938219e-01,2.824769838078975415e-01
6.102332682980768919e-01,4.660890275887574763e-01
3.898117870230924931e-01,8.461733702030586057e-01
7.802676922276321481e-01,3.534716489510658644e-02
