x(m),wallHeatFlux(W/m2)
0.000000000000000000e+00,5.095014500000000000e+06
6.203680499999999565e-04,3.979075200000000186e+06
1.240736099999999913e-03,2.542487000000000000e+06
1.861104199999999995e-03,2.066280199999999953e+06
2.481472199999999826e-03,1.817724199999999953e+06
3.101840099999999840e-03,1.661799500000000000e+06
3.722208299999999956e-03,1.553587800000000047e+06
4.342576499999999638e-03,1.473641100000000093e+06
4.962944399999999652e-03,1.412317000000000000e+06
5.583312400000000134e-03,1.363985600000000093e+06
6.203680300000000147e-03,1.323568100000000093e+06
6.824048699999999898e-03,1.289511800000000047e+06
7.444416599999999912e-03,1.262214399999999907e+06
8.064784999999999662e-03,1.238139100000000093e+06
8.685152999999999276e-03,1.213417500000000000e+06
9.305520899999999290e-03,1.194453000000000000e+06
9.925888900000000639e-03,1.179986800000000047e+06
1.054625699999999985e-02,1.162672500000000000e+06
1.116662499999999947e-02,1.146125199999999953e+06
1.178699300000000082e-02,1.134106500000000000e+06
1.240736100000000043e-02,1.123151100000000093e+06
1.302772900000000005e-02,1.108386800000000047e+06
1.364809699999999966e-02,1.095137399999999907e+06
1.426846499999999927e-02,1.087277500000000000e+06
1.488883300000000062e-02,1.079121199999999953e+06
1.550920100000000024e-02,1.067681600000000093e+06
1.612956999999999932e-02,1.059142800000000047e+06
1.674993699999999947e-02,1.053731100000000093e+06
1.737030599999999855e-02,1.044557300000000047e+06
1.799067299999999869e-02,1.032604800000000047e+06
1.861104200000000125e-02,1.025079000000000000e+06
1.923140900000000139e-02,1.020930900000000023e+06
1.985177800000000048e-02,1.013734099999999977e+06
2.047214500000000062e-02,1.005563599999999977e+06
2.109251399999999971e-02,1.000804099999999977e+06
2.171288199999999932e-02,9.967871199999999953e+05
2.233324899999999946e-02,9.885311199999999953e+05
2.295361799999999855e-02,9.808636199999999953e+05
2.357398499999999869e-02,9.777091199999999953e+05
2.419435400000000125e-02,9.739876199999999953e+05
2.481472100000000139e-02,9.679018800000000047e+05
2.543509000000000048e-02,9.632002500000000000e+05
2.605545700000000062e-02,9.606472500000000000e+05
2.667582599999999970e-02,9.554351199999999953e+05
2.729619499999999879e-02,9.467811199999999953e+05
2.791656199999999893e-02,9.422058100000000559e+05
2.853693100000000149e-02,9.411055600000000559e+05
2.915729800000000163e-02,9.370590600000000559e+05
2.977766700000000072e-02,9.320475000000000000e+05
3.039803400000000086e-02,9.295576199999999953e+05
3.101840200000000047e-02,9.274575000000000000e+05
3.163877100000000303e-02,9.223527500000000000e+05
3.225913999999999865e-02,9.165392500000000000e+05
3.287950500000000331e-02,9.134476199999999953e+05
3.349987399999999893e-02,9.108488100000000559e+05
3.412024300000000149e-02,9.077543800000000047e+05
3.474061199999999711e-02,9.058344399999999441e+05
3.536097700000000177e-02,9.026356199999999953e+05
3.598134599999999739e-02,8.978107500000000000e+05
3.660171499999999994e-02,8.944661899999999441e+05
3.722208400000000250e-02,8.933398100000000559e+05
3.784245299999999812e-02,8.918936199999999953e+05
3.846281800000000278e-02,8.873949399999999441e+05
3.908318699999999840e-02,8.828365600000000559e+05
3.970355500000000148e-02,8.806995600000000559e+05
4.032392399999999710e-02,8.782715000000000000e+05
4.094428900000000177e-02,8.754938100000000559e+05
4.156465799999999738e-02,8.738295600000000559e+05
4.218502699999999994e-02,8.711310600000000559e+05
4.280539600000000250e-02,8.671568800000000047e+05
4.342576499999999812e-02,8.649897500000000000e+05
4.404613000000000278e-02,8.646980600000000559e+05
4.466649899999999840e-02,8.624286899999999441e+05
4.528686800000000096e-02,8.583266899999999441e+05
4.590723699999999657e-02,8.565445600000000559e+05
4.652760200000000124e-02,8.555963100000000559e+05
4.714797099999999686e-02,8.527040600000000559e+05
4.776833999999999941e-02,8.497553100000000559e+05
4.838870800000000250e-02,8.485130600000000559e+05
4.900907699999999811e-02,8.473131899999999441e+05
4.962944200000000278e-02,8.443190000000000000e+05
5.024981099999999840e-02,8.411836899999999441e+05
5.087018000000000095e-02,8.394398100000000559e+05
5.149054899999999657e-02,8.374981199999999953e+05
5.211091400000000123e-02,8.345238800000000047e+05
5.273128299999999685e-02,8.324201199999999953e+05
5.335165199999999941e-02,8.317960000000000000e+05
5.397202100000000197e-02,8.291965000000000000e+05
5.459238999999999759e-02,8.259728800000000047e+05
5.521275500000000225e-02,8.258402500000000000e+05
5.583312399999999787e-02,8.255322500000000000e+05
5.645349200000000095e-02,8.229960000000000000e+05
5.707386099999999657e-02,8.217750600000000559e+05
5.769422700000000070e-02,8.213208100000000559e+05
5.831459499999999685e-02,8.185073100000000559e+05
5.893496399999999941e-02,8.157991899999999441e+05
5.955533300000000196e-02,8.154603800000000047e+05
6.017570199999999758e-02,8.148070000000000000e+05
6.079606700000000225e-02,8.125548100000000559e+05
6.141643599999999786e-02,8.113698100000000559e+05
6.203680500000000042e-02,8.105010000000000000e+05
6.265716999999999814e-02,8.079022500000000000e+05
6.327754300000000554e-02,8.052065000000000000e+05
6.389790800000000326e-02,8.045410000000000000e+05
6.451827999999999730e-02,8.041204399999999441e+05
6.513864499999999502e-02,8.012132500000000000e+05
6.575901100000000610e-02,7.999958100000000559e+05
6.637938300000000014e-02,8.005669399999999441e+05
6.699974799999999786e-02,7.986311899999999441e+05
6.762011299999999558e-02,7.953711899999999441e+05
6.824048600000000298e-02,7.952330600000000559e+05
6.886085100000000070e-02,7.959999399999999441e+05
6.948122399999999421e-02,7.936189399999999441e+05
7.010158900000000581e-02,7.913956199999999953e+05
7.072195400000000354e-02,7.919171199999999953e+05
7.134232699999999705e-02,7.920163800000000047e+05
7.196269199999999477e-02,7.896491199999999953e+05
7.258306400000000269e-02,7.883286899999999441e+05
7.320342999999999989e-02,7.882123800000000047e+05
7.382379499999999761e-02,7.873543800000000047e+05
7.444416700000000553e-02,7.859303100000000559e+05
7.506453200000000325e-02,7.849728100000000559e+05
7.568490499999999677e-02,7.842596199999999953e+05
7.630526999999999449e-02,7.829874399999999441e+05
7.692563500000000609e-02,7.814325600000000559e+05
7.754600799999999960e-02,7.799903800000000047e+05
7.816637299999999733e-02,7.785451199999999953e+05
7.878673799999999505e-02,7.771009399999999441e+05
7.940711100000000244e-02,7.754368100000000559e+05
8.002747600000000017e-02,7.735760000000000000e+05
8.064784899999999368e-02,7.720418100000000559e+05
8.126821400000000528e-02,7.704936899999999441e+05
