x(m),wallP(Pa)
2.250074899999999989e+00,1.534570999999999913e+04
2.250695200000000007e+00,1.534601000000000022e+04
2.251315599999999861e+00,1.534618599999999969e+04
2.251936000000000160e+00,1.534636000000000058e+04
2.252556300000000178e+00,1.534621800000000076e+04
2.253176700000000032e+00,1.534582899999999972e+04
2.253797099999999887e+00,1.534557799999999952e+04
2.254417399999999905e+00,1.534539899999999943e+04
2.255037800000000203e+00,1.534522899999999936e+04
2.255658100000000221e+00,1.534465899999999965e+04
2.256278500000000076e+00,1.534397899999999936e+04
2.256898899999999930e+00,1.534362900000000081e+04
2.257519199999999948e+00,1.534335800000000017e+04
2.258139599999999803e+00,1.534328000000000065e+04
2.258760000000000101e+00,1.534332300000000032e+04
2.259380300000000119e+00,1.534320399999999972e+04
2.260000699999999973e+00,1.534307300000000032e+04
2.260621099999999828e+00,1.534303499999999985e+04
2.261241399999999846e+00,1.534307599999999911e+04
2.261861800000000144e+00,1.534282500000000073e+04
2.262482199999999999e+00,1.534249300000000039e+04
2.263102500000000017e+00,1.534246899999999914e+04
2.263722899999999871e+00,1.534246600000000035e+04
2.264343300000000170e+00,1.534246099999999933e+04
2.264963600000000188e+00,1.534248199999999997e+04
2.265584000000000042e+00,1.534269900000000052e+04
2.266204399999999897e+00,1.534311700000000019e+04
2.266824999999999868e+00,1.534348300000000017e+04
2.267445299999999886e+00,1.534371399999999994e+04
2.268065700000000184e+00,1.534389600000000064e+04
2.268686100000000039e+00,1.534420499999999993e+04
2.269306400000000057e+00,1.534491699999999946e+04
2.269926799999999911e+00,1.534566300000000047e+04
2.270547200000000210e+00,1.534641799999999967e+04
2.271167499999999784e+00,1.534702100000000064e+04
2.271787900000000082e+00,1.534720900000000074e+04
2.272408200000000100e+00,1.534739199999999983e+04
2.273028599999999955e+00,1.534753800000000047e+04
2.273648999999999809e+00,1.534766300000000047e+04
2.274269299999999827e+00,1.534784200000000055e+04
2.274889700000000126e+00,1.534777299999999923e+04
2.275510099999999980e+00,1.534748300000000017e+04
2.276130399999999998e+00,1.534729900000000089e+04
2.276750799999999852e+00,1.534717699999999968e+04
2.277371200000000151e+00,1.534708599999999933e+04
2.277991500000000169e+00,1.534706600000000071e+04
2.278611900000000023e+00,1.534698999999999978e+04
2.279232299999999878e+00,1.534685299999999916e+04
