x(m),wallP(Pa)
0.000000000000000000e+00,1.945687099999999919e+04
6.203680499999999565e-04,1.803406599999999889e+04
1.240736099999999913e-03,1.625252000000000044e+04
1.861104199999999995e-03,1.584744299999999930e+04
2.481472199999999826e-03,1.579806500000000051e+04
3.101840099999999840e-03,1.578655700000000070e+04
3.722208299999999956e-03,1.577111100000000079e+04
4.342576499999999638e-03,1.575912999999999920e+04
4.962944399999999652e-03,1.574838700000000063e+04
5.583312400000000134e-03,1.573872899999999936e+04
6.203680300000000147e-03,1.572861800000000039e+04
6.824048699999999898e-03,1.571846399999999994e+04
7.444416599999999912e-03,1.571274599999999919e+04
8.064784999999999662e-03,1.571022099999999955e+04
8.685152999999999276e-03,1.570799699999999939e+04
9.305520899999999290e-03,1.570787900000000081e+04
9.925888900000000639e-03,1.570349300000000039e+04
1.054625699999999985e-02,1.569596199999999953e+04
1.116662499999999947e-02,1.569888600000000042e+04
1.178699300000000082e-02,1.570448300000000017e+04
1.240736100000000043e-02,1.570020800000000054e+04
1.302772900000000005e-02,1.569545399999999972e+04
1.364809699999999966e-02,1.569980800000000090e+04
1.426846499999999927e-02,1.570182599999999911e+04
1.488883300000000062e-02,1.569564600000000064e+04
1.550920100000000024e-02,1.569594599999999991e+04
1.612956999999999932e-02,1.570590600000000086e+04
1.674993699999999947e-02,1.570656799999999930e+04
1.737030599999999855e-02,1.569474899999999980e+04
1.799067299999999869e-02,1.568876499999999942e+04
1.861104200000000125e-02,1.569431099999999969e+04
1.923140900000000139e-02,1.569316400000000067e+04
1.985177800000000048e-02,1.568239600000000064e+04
2.047214500000000062e-02,1.567589400000000023e+04
2.109251399999999971e-02,1.567900599999999940e+04
2.171288199999999932e-02,1.567883300000000054e+04
2.233324899999999946e-02,1.567356099999999969e+04
2.295361799999999855e-02,1.567798400000000038e+04
2.357398499999999869e-02,1.568075200000000041e+04
2.419435400000000125e-02,1.567333699999999953e+04
2.481472100000000139e-02,1.566534200000000055e+04
2.543509000000000048e-02,1.566872500000000036e+04
2.605545700000000062e-02,1.567147600000000057e+04
2.667582599999999970e-02,1.566357400000000052e+04
2.729619499999999879e-02,1.565859399999999914e+04
2.791656199999999893e-02,1.566384499999999935e+04
2.853693100000000149e-02,1.566720199999999932e+04
2.915729800000000163e-02,1.566296700000000055e+04
2.977766700000000072e-02,1.566174200000000019e+04
3.039803400000000086e-02,1.566455299999999988e+04
3.101840200000000047e-02,1.566173600000000079e+04
3.163877100000000303e-02,1.565383300000000054e+04
3.225913999999999865e-02,1.565394800000000032e+04
3.287950500000000331e-02,1.565538400000000001e+04
3.349987399999999893e-02,1.565239600000000064e+04
3.412024300000000149e-02,1.565236199999999917e+04
