x(m),wallHeatFlux(W/m2)
8.365537144993602237e-01,2.573151363029175798e-01
3.667744844294499318e-01,2.797941855655294852e-02
7.484452702456309003e-01,9.712160254007250471e-01
7.969125207982254988e-01,5.017465840506555308e-01
1.483303638382045264e-01,1.246411309469442896e-01
6.312706319422154433e-01,6.923102140646669733e-01
7.580034506784906201e-01,2.316642130407962075e-01
1.959657450413029300e-01,3.856560135252762311e-01
7.018027031335338783e-02,3.823207158997438126e-01
4.426808617231225984e-02,5.152074000549148325e-01
4.822819968894981324e-01,7.956138326435299168e-01
6.734706166857595822e-02,9.441456495016773420e-01
2.964770815142748761e-01,7.614102760236307610e-02
2.047011691996691862e-01,4.898496157591043509e-01
3.220843713079352133e-01,6.307070840428808944e-01
6.992140379123148453e-01,1.876887153463538960e-01
4.951481581787866570e-01,5.091544454119413254e-01
6.388006401341739249e-03,1.761355336347923961e-01
5.324688927439124031e-01,8.858446361950125247e-01
2.840878126420601779e-01,1.301761268265125837e-01
9.244631837801251528e-01,2.667845585367664141e-01
9.101646890471482010e-01,6.146180432596789478e-01
5.124915133186817018e-01,3.894398037213653296e-01
3.356779000380072375e-01,3.922856863290592466e-01
3.206220658877818597e-01,4.511254824503319050e-01
9.697216582311454225e-01,6.387510013355329752e-01
3.002060510309818575e-01,8.902895870489933028e-01
7.900350607660975299e-01,8.657732126127454242e-01
4.332079773369066356e-01,4.496283637600458905e-01
3.105974496401376905e-01,8.188294085344801632e-01
8.785312715359094859e-03,4.792212596258221824e-01
7.699498200004050164e-01,1.151625866634128359e-01
2.091557981082800000e-01,2.778029854158847733e-02
2.474078355336615243e-01,2.710069562749244376e-01
9.097490949409591243e-01,8.262415947551267070e-01
9.678036329674402083e-01,1.619550426222055028e-01
3.425716464059186395e-01,3.831254928953659045e-01
9.968382159733139014e-01,9.320642727845173114e-01
6.153121811085497939e-01,7.054932194901312181e-01
8.890450713730994048e-01,1.713680557800048021e-01
9.020324412797462443e-01,2.485012776358758169e-01
5.686566334469455031e-01,4.134898242569419180e-01
5.138596124307299728e-01,1.662568684245661066e-01
9.318569252031967398e-01,4.274009257360225078e-01
1.085284501157233183e-01,7.937901004390357507e-02
4.876923597521851672e-01,7.726226487843250723e-01
8.896679779788255749e-01,6.917850692507717669e-01
3.009870019827147747e-01,5.921785352351927045e-01
7.522168740032183498e-01,5.498942394527668309e-01
9.843696629953269106e-02,6.340481059733024116e-01
5.256474125282625254e-01,6.271307446102855065e-01
4.914430812927276238e-01,9.131368613487063080e-01
1.753978253508297058e-01,9.017659690413686313e-01
6.703408231544444318e-01,1.466304113330599845e-01
6.155237040639641721e-01,8.931630148216082032e-01
9.148798822728843039e-01,9.978646295989179738e-02
7.196657664706371804e-01,5.597671796567252889e-01
5.170850484434917904e-01,8.840431822174098508e-01
5.819267126072620311e-01,2.062175461282933497e-02
5.204475923602829290e-01,5.331126643937231790e-01
2.705521687201075665e-01,4.471060605323186055e-01
6.389508214494705740e-01,5.810494052716307367e-01
2.415773261258866711e-01,2.465180715733772399e-02
8.003269823906091762e-01,2.392769660168598822e-01
8.736962524024308729e-01,1.236691220661892965e-01
8.927382383314899084e-01,1.196170017149349452e-01
9.939917928895736221e-01,9.632033199518273969e-01
9.620242089807145014e-01,3.459562718326228969e-01
6.950019874693014188e-01,3.709113888137206549e-01
3.060139195904421072e-02,6.582519340448472756e-01
2.900307916469022640e-01,2.411442602616001851e-01
1.527761742717472782e-01,9.422417569837902018e-01
4.682426003277261328e-01,6.378444711858308747e-01
4.373664743323126824e-01,1.484353648071906617e-01
6.955634036488241856e-01,9.968085610464002544e-01
9.176438872608195796e-01,7.073277229276625500e-01
5.737365947530916888e-01,2.461886313887207134e-01
4.903658168849183152e-01,8.629250936371202219e-01
2.864504883413881986e-01,6.648055760059567998e-02
4.049685245412890655e-01,9.299621438351178826e-01
2.320079641090657674e-01,6.132075050462811872e-01
3.099412686890318236e-01,1.004582958451818442e-01
5.814593133581436035e-01,8.067020221405178937e-01
8.924445224147290467e-01,7.536161603712165924e-01
7.202489434080201480e-01,6.012497015178437376e-01
4.178658305823013119e-02,6.347320845160597802e-01
2.782639315414446868e-01,3.629776322195163996e-01
1.051023681500473650e-02,9.621697455421355238e-01
3.949267385410598630e-01,6.726509942841962797e-01
9.356051150200802580e-01,6.105767412416990281e-01
6.152695012895154081e-01,6.032581698838188622e-01
1.556031600437931539e-01,4.682806214709479553e-01
7.877609188872690682e-01,1.765096701122350620e-01
3.740708196191745438e-01,5.160275167655550277e-01
9.907567159822960878e-01,5.058861482531556986e-01
8.785207884529082634e-01,2.280893982559125677e-01
3.062471753779487660e-01,4.020764272906137693e-01
8.626065569144444334e-01,9.896522955289942525e-01
2.820520428621564601e-01,2.464445080882914363e-01
2.791476206784849756e-01,9.160967252181073661e-01
