x(m),wallHeatFlux(W/m2)
2.035358316113365929e-01,7.538270133505211579e-01
2.173994529455890445e-01,6.057110443152436963e-01
7.233186955646249139e-01,8.169422568808384355e-01
4.661060900874330892e-01,6.791875749054774314e-01
5.612318206846688140e-01,8.668360975357713993e-02
2.085907698717859304e-01,2.296732889373778175e-01
5.055284890618128024e-02,3.969127050709606586e-01
1.454837554903595231e-01,7.867118818145415471e-01
5.283168031648403096e-01,1.189765235112720809e-01
6.135180402034686731e-01,9.008206375849092673e-03
4.114388682282666965e-01,9.108593508619127199e-01
4.490687817469684040e-01,3.493125421292789801e-01
8.611614308096458004e-01,3.096918669538095692e-01
8.647433049673549643e-01,6.448339398020348501e-01
7.967147176102390427e-01,2.089970496798757571e-01
5.616588369217737631e-01,3.694911417962584155e-01
4.735859187263121717e-01,3.637596473547151099e-01
8.098752640238792155e-01,5.259227387787563934e-01
1.354189681084148056e-01,5.137509673469679017e-01
8.557115246563136157e-01,9.771385483763228574e-02
3.273791153451144353e-02,1.537428750576482761e-01
6.464707524457717902e-01,5.948847891113702158e-01
2.713509264735645132e-01,9.183347733006528291e-01
6.535240272278485252e-01,1.866744051341936439e-01
6.016729045258344399e-01,3.835936300714771763e-01
7.635437491634463614e-01,7.648369409969846267e-02
5.061349249599355060e-01,3.936677405544277697e-01
2.446613001454307490e-01,6.252440212631210636e-01
6.411851594006852118e-01,1.885508941354732126e-01
3.869746914208693767e-02,5.772403972662002447e-01
1.669966957446206157e-01,7.093824792002644264e-01
6.081695408809438819e-01,3.198177042418183236e-01
6.673253950529811629e-02,2.699725162597511607e-01
7.560045895310901765e-01,7.762611692634845406e-01
1.889224536218382378e-01,1.794087978501847092e-01
6.663404062979259024e-01,7.222496069190195156e-01
3.746379745271268824e-01,1.732156506176005806e-01
1.114895761323416723e-01,4.502732190594166406e-01
8.709220099873256071e-01,8.039816238765897793e-01
4.381332522533212259e-01,4.700135524929600628e-01
1.791568761106494545e-01,7.348231121933704868e-01
4.054968126231903724e-01,9.850997449246932103e-01
1.716368640222416531e-01,5.595089834145677843e-01
8.890055484295568133e-01,9.013168230970337591e-01
3.371872092973142720e-01,8.949469151730305994e-01
6.841220116826690623e-01,2.773165070928602649e-01
5.516275964449179892e-01,8.020761483697061989e-01
8.449120841123356485e-01,8.896888941840264131e-02
4.448431897191204021e-01,8.927662836957016568e-01
3.956189621800553224e-01,3.896148612294458857e-01
4.427717921396467915e-02,5.430559720578975735e-01
6.204899935591479121e-01,3.273122830891531665e-01
2.139108396532380940e-01,1.495576465494393714e-01
6.577561414263486395e-01,7.082193196948370906e-01
4.941389171450604190e-01,1.155857488281570866e-01
9.259606923882561791e-01,8.970176413641605118e-01
8.515802740145499428e-01,9.108829821352882883e-01
4.047351997320975947e-01,2.071900818655483256e-01
3.340072155927318320e-01,4.631119369237863825e-01
2.013755337743943219e-01,9.202799478929738486e-01
2.839864558107271231e-01,4.368723407385604052e-01
7.529912313095805665e-01,5.447562104738481459e-01
7.398793041761764222e-02,6.179900317595606873e-01
6.285649208033868840e-01,1.204249659977991715e-01
3.173355687595775798e-01,2.814049385786874247e-01
8.788950665958459307e-01,5.379421161411720442e-01
4.372831308168381170e-01,1.328614611578470273e-01
7.176910208243117983e-01,6.303917534507146314e-01
9.060559262388399038e-01,8.444373199547349218e-01
9.145096905376645102e-01,2.320383634009534068e-01
9.600108904968648327e-01,5.222747040738958679e-01
8.811146453070952678e-01,9.361790250114053746e-01
1.769858480785343469e-01,7.636378209697707309e-01
4.382353041869858634e-01,4.538159397455904243e-01
2.361137608903733920e-01,6.578514215634237994e-01
4.006026149072500209e-01,8.080847501390262533e-01
1.147427963245171156e-01,9.602469508973454637e-01
2.618646919397999984e-01,1.912341380379872779e-01
7.310767570439925533e-01,8.766837042351338649e-02
1.222429170272296695e-01,1.698116724896227003e-01
3.594267938308026711e-02,3.283419865484291655e-01
3.256858846424258713e-01,9.722543421462024327e-01
7.067511459892934500e-01,7.493027746717806359e-02
7.486216816157243992e-01,8.642784356272315005e-01
8.617676727646941259e-01,1.225024172209795426e-01
8.822973203387455277e-01,7.438573496808167373e-01
7.333670414633643997e-01,3.913494802080513812e-01
9.598660489592452105e-01,3.387438531776287842e-01
1.147250352484510127e-01,2.662393053508244067e-01
9.845713883492442919e-01,2.318143422549200361e-01
2.188571831768146847e-01,3.863132848728718649e-01
5.562352802478393032e-01,8.716276970696851256e-01
7.569783138918859677e-01,5.965447541640478413e-01
9.692212066590372155e-01,2.440919412629122265e-01
9.608905135716078183e-01,3.975498828653734051e-02
5.972242941655200310e-01,3.533678417382203341e-01
9.154281946686797511e-01,4.291369269074336579e-01
6.258305172360588697e-01,5.076584556175023355e-02
4.580301394548087490e-01,7.357532331446011709e-01
5.227006908686634423e-01,8.324618737134593660e-01
