x(m),wallHeatFlux(W/m2)
4.872669426619610222e-01,6.126095346503543926e-01
1.939723674790589936e-01,4.524516923291392878e-01
4.951593362023843925e-01,2.764100948459050633e-01
9.204555033874586289e-01,2.144945023011234353e-01
9.755377485815387439e-01,5.754819722588579989e-01
6.893552553460308152e-01,1.338700154999806768e-01
1.559337130676105021e-01,4.115348860270398035e-01
2.490769352812606252e-01,2.454369900618648126e-01
9.050934901132036137e-01,7.191456350543399267e-01
3.381606950147197921e-02,5.376780301867453149e-01
2.750747565680495832e-01,8.158640368142242583e-01
8.701014319149523724e-01,3.663923738511488670e-01
7.575395220664838947e-01,6.989347039034832232e-01
6.685187295412924335e-01,1.015895106161467387e-01
6.808790110957572139e-01,7.878716137604994119e-01
4.884736998124683538e-02,8.280070219855926172e-01
5.541209376613698279e-02,2.180369203364570518e-01
1.354662184952655224e-01,9.948410444656763385e-02
9.801648829071861746e-01,1.265825246458952558e-01
9.550536953153695441e-01,7.976537476364931045e-01
5.725136679337432533e-01,6.643001565696691202e-01
4.250106108507024638e-01,5.011503163359875002e-01
8.457451875674035779e-01,9.105475068079953438e-01
6.268859899521127543e-01,4.413675305628711465e-01
8.812683300150336851e-01,6.748175644102369919e-01
4.315129114243153596e-01,2.106701216855186853e-01
2.083798000141990903e-01,6.648626781216534498e-01
7.283046803940929070e-01,1.828575405447957491e-01
2.128746580926539345e-01,9.133193654623736890e-01
9.261854483650471259e-01,9.813348802491359546e-01
9.337445173618216243e-01,2.983008857092708244e-01
1.163213356795254061e-01,2.514109943053700613e-01
6.698062309737973230e-01,2.229810025818057539e-01
6.518335301195953280e-01,3.307769303552637874e-01
5.054911631564185104e-01,3.764163576823219559e-01
5.398676429978496172e-01,7.093705028592373063e-01
1.462804130926421697e-01,7.509474969039851011e-01
8.396342339065843152e-01,9.406242145061930460e-01
1.513158336238205059e-01,9.261332650618184781e-01
7.848111982265258968e-01,3.491532792287965759e-01
1.765457154593454980e-01,7.043040639548943105e-01
2.946597035850263557e-01,1.786171564595440131e-01
6.384267298044160599e-01,6.817333212123939390e-01
8.993874228701552731e-01,1.705646938149146807e-01
3.686480394945516048e-01,8.991114856852875370e-01
6.112293029623806495e-01,1.616321118939643142e-01
4.020663595520796996e-01,1.361853102617520683e-01
2.072601699948571907e-01,7.175121867416722754e-02
2.949279829217567039e-01,7.328121793672868201e-01
2.866290228130070616e-01,5.389623682707176400e-01
3.749117532656706109e-01,3.602585674980559594e-01
2.382268524011420530e-01,7.360155713589781046e-01
1.449749542321849827e-01,8.954322460967452102e-01
2.434425331152958449e-01,1.879488864464603504e-01
6.795714900112511669e-01,2.624053499981157112e-01
3.740972446763179970e-01,9.787520754135229373e-01
2.527773642009508714e-01,3.451196325816837662e-01
1.051000868399006860e-01,1.656695126624325720e-01
3.894011686708390707e-01,2.851751069780890102e-01
6.798907740355242257e-01,7.417315245035712712e-01
7.259327352995429417e-01,9.715897715553479808e-01
9.308305131783465303e-01,3.080017569381774400e-01
9.743939275915525222e-01,3.987848525460342408e-01
2.990840308751158139e-01,2.235103215360024764e-01
1.270543893008069247e-01,6.942553529250572453e-02
9.270501402786138767e-01,9.691359957157883454e-01
4.241548886005690466e-01,4.168271455002046100e-01
7.397845053232962043e-01,7.290215071354513299e-01
9.338756567078486670e-01,8.867047628263150516e-01
5.343842520113500916e-01,7.568029997485092863e-01
1.858837135425073228e-02,8.444923534876120907e-01
2.492215340078862695e-02,5.741265352057915994e-01
2.805043055431638566e-01,3.172539024023502963e-01
4.925715661800667000e-02,3.958378249367087154e-01
1.162631282906614327e-01,4.231939983719965603e-01
3.633854382808724415e-01,1.182179492302639634e-01
1.915468725680360418e-01,6.376975317484204764e-01
7.376631544916620875e-01,1.795946557237737551e-02
7.909485951168920836e-01,5.110271782449438138e-01
1.747384854892538586e-01,6.036460419551669121e-01
5.545936414757544064e-01,6.941291154356015181e-01
7.272862022881113608e-01,9.026403310011154035e-01
7.131255435163896816e-01,7.222054546837364253e-02
1.796806394431557097e-01,5.781914637575449323e-01
2.621025039449775829e-01,1.103015976987762325e-01
1.497650142525313033e-01,5.265527661125344316e-01
8.302379856053409002e-01,1.580155379582757202e-01
1.548939284202521804e-03,8.890919530090369838e-01
4.869626628538220592e-01,4.599910293595621535e-01
1.630230561106503773e-01,9.964867993944208635e-01
7.279411542304300431e-01,8.631914806681610930e-01
4.396083034725738470e-01,4.031354980294916679e-01
5.942009851260913189e-01,9.573072399878157501e-01
9.720407944077957829e-01,6.867029257849669444e-01
4.108716445561547692e-01,9.856313484220715626e-01
5.054990835858788056e-01,9.474852465500382959e-01
8.255043863847190133e-01,8.604760738697139200e-01
3.439092032920119113e-01,1.462217547562775222e-01
6.816745531344887699e-01,8.702329074713712753e-01
8.101067115947130359e-01,6.909916618871009275e-01
