x(m),wallHeatFlux(W/m2)
1.743981920612490688e-01,4.386474775895814471e-01
3.365470382397378613e-01,6.032269140098667215e-01
9.934221018555076110e-01,5.440409106533190542e-01
5.867733381918626145e-01,5.351025729132394826e-01
9.195481488554231309e-01,4.682638491382645762e-01
6.309629538573207075e-01,4.114677034215049600e-01
3.117944411674978822e-01,7.922205281874840077e-01
4.876244484521092826e-01,7.870014175185504612e-01
1.628616344715368980e-01,7.225230350260151146e-01
5.308316936786053875e-01,8.938081129104342715e-01
9.930887218341891698e-01,6.787441627903645358e-02
4.062454684218378409e-01,4.102070522695633326e-01
5.457095240244358436e-01,8.078815448696096135e-01
4.276755292789046203e-01,9.364975221366457214e-01
7.896400279801705224e-01,4.621844117015998510e-01
9.978355996457758392e-01,1.570995943248153504e-01
2.694034031517873462e-01,8.619703843207301430e-01
7.321127244848748550e-01,4.835489316329433240e-01
4.500779334557145628e-01,4.038117336937929736e-02
7.325824256233709475e-01,4.663482876821378742e-02
3.566858584244866348e-01,6.063579998839717655e-01
3.260195572997837132e-01,3.068935020167661287e-01
1.768679503363945749e-02,8.830419867874407247e-01
4.802855545986940422e-01,3.969415985889300780e-01
4.622117700647366823e-01,7.767441494400455504e-01
1.516146192285036109e-01,5.041131297317424931e-03
1.361838975657877482e-01,3.512647986586208138e-01
5.245141529291194038e-01,4.752270613464779636e-01
2.592655542658252044e-01,1.036686736575793688e-01
7.205785282600709607e-01,8.337527348885243050e-02
1.853439863279108257e-01,8.133181234654786040e-01
4.610596102561828058e-01,8.729041361176304026e-01
1.070172196278190713e-01,7.501725338972764501e-02
3.227151325133751358e-01,1.907045217572717055e-01
9.486683942494701371e-01,7.462259002410552844e-01
3.866718174021962495e-01,6.126140413824122666e-01
9.903798212094729880e-01,2.609259212284776863e-01
1.439672733528829518e-01,3.188373772857869826e-01
2.022581706599657636e-01,4.492638925765731761e-01
8.034318671533002831e-01,5.799569846223410208e-01
4.488493497345040772e-01,4.928379821794851567e-01
3.033878668790583877e-01,2.646212520452078110e-01
9.754051595850260492e-01,7.072219559950573275e-01
9.140258762621172872e-01,7.567544453779906366e-02
5.441339782723202401e-01,3.283775155725823236e-01
4.262365857331791297e-01,1.844028578073261260e-01
8.598083510524734407e-02,7.009917309820322684e-01
5.670580261220354856e-01,5.269632960871705185e-01
2.098676879281610175e-01,5.942834277580943958e-01
7.742313932803875920e-01,1.091691475885949725e-01
4.997049156506684353e-01,3.565502956750353780e-01
9.123113847058661463e-01,6.969121835086666827e-02
6.782035035578027893e-01,8.390258127816537792e-01
8.213068328785152472e-01,3.086486962086374408e-01
8.696906098983556710e-01,6.590879702552366881e-01
7.337474146971745270e-02,1.528805336612608645e-01
6.057214894598537125e-01,1.333602305298109414e-02
9.424420753579434429e-01,9.873616780402031390e-01
3.938297854605492532e-01,9.419440070430384893e-01
6.117444325208795108e-01,5.630983366572535065e-01
2.013432007712222527e-01,3.615564745951687087e-01
8.561155362344774478e-02,9.226020868843374245e-01
8.889918382778836392e-01,7.326609158657985121e-01
4.915700127688655829e-01,1.871121689738484140e-01
1.519751186911104668e-01,3.379657917681206936e-01
1.856623023503973791e-01,8.091753001873549511e-01
6.889927164712833507e-01,2.908675611359264890e-01
2.173745854191944105e-01,3.109635219462048017e-02
5.572996353341335141e-01,9.417250973505062461e-01
6.834567704796692400e-01,1.946972774963785513e-01
8.943773433883150936e-01,9.021765982723531918e-01
1.274119712740530153e-01,6.827551883027552782e-01
8.701851271239622321e-01,5.951023661493660688e-01
3.317950198534869166e-02,4.322037084384245942e-01
7.832489904398813874e-01,5.000025748047232099e-01
6.391562382378546125e-01,5.234264554208885034e-01
9.063954712670951874e-02,4.530215353425456337e-01
3.240422063462359281e-01,9.385811317305550183e-01
1.339729745793485360e-01,4.094602963598447110e-01
3.902032281827014781e-01,6.538816270741011349e-01
9.230769183022978774e-01,7.435332855726950463e-03
2.065321900725498594e-01,4.806034932988225705e-01
2.682654572376529378e-01,5.751139252111500122e-01
1.522816543904605968e-01,6.955280992392528505e-01
8.379918635808837335e-01,1.615597179975647446e-02
4.879140354968375393e-01,8.550435707893803139e-01
7.840257383618611797e-01,9.909726725597729491e-01
5.706127341617514004e-01,3.468962058374858159e-01
3.152783393794146294e-01,5.443191363467434485e-01
1.596016646395997940e-01,6.574334562510889546e-01
8.167185267106464863e-01,5.625563847267891493e-01
9.190766783487510638e-01,8.554813084511931898e-01
6.624693181734497838e-02,5.305508622909359540e-01
4.507212222827239323e-01,9.075652407731067406e-01
3.333679857939688684e-01,2.967272721012383929e-01
7.678544096498440830e-02,5.516627874381403451e-01
6.380243814211575826e-01,9.979100538000941212e-01
1.013199029920451855e-01,5.765741976561769011e-01
4.723611648972176891e-01,5.943866117020041306e-01
8.659154352410226574e-01,3.258995344334825184e-02
