x(m),wallHeatFlux(W/m2)
4.088403082792447796e-01,1.721353663462232841e-01
8.280346765176448409e-01,2.036050948435285113e-01
1.549912776156211480e-01,7.893047687213887720e-01
6.647439283086629125e-01,3.543792432840739970e-01
9.928358822130112227e-02,2.652709159658308558e-01
7.117388128144050974e-01,3.447953894930757546e-01
2.332519084210304960e-02,6.163024956436959911e-01
7.862038074030710533e-01,9.438722362385799647e-01
5.792231738754538561e-03,9.158696813710308637e-01
6.115720791114425126e-01,5.472614789059114804e-01
1.552638030068386188e-01,9.290111388861508335e-01
5.923535932556890371e-01,5.863104089708603972e-01
2.327995990936327919e-01,4.644409949196730558e-01
1.736647588607203030e-01,2.733720655784778186e-01
7.347229158254542369e-01,6.071613977879282142e-01
6.579483996163145720e-01,9.608528399078454241e-01
4.853997785419084110e-01,9.862387167433394053e-01
1.104492157370347005e-01,9.119797322221602220e-01
7.193489828165746669e-01,2.708771239129641462e-01
5.231531672268968647e-01,2.011267591295192725e-01
6.670561824658647332e-01,1.503230318364807694e-01
7.072311554900279074e-01,1.884357273077852390e-02
3.157555467903553348e-01,6.324354992075050808e-01
6.352923666387632062e-01,6.208468933276690693e-01
3.774453957078606203e-01,8.287813342376096903e-01
4.160643032326993840e-01,1.725008134913865732e-01
8.989328624641185206e-01,5.979713111919048307e-01
8.960808441671654911e-01,6.296199892678909782e-01
4.616120446321236859e-01,1.937179877565557984e-01
2.780798064364398137e-02,5.793941476580843908e-01
3.756926541007253872e-01,3.416833298283696863e-01
2.270320380031443097e-02,7.068665542967210724e-01
1.039633021066546092e-01,9.640159516206705526e-01
4.907683435271148475e-02,1.613358921967393833e-01
3.363040315552283666e-01,8.020187883153842012e-01
5.361525643524656104e-04,8.041405505572148948e-01
3.262941117494487786e-01,3.452832757250915430e-01
6.145681040229120651e-01,9.114236692256365568e-01
4.178251838290293341e-01,8.994027448838572969e-01
7.479354711445324044e-01,7.377097217625859793e-01
6.852024422581931562e-01,1.653078430458321257e-02
4.142804115321129244e-01,8.485055738238420631e-01
5.683363292046742510e-01,1.880432849921120919e-03
8.894805511333641057e-01,2.457883661623228022e-02
5.265582605821269579e-01,5.711183149193486130e-01
2.681784917258548395e-01,3.262735820885198645e-01
8.625463967628350659e-01,6.803590435302175887e-01
4.835557527030143188e-02,1.920167184843142305e-01
3.787639372683195838e-01,4.374184499763127398e-01
3.569706261522573865e-01,8.407475825336884201e-01
6.744260595529436575e-01,3.619392587936463013e-01
1.077383567515325380e-01,2.911128678370107359e-01
6.877592740767628499e-01,4.767004954778452097e-01
2.481369314561776562e-03,1.338081636044211598e-01
1.048167446569751027e-01,1.487865015075870989e-01
3.891843318097010229e-02,9.856019969633200706e-01
6.372042504873637325e-01,7.784512147026593221e-01
3.445142290384357597e-01,1.667641418343244197e-01
5.633666815095172975e-02,5.483412229700721507e-01
2.820337294877726109e-01,4.965451628945366513e-01
3.419116031588301796e-01,9.760893414869453721e-02
6.657658693392092264e-01,8.938878086109942611e-01
6.633138827833279239e-01,2.374463601449118277e-01
8.860146899289008671e-01,1.363304212698995821e-01
3.451801726275193216e-01,6.378592487148014856e-01
9.082044726970881499e-01,5.277943619750746773e-01
2.400678275903423975e-01,4.045421533275400661e-01
2.971906964263653084e-01,2.386606125816420620e-01
5.113142325093427143e-01,9.378190835428352745e-01
6.638001988120021402e-01,6.615817049949020978e-01
4.837155796838644717e-01,9.715093932688922962e-01
2.460728421187197146e-02,2.699796270314125390e-01
8.705751981444485033e-01,9.319481568141301242e-01
4.823587610864163988e-01,8.743257820245203815e-01
5.912346000550445790e-01,7.480218132074402115e-01
9.257419553808791113e-01,9.566059766202502646e-01
3.251545197512826224e-01,1.219966362633273516e-02
1.527620657678366856e-01,4.450304363294240728e-01
3.212318688163878777e-01,2.750900202862990307e-01
1.774788294543536704e-01,8.807924588659286069e-01
4.258666025075380501e-01,2.035277931399256390e-01
5.422660775482757156e-02,3.724739425329868237e-01
5.636833930129340198e-01,4.050151196367004491e-01
1.685532307414178144e-01,8.463209045047366264e-01
6.279436095477120006e-02,3.475680301062902267e-01
4.388197373338110774e-01,9.853071368896174631e-01
3.734999054174128474e-01,8.398410130007449848e-02
3.782659732301241196e-02,8.573212230114840571e-01
2.964536278590466090e-01,5.790608613945602556e-02
3.326393989133822338e-01,2.002170500234525807e-01
8.944748423027596429e-01,2.819730849520886151e-01
2.074899829454472933e-01,6.351803903393835604e-01
2.438276039459740252e-01,1.096186753637962141e-01
1.500117994105906183e-01,5.908365760949945145e-01
8.167078812207080318e-01,8.398916376501510683e-01
2.708833942989852250e-02,3.730262582774291902e-01
9.267983094499807617e-01,7.628379740244721763e-01
3.041926842105067141e-01,2.657528295766371507e-01
2.790856382858571960e-01,7.494445925793921104e-01
7.520090506424050858e-01,2.580968467790778487e-01
