x(m),wallHeatFlux(W/m2)
4.672503031841974686e-01,4.111906849525405194e-01
8.523716966355332492e-01,1.335581025322599702e-01
7.208981201290729501e-01,1.163976633034281560e-01
2.058168964937681089e-01,5.687131013952517744e-02
1.167762624173473984e-02,7.850638780245610127e-01
7.979436552698732088e-01,1.562033200227750385e-01
6.350384582920542975e-02,9.822090196913012550e-01
8.322354531379445586e-01,9.174283926281211476e-01
3.252285301184176802e-02,9.817131735086140898e-01
5.096177795169011260e-01,6.931496978889772898e-01
7.110622972359124105e-01,9.269738103211436764e-01
5.134098480837250289e-01,5.089713662064128119e-01
7.096208659372746919e-01,2.622051554899453851e-01
6.404444036576248944e-01,3.027072753872210864e-01
9.326277473397357465e-01,9.489524199931699266e-01
2.325467266237669639e-01,7.880774470659508424e-01
4.175762904390847297e-01,4.593471015746947161e-01
1.538649074669220518e-01,5.882020000621192013e-01
2.330030613293228026e-01,3.584202466122219377e-01
3.429062043380892710e-02,6.909836175377925827e-02
6.179747276688301039e-01,7.523286071413713971e-01
1.059077457429162816e-01,2.209025032466273020e-01
9.867328746647423543e-01,4.080273489530860109e-01
6.032353514942174755e-01,8.049408870684332529e-01
6.133272593380981741e-01,8.782064220815687383e-01
6.167240193246240620e-01,8.668746101477754484e-01
7.635784002110416191e-01,9.539041322157758573e-01
4.411154234191700940e-01,6.745540355794610310e-02
8.270390033086058024e-01,7.517885524547225362e-01
5.627800174873690553e-01,8.553157538730818965e-01
1.203445004539005492e-01,4.081156172492617085e-01
5.892550436262234959e-01,9.629767861048542654e-01
1.316533441668740201e-01,6.202928342211841972e-01
6.603130979601491424e-01,3.158676101638772105e-01
1.841811847051241235e-01,2.460473079891187798e-01
7.021856587365107316e-01,3.471417677822613568e-01
4.948816664527175835e-01,5.685918892606258712e-01
8.618448862511600694e-01,4.339051976123159404e-01
3.963038080611905878e-01,5.802765217110097407e-01
3.132366889403611632e-01,7.472759340797986427e-01
5.913746197514421210e-01,2.291918640734158519e-02
8.679785761887692797e-01,1.953549881022244028e-01
2.441855252121603037e-01,4.509732026394325244e-01
2.601616662218982912e-01,2.427469287634755890e-01
8.901235213962002124e-01,5.643107014194388427e-01
1.189320829269734370e-01,2.155225121526063159e-01
6.345292280241824345e-01,9.039973186057614907e-02
3.655904150066061620e-01,1.964883538952423292e-01
1.968333502501546928e-01,7.847114475190949401e-01
7.659375768908335269e-01,4.106963562265982803e-01
3.234000867961165371e-01,9.045970539522915077e-01
3.819632112479373065e-01,7.922346339171044693e-01
3.148906569390197419e-01,5.494802929637543354e-02
3.317392723978636049e-01,5.641579361988444674e-01
4.044962080269932647e-01,6.833140477567187787e-01
8.362911172482980771e-01,3.581229874219735709e-01
8.335965838994152666e-02,8.093458850718008302e-01
4.968773364131192638e-01,3.130718737755576742e-01
4.258522860802271826e-01,8.673719173246693392e-01
6.053655085294584737e-02,1.448208427148667266e-01
9.365611137004616893e-01,1.313031026742279561e-01
1.309630509153301148e-01,5.510252848299044270e-01
7.672165267185545590e-01,8.627837502341880738e-01
6.031552309022247815e-01,4.245868569322623909e-01
9.056805511901917516e-01,8.473159421156708504e-01
9.712711028327473128e-01,5.714101862669959120e-01
5.388054909696354811e-01,4.837578567122680084e-01
9.228002122654626049e-01,2.641556458258502715e-01
7.911526511468188749e-01,2.528193431888006160e-01
9.965305919923083122e-01,6.407383843648426502e-01
3.460168790432456287e-01,9.956934300641059332e-01
4.454608957165779870e-01,9.666794281509000220e-01
7.633988992815611274e-01,9.758495241484888005e-02
4.496522173800043820e-01,1.942345151594238040e-02
5.101232987170023492e-03,8.234987599904056710e-01
1.118292717941183900e-01,7.428914771342876033e-01
9.822071035361512603e-01,6.693655663760260666e-01
1.410218520050497970e-01,8.970326691080801051e-01
6.236045629850454075e-01,9.581433514027071219e-01
9.104458145032567895e-02,8.797183416084926044e-01
9.250208110293667296e-02,7.270985452250575687e-01
7.422080822345242801e-01,2.774700639038326644e-01
6.347889042153898043e-02,6.860367939541571758e-01
8.990116501326951282e-01,1.600949933906526956e-01
2.310279702108307687e-01,4.433786255925615816e-01
3.089941899490662447e-01,3.570227536901477983e-01
4.716823435975509016e-01,1.497111799694287315e-01
7.820735001308125600e-01,7.600684651954586757e-01
2.792823245819288092e-01,1.453052470564430987e-02
2.905531274472457071e-01,8.992985278646659086e-01
1.759053458355605004e-01,5.015573699869169122e-01
3.068637388789107190e-01,9.020161057746404198e-01
2.620810941309302811e-01,8.076994436042084224e-02
1.611834379972733045e-01,5.524021236980876104e-01
8.546912868219798121e-01,3.315797913736926450e-01
1.510675652425000903e-01,9.465227003858109889e-01
1.026827501580429569e-01,6.757206907514740069e-01
3.736463934857466862e-01,3.516288810828855915e-01
5.281718161029381742e-01,5.444665122447491790e-01
5.858220195415930753e-01,9.439746710225619397e-01
