x(m),wallHeatFlux(W/m2)
5.970655579190805584e-01,7.389619410274254063e-01
7.390323809429321100e-01,7.107212586772869711e-01
6.775444298731830850e-01,8.711127000320861846e-02
4.162913998875390487e-01,9.272054707217196601e-01
3.483748762176506197e-01,5.425380904607083332e-01
5.550230797882167444e-01,4.470191017899759478e-01
8.708792169684672624e-01,2.141220387337484654e-01
1.937091704340451193e-01,6.986510465270854287e-01
5.813164844715357216e-02,7.949936591025599242e-01
1.572705514001250249e-01,9.142672249471386348e-01
4.254553403481471374e-01,2.987768409432127736e-01
4.185782675853001455e-01,9.091936045589620319e-01
2.472112554336971524e-01,8.656949315311021076e-01
2.666722647588982698e-01,8.153081706688566355e-01
6.599826885105682939e-01,5.043088037011533853e-02
3.444063679486398799e-01,2.423721283737836352e-01
3.724725547676579485e-01,2.618506609923810791e-01
7.706020916833751233e-01,9.930376873223182299e-01
5.113879033162930243e-01,1.304697102474314807e-01
2.709041100460412022e-01,3.581244133818531905e-01
3.093424605828083429e-01,5.358197160458340047e-01
7.981146664966702886e-01,6.770052739645927575e-01
7.326496958735384535e-02,1.509144049399530063e-01
9.377176459547302834e-01,1.554890346191311057e-01
4.776230468321737144e-01,4.147168112929328077e-01
5.323858184448639896e-01,9.600443833463715437e-01
4.082965122694143245e-01,3.905717301804512154e-02
2.734731268435293128e-01,9.144134293582460993e-01
5.818971518883236937e-01,9.570825827047010348e-01
4.613740151228451492e-02,4.342969325805479119e-02
9.229437607125453580e-01,1.247260173667275041e-02
4.385412141577798018e-01,4.371956546343390704e-01
7.240767248246471333e-01,2.560137712550913935e-02
4.503883841689311218e-01,5.001940324838118901e-01
1.610792206519898739e-01,5.096652359705691193e-01
5.930362635072864430e-01,7.907692433902548945e-01
8.038230114009021765e-01,9.378046987194182948e-01
4.798029953081710541e-01,9.816757250434920978e-01
8.530234173137097864e-01,3.459729951976083795e-01
2.018715165531603795e-02,1.726556975863118293e-01
7.009889952233192556e-01,3.516197971746435336e-01
9.210279578904134734e-02,3.726304010305768744e-01
7.376589637582475767e-02,4.207711359724553013e-02
7.787811726133788692e-01,4.296736876333453470e-01
7.622595733570836085e-01,3.715656333137475897e-01
9.941555556680981010e-01,6.360685173874461862e-01
7.057684089394424820e-01,9.097152061036404280e-01
8.189420322073382996e-01,5.769699274678230516e-02
9.715314975023823241e-01,8.609273750289979654e-01
1.473915386237031333e-01,4.564815576974775579e-01
6.852603110476119808e-01,6.553755228191255888e-01
6.292664985855900284e-03,1.617230613958009489e-02
6.685335703528257900e-01,1.723022126607764992e-01
2.360828960057520520e-01,5.813581770380958913e-01
3.606516531556456240e-01,1.743237113024320717e-01
4.364417343838933316e-01,5.377077206862558301e-01
2.507430862203673394e-01,8.706115405288071818e-01
1.567224103087335729e-01,4.369099694693874270e-01
4.306805399588320427e-02,7.123009983134181988e-01
4.568529255305631143e-01,4.335162315943195122e-01
9.379657227767786987e-01,8.680676605246371302e-01
2.357755816420453732e-01,8.594440772202833756e-01
2.579275337043984706e-02,2.227771416573711694e-01
6.761346599391302448e-01,1.598102698912639008e-01
4.947362091358908920e-01,8.384854097136095197e-01
3.073332923718427034e-01,3.300112644146389052e-01
4.905578015380333001e-01,2.741988432955565491e-01
1.095532713667984881e-01,4.885503185873180110e-01
6.134473052519970881e-01,4.934002317958618988e-01
8.590969917281545687e-01,9.226028481384386248e-01
8.336827187972860598e-01,6.968819876730264484e-01
6.287898856694189575e-01,1.246390061104166724e-01
4.226106273848374562e-01,8.116478348649787122e-01
1.440987581768915504e-05,2.535603441254070667e-01
6.298373137051833659e-01,1.868384343195000907e-01
2.869874647312201654e-01,4.728022600543522191e-01
6.797931990591782325e-01,7.255283035787833956e-01
8.629644005357998138e-01,7.591367283386715181e-01
9.379549172429669790e-01,7.740764939901909614e-01
8.259051881475725221e-01,2.333387613339346078e-01
1.946282257054463560e-01,2.146877789035918083e-01
1.192488219597639398e-01,5.400403187968688679e-01
8.616922653653479314e-01,1.878377997397113752e-01
6.138907624572835786e-01,7.616118761871466525e-01
8.365638692308738911e-01,9.091343450868171194e-01
9.950213738257307483e-01,2.137233837070222631e-01
7.640899401891291243e-01,2.804809775551571072e-01
4.238844009834444870e-01,9.760309732577975295e-01
8.471625334982691991e-01,1.661234504744052431e-01
6.082944029650410034e-01,8.432869804338708475e-01
3.492297440598352010e-01,2.600860180756058293e-01
7.536023416475182701e-01,9.508664172068619358e-01
9.728575182049200576e-01,2.613167611024003190e-02
2.606163128575822441e-02,4.534021253354347802e-01
5.885873293610608403e-01,1.696913442820821016e-01
4.553372243526994101e-01,6.066127213886371994e-01
4.124849623127013754e-02,8.977027331999397619e-01
3.018144522689388820e-01,9.028256549394929609e-01
7.572016196852537906e-01,3.386005292278705392e-01
6.128313091463950535e-01,3.898367346853937043e-02
