x(m),wallHeatFlux(W/m2)
5.978445512465024869e-02,3.526659807558815141e-01
8.734699492702578949e-01,2.125968577145163074e-01
9.487461825854207609e-01,6.599176946921886389e-01
7.512047541779776072e-01,9.734495059623869961e-01
8.043272456445617058e-01,8.888742483490784663e-01
3.350437505778901537e-01,2.293701030233860072e-01
7.488553273382881903e-01,2.047119456153876360e-01
7.924997070689512313e-01,2.803106608611574124e-01
8.277482235768480745e-01,8.385012781340576149e-01
8.684572479373373621e-01,2.652806013452260192e-01
2.598406719054375813e-01,2.728299846227300041e-01
4.941969579670065782e-01,6.114470960599348581e-01
7.390626392661436839e-02,7.728865793221569858e-01
3.449726980276459631e-01,5.675314200167912437e-01
2.628718247892303239e-02,8.077115125606011414e-01
6.091193542324623289e-01,7.220714866482534910e-01
8.903353115760342940e-01,1.582386030278267741e-01
6.118407670931619302e-01,7.614828832406744796e-01
9.433925724148535252e-01,2.264459761307291430e-03
7.964945135221083161e-01,2.414559383596878162e-01
1.348290599540450385e-01,6.500411252428062170e-02
3.222273227753754687e-01,3.445332894423033254e-01
2.707428138683058982e-01,7.571209156729574730e-01
6.424641952229181996e-01,8.133539985008728657e-01
2.841216955203473837e-01,8.028693448306177816e-01
6.205503284136925091e-01,1.016778211654179032e-02
7.732046466831926645e-01,7.895378557827222865e-01
8.691623251793060279e-01,4.522008864355623325e-01
1.330099881840621778e-01,2.876687345471319324e-01
5.796836231567592534e-01,4.501740416547483914e-02
6.943064114194409386e-01,8.339991833397047971e-01
1.759237748994976203e-01,5.988586876416573945e-01
4.620402415638318327e-01,1.919962277385318661e-01
7.446472379989477197e-01,9.814249963366119545e-01
2.896244441970701189e-01,3.106277020121698262e-01
9.815753830842045558e-01,7.945565928216029583e-01
9.120899212381025078e-01,4.486865459640153597e-01
5.257962557819368943e-01,2.797583774583153327e-01
6.647094761270944119e-02,2.359042758565428333e-01
1.898438904461295929e-01,2.478737645412376622e-01
7.727574101832324072e-01,6.706264607724665705e-01
5.732781197645748783e-01,1.708445874801697295e-01
5.402349062654143719e-02,7.084837187625205868e-01
3.016785978452498629e-01,7.046179913805286077e-01
6.828187386263961933e-01,8.196837192094175162e-01
6.923527680352098423e-01,2.073321208646430325e-01
1.310089969693913892e-01,4.446179875632035872e-01
9.156296585275733868e-01,5.306957143821858791e-01
1.519637100384598760e-01,8.949047626268458178e-01
4.500449432317243925e-01,7.734483543830390495e-01
7.982917769235100547e-01,9.271499314376996370e-01
8.094606251629627991e-01,2.941414617736788362e-01
4.643424855392098705e-01,8.487612406422320177e-01
8.737997783278872443e-01,9.767045384495939286e-01
8.831152140752980273e-01,4.532996344546785794e-01
1.609695635942181013e-01,2.475740640070768217e-01
4.929183146598713483e-01,8.255325166381592972e-01
6.022093117441259524e-01,5.173527309051896284e-01
5.723898565112804926e-01,3.256701845659653038e-01
7.810381658865639398e-02,2.950859214801435648e-01
1.643614883407465976e-01,5.726212976844685665e-01
5.065863780020426477e-01,7.053203647976958868e-01
4.508261756126750175e-01,3.203108783469988952e-01
1.669366022150567952e-01,7.638291753540208395e-01
5.528388399260235619e-01,1.584377973625762381e-01
2.234637734072375537e-01,2.376721898550658851e-01
7.240617715731609838e-01,8.010556346666644068e-01
7.595944842270304642e-01,1.907636919479920312e-01
9.220954104736475143e-01,5.807742106546465166e-01
5.634039841268569937e-01,8.033563186260476163e-01
9.424880228791638892e-01,4.315415273500409210e-01
3.610765585841625436e-01,3.175920852688062235e-01
9.177425510372897444e-01,7.501973804727272155e-01
6.991441521645860302e-01,7.221137447470415971e-01
2.467905924237367987e-02,6.595443090028015876e-01
6.276245056906937236e-03,4.522098319743761419e-01
9.748584179984701725e-01,8.995772000028907645e-01
8.516567736994548055e-01,2.984923012672827669e-01
3.063477565275939396e-01,1.297418999172592624e-01
6.712894388641076349e-01,9.346089659766295688e-01
4.346494758587090557e-01,9.304673408163683934e-01
7.141367297626491917e-01,6.969438377839507481e-01
9.122676591387779421e-02,3.601163157268907344e-01
6.998808101464882858e-01,7.057128258070692883e-01
2.902598204307027530e-02,5.572460889505593817e-01
2.716771175481623724e-01,1.787378003995752085e-01
7.397036103142903274e-01,6.806606369914325327e-01
3.790307562493185900e-01,4.427253652836834474e-01
9.953361247720690086e-01,9.645622385325312020e-01
1.037585471958579753e-02,8.272040869350290038e-01
8.023558942330302202e-01,6.547497937953239422e-02
4.268242288579066068e-01,2.551081419943878048e-01
2.347637629464328635e-01,6.434996385272008235e-01
2.062156049331430596e-01,3.385221573327867883e-01
6.906929543625421886e-01,1.512490965462560677e-01
9.702239502897050949e-01,1.916897414026698110e-01
2.349467334110887373e-01,9.653321112093737888e-01
6.007341756812996092e-01,3.563965877510142377e-01
4.233098920647931918e-01,7.063244785138614867e-01
4.669216065736904175e-01,3.856830013316796535e-01
