x(m),wallHeatFlux(W/m2)
2.218069622406187991e-01,8.006690540358196717e-02
1.007878930769426917e-01,7.139932941884957751e-01
2.410385790523231764e-01,3.438121022984536035e-01
2.573923398488775494e-02,7.241855362577492849e-01
2.733243366750467418e-01,4.568152684705442113e-01
4.449008211533261870e-01,7.750932625600215342e-01
2.621369653288959656e-01,6.896307115259615594e-01
1.748566961305112466e-01,4.628720850040126678e-01
9.205571228569785491e-01,7.678649945081293948e-01
8.398594701498947046e-01,5.926233455797558225e-02
4.252147098799919922e-01,7.810379252398572669e-01
6.086971018118085830e-01,2.328023859289395370e-01
2.511329307990092241e-01,3.383658839615704128e-01
3.335359991493550558e-01,1.310852252411898178e-03
7.404084246898847699e-01,5.958809929215523882e-01
4.709205381939701729e-01,7.821740019608114380e-01
7.195130846684677506e-01,3.107251350455957351e-01
3.449253011969609650e-01,9.209436749425754520e-01
8.682531816416135806e-01,2.969141104278001375e-01
3.952768523175176352e-01,7.721183949060151930e-01
2.856501968590106078e-01,3.059621687398552670e-01
5.407620034868931835e-01,1.743546340826223062e-01
3.881867791005482182e-01,9.641558818346086523e-01
7.316954170155206549e-01,3.736734036962953143e-01
8.108140256392226686e-02,7.460996285720831178e-01
9.888139594667031407e-01,8.292843972245332873e-01
3.298396356525047368e-01,5.871301604673185848e-01
6.355038606523610856e-02,5.695696590791675673e-01
2.708723783605304636e-02,8.129865187162823581e-01
5.381473445315274606e-01,3.054660646851647954e-01
6.913405173344322474e-02,8.608438723200442233e-01
9.251701568773387230e-01,8.863464772238260903e-02
8.107337431169032715e-01,1.624050984553631061e-01
2.776704226134342202e-01,1.557245132645709296e-01
5.396216115254176549e-01,1.536917038912267719e-01
2.111007441591132849e-01,5.404250499858134216e-01
9.263771148822733670e-01,4.222257229533464828e-01
3.472320812385163435e-01,8.171003203669346959e-02
4.385609868400965894e-01,6.612741872769238860e-01
6.116722133017282736e-03,4.094511592513068177e-01
9.638613444824282173e-01,8.384003274461732103e-01
9.914445025791448485e-01,3.022121737459809721e-01
4.921264711787460833e-01,6.353524853499796787e-01
4.916828718408482457e-01,6.330401109393949399e-01
6.402650616477922885e-01,3.658764721696684541e-01
5.307136321068142149e-01,3.714523862928026388e-01
6.448349652932852116e-01,7.063644836635296631e-02
6.425690671755568406e-02,4.923988945591638577e-01
8.963271969354665858e-01,7.902049830140773778e-01
6.030885321810298683e-01,9.100526568493659818e-01
6.839059591972439511e-01,2.405844830680365920e-01
4.459979006696543902e-01,4.696214302690097098e-01
5.271050638851084713e-01,4.642246575291252286e-01
1.537616049310797095e-01,7.963743528139951566e-01
6.414746830900979191e-01,2.681903919603001452e-01
5.523509559244502709e-01,6.968038901512483285e-01
2.820484119731425654e-01,1.764615211971537478e-01
1.323287231480101411e-01,8.999400705722074845e-01
6.464339426686749324e-01,9.078598353134810228e-01
7.187695269207938775e-02,4.460986493989552715e-01
6.998215402337566449e-01,9.101648589649083965e-01
3.974179740351257983e-01,6.888733130605428912e-02
2.114815227991374558e-01,6.989591215100394717e-01
9.944234388279875603e-01,2.233476630582128530e-01
9.461536622856920875e-01,4.843409486986857138e-01
1.455111844947920563e-02,3.874047789990799906e-01
4.326118578750562937e-01,3.213851156025439026e-01
5.411312537326617988e-01,7.722856370419158845e-01
6.796988342929888294e-01,5.672270469989560970e-01
3.390294261268977927e-01,8.082004527721232678e-01
9.895549634594587030e-01,8.204091639035447914e-01
2.563706295671844826e-01,6.629462101354305359e-01
8.002402430874909767e-01,1.439356529956449249e-01
4.096275934205219071e-01,2.975964402769031292e-01
4.140193063560660969e-01,9.877149798669481173e-01
8.376347459416634278e-01,7.074513695762840726e-04
8.519729778264073516e-01,4.362054905051810927e-01
8.341254378872845487e-01,9.685016290087028468e-01
9.057759619689622621e-01,1.389120263871053140e-01
8.963716547935705048e-01,1.029338150208505276e-01
9.112933443700865777e-01,2.985066151542546953e-01
5.426896730408846681e-01,7.553493194251895693e-01
1.123168417074721370e-01,7.050340142180459013e-01
1.996596606315915734e-01,5.233363087908311506e-01
4.931866646135111276e-01,7.173429118331193788e-01
6.038297951114151019e-01,4.226672003404254863e-01
4.171280604518142754e-01,5.758805013261573125e-01
9.850881962201181175e-01,8.408385474366786294e-01
1.942256153617805126e-02,2.433841776275113000e-01
9.515307192826694127e-01,2.820516562555159812e-01
3.975896752624017427e-01,8.502599472444275497e-01
6.063946080176413345e-01,4.289082808087447685e-01
6.609328872519552034e-01,8.394353879871858659e-01
6.352800069437581909e-01,4.784176400558078912e-01
8.972272656467938923e-02,2.166184120914963485e-01
8.602644573279514262e-01,6.399115166269516708e-01
5.599164604982094229e-01,4.023114427761468326e-01
6.986656706987319776e-01,3.715204891441998836e-01
9.032906899974254555e-01,9.180243357293330630e-01
6.612817592909895348e-01,7.041248528152559416e-01
