x(m),wallHeatFlux(W/m2)
7.824990421970340337e-01,7.119223521990198922e-01
9.523526145704950263e-01,7.670766167268509017e-01
2.083105831755888149e-01,4.314355926539037434e-02
9.418801292263534464e-02,7.597689393369356781e-01
6.726812067807685924e-01,6.272211086777896849e-01
3.169354004235408473e-01,2.243766342365881572e-01
9.762973541396366972e-01,6.311575495605218356e-01
9.699880278482959639e-01,1.382098212661347914e-01
6.153269670325312024e-01,5.087588085391128168e-01
2.062679743248463371e-01,4.899287571774080252e-02
3.105562606846459239e-01,1.384463359089999068e-01
9.710416213863839463e-01,8.442844442607915223e-01
3.366407454873214800e-01,5.015653454762588614e-01
7.809315414378933395e-01,2.826449951520926263e-03
6.511931800539051407e-01,2.339496839378095716e-01
3.200867656907215864e-01,1.611141763232832869e-01
8.778864699817318096e-01,2.466041399064704542e-01
7.098998521998143296e-01,1.090618806975686139e-01
4.393514966612889205e-01,3.996194293531225572e-01
9.197046787868553563e-01,7.712896330986145355e-01
1.405329426902159895e-01,3.620676631740100682e-01
3.996241087451007923e-01,4.079589405277883607e-02
2.641995088111948053e-01,3.242883757546601853e-01
6.429023922230815424e-01,9.264039921221751683e-01
4.782024102885500394e-01,5.302815567364461691e-01
3.997445538049004821e-01,7.861352095818465724e-01
3.307266719559864843e-02,4.891253826362081947e-01
9.968050935109997734e-01,9.184827238257947668e-01
6.152743471870706360e-01,6.907309654864822734e-01
8.777881202014571338e-01,6.037530062450053858e-01
1.646912656079368986e-01,7.457279985423068691e-01
3.332384077042978010e-01,3.875181095503760220e-01
7.737527902978170724e-01,2.830307602993826777e-01
9.793825636986475125e-02,7.586087493446268537e-01
6.086563228368757628e-01,2.953161094855031310e-01
8.497313072177683502e-01,8.261843577664057525e-01
3.951989696890713111e-01,5.832817361479081253e-02
7.356185324012158855e-01,9.060799574439821757e-01
4.328646018692531294e-01,1.522082855070567842e-01
2.969743774403466041e-01,1.410442319555198498e-01
6.630706382745280569e-01,3.582252235285359188e-01
9.501743976465829578e-01,1.645934984454200389e-03
4.946280238805985663e-01,3.920232214887777733e-01
8.634998682534833492e-02,3.639556446605851647e-01
7.676271613247472869e-01,4.694989011550403379e-01
9.751789784582348686e-01,1.902325546236207643e-01
7.783443929444009424e-01,1.248743975135597761e-01
9.872118797817150959e-01,8.834009354109739753e-01
3.173460272252505154e-01,7.921165787451901474e-01
1.924958378996345365e-01,3.074484232785692495e-01
2.219631716859916670e-01,5.452481065091610013e-01
1.292472339268879722e-01,8.108541595691587389e-01
8.009765719716032129e-01,5.524413006303531271e-01
2.741366565172944636e-01,1.333455367748016540e-01
5.090371508066091621e-01,4.263752435308379996e-01
9.797328753920343525e-01,9.325495745784303514e-01
5.899343047802433349e-01,2.019959200758721929e-01
9.606848732698209936e-01,2.288405846645650277e-01
1.886982500298595156e-02,5.702928790055170616e-01
8.897373477017596066e-01,7.296000234148554142e-01
8.071727610129284525e-01,5.860620379205079278e-01
3.524928581294910490e-01,6.835007936974631937e-01
7.985567689354144960e-02,2.563257840154721245e-01
6.921307616915332028e-01,2.400950727065355172e-01
6.352306888861828371e-01,2.781344743065891079e-01
7.296983450196302678e-01,5.125628710565101054e-01
5.712720850059920252e-01,1.543210750663950304e-01
8.900891430762861711e-01,9.886168684350655766e-01
4.404013350833388962e-01,8.428719937764150849e-01
3.795000209187477935e-01,4.615166580211343961e-01
3.014012562416407137e-01,3.654801249674743957e-02
2.637964345539226541e-01,5.926642218195110612e-02
4.369644901156000127e-02,6.576835889717802530e-02
4.462978542248582370e-01,1.241966662177006464e-01
8.488429910741814854e-01,6.996074960115032937e-01
4.517196411116324306e-01,7.631853193316806561e-02
9.013832263933654332e-01,7.479377734511316600e-01
4.916860415914120486e-01,3.636583319087964838e-01
4.974474180630084064e-02,2.322230161780083346e-01
4.404916153646117882e-01,3.039608251690866236e-01
7.506165000152745792e-01,6.932148223338824300e-01
5.051425146885760720e-01,4.790912145618931861e-01
4.832059346602152194e-01,8.595838923159201395e-01
4.535071229382925395e-01,3.875775682140432110e-01
7.232714300620978198e-01,6.309781040304418553e-01
4.746816740477544094e-01,5.029920550809069413e-01
3.717255019614629230e-02,6.697416650932170867e-01
7.784100699925583511e-01,7.555612159509961234e-01
1.028161923434669500e-01,4.826385230137830717e-02
5.589510559835503267e-01,7.897008147983116677e-01
6.187750314082853809e-01,7.387853397679978729e-01
4.109488640607691368e-01,6.649054155285227807e-01
2.630497519388808048e-01,2.307194549697659802e-01
1.079409799339593468e-01,8.135085657313925189e-01
9.164278172765898400e-01,9.153811391810358078e-01
3.678133202595819107e-01,5.335137624304151505e-01
8.703511300384744187e-01,5.003695383343553793e-03
6.719969151626974391e-01,7.271190760835809508e-01
3.337066887717662356e-01,8.272490011402018339e-01
4.903818339199295107e-01,2.800412609076695647e-01
