x(m),wallHeatFlux(W/m2)
2.550733828479003762e-01,4.862302622349877756e-01
8.817248444893419634e-01,5.402706194228696912e-01
5.386942433102204220e-01,9.276471119569862367e-02
7.307978790664062529e-01,2.165823839054992206e-02
4.084816951527979745e-01,5.808120406153993720e-01
4.879292580538783231e-01,1.792574923124845565e-01
4.457775026010646346e-01,1.677618461113595805e-01
4.676084880886434147e-01,7.301919369125919879e-02
6.366751017273715174e-01,6.015069218594251144e-01
2.064789872039544116e-01,8.087254521379777517e-01
3.774845123246366452e-01,2.089330591482833066e-01
8.329773007145385710e-01,9.762574502506785601e-01
4.672595742442080535e-01,1.109308155682361408e-01
4.626624582586194023e-01,5.111131919649680722e-02
7.444257081696620260e-01,2.678672948696617651e-01
5.366500316643521007e-01,5.453411772972712734e-01
4.797214355181160794e-01,7.073534967696599729e-01
1.898399103980534797e-01,8.821944469605851324e-01
5.499881565103225123e-01,9.736801009434196130e-01
6.209115168538552609e-01,9.576861798094005174e-01
6.445412884741519299e-02,2.727876702031295508e-02
4.870079576811476851e-01,8.865686802428829338e-03
3.451084674940468888e-01,1.677667131931445121e-01
1.377544394401479799e-01,8.027773466655780954e-01
9.798066838817975910e-02,5.071797547483366531e-01
2.302773054628093341e-01,3.853308874187064692e-01
4.531208399888191352e-01,1.649045144487070180e-01
8.207715985556977012e-01,5.835980487981162756e-02
4.749330657232890829e-01,7.798289320874349784e-01
9.854733576843250908e-01,7.739036521070397079e-02
7.434080450513393945e-01,7.529457511583040885e-01
6.702017040363603684e-01,1.219540320440136716e-01
5.182939495128654483e-01,6.974819893421514427e-01
4.111122237233745258e-01,5.055153890819219509e-01
7.014227133330720454e-01,2.564475818603580981e-01
5.591331513825130717e-01,7.915151583854684869e-02
4.052919230527899375e-01,1.019681530386541413e-01
4.189606013812942065e-01,9.558460425135064664e-01
5.341637849683649186e-01,7.062593181926601904e-01
5.065348726879022045e-01,4.556094162685524473e-01
7.213564341102753907e-01,4.166407046351988663e-01
7.945779593084447701e-01,4.892665111423505353e-01
8.313822303534099678e-01,4.169911917402328028e-01
2.989984532955948238e-01,1.492431723972124091e-01
5.734903216251473479e-01,9.409432289164573193e-01
5.919039053871619771e-01,9.972226171699495323e-01
9.800708295335204268e-01,5.503152128137768218e-01
4.774161707369524166e-01,8.548579360955210760e-04
3.205279785250932933e-01,9.309388813181729283e-01
6.574366968460143568e-02,7.208855069199149312e-01
3.243268065619191454e-01,4.674198158553455329e-02
3.197453209299947474e-01,9.917081687322384376e-01
6.595903411132408856e-01,8.873297365236310075e-01
6.839648602591024140e-01,5.278589212442893475e-01
6.641348522358364592e-01,3.322358925198627411e-01
9.008671022973543385e-01,4.668356100791285490e-01
7.450659851561350910e-01,4.321454649678879711e-02
9.446053085844330344e-01,3.754134851654022942e-01
3.127637345091793808e-02,6.160850024376796075e-02
3.724772905575887139e-01,2.081907085666836466e-01
6.014345014737823014e-01,2.928855687815669073e-01
8.371880218694990328e-01,8.967786938682387188e-02
2.592744441159566815e-02,1.191547627972274759e-01
5.641270580866786233e-02,7.419029379627749554e-01
9.155599342575186927e-01,2.920863032418857808e-01
4.594302274070733993e-01,8.576137247266890640e-01
8.184419207885713643e-01,7.230012237513083750e-01
3.817174212563715363e-01,7.991329242094427077e-01
3.839797369987730802e-01,9.156247326230457784e-01
4.113456139086080210e-01,1.897557724677645385e-02
4.892084933075828701e-01,9.730068861047233009e-01
2.055265842746556437e-02,5.824236584124875549e-02
2.106583929579963765e-03,8.374782644566912682e-01
9.175247940111936895e-01,2.757890293210617516e-01
9.919359687802983272e-01,4.775570016545904739e-02
1.831722713965588945e-01,3.465223630123519527e-01
9.626450161333959255e-01,2.124892216471804263e-01
7.173558456881903300e-01,1.608882834379838922e-01
8.919589462646744238e-01,3.468379917406592128e-01
2.525240398954669008e-01,4.785094764261663691e-01
4.563034132331645898e-01,2.149064360072763247e-01
1.864898955917793089e-01,5.594991264632312999e-01
3.963826646633769046e-01,8.916578565413431079e-01
2.160691968269884411e-01,9.154218553564832384e-01
5.262839882009813230e-01,5.704837386171281999e-01
1.670081801727621995e-01,1.026666092952095433e-01
7.599942136623700772e-01,1.640904546919136342e-01
6.447506008326350235e-01,6.735550630072184575e-01
3.869465175150663683e-01,2.996943710899598878e-01
6.652777318620386460e-01,7.101433366162271943e-01
8.025221630980998722e-01,2.237620293790966164e-01
8.933307909052163875e-01,9.916542809568716921e-01
9.339921776925729224e-01,5.801834429450776209e-01
7.512120457771106485e-01,4.708314146510883536e-01
8.859824623904154484e-01,8.358442223245082792e-01
6.525166991897450863e-01,6.029371763895946534e-01
9.481318012549806440e-01,1.343678963928680581e-01
9.453890604758725669e-01,8.656932446807553694e-01
5.367825635823871844e-01,4.000391323744133532e-01
1.544178264084641317e-01,2.405242169945809305e-01
