x(m),wallHeatFlux(W/m2)
2.250317634254459964e+00,4.435461434422565508e+05
2.250813954861920152e+00,4.435214443529915297e+05
2.251310275469390110e+00,4.434953941643954022e+05
2.251806596076860068e+00,4.434686697677992051e+05
2.252302916684319811e+00,4.434422029915419989e+05
2.252799237291790213e+00,4.434169059763003024e+05
2.253295557899260171e+00,4.433933413999261684e+05
2.253791878506719915e+00,4.433716365282217739e+05
2.254288199114189872e+00,4.433511268421606510e+05
2.254784519721650060e+00,4.433315368404028122e+05
2.255280840329120018e+00,4.433121188298899215e+05
2.255777160936589976e+00,4.432927838513348834e+05
2.256273481544050163e+00,4.432738601753678522e+05
2.256769802151519677e+00,4.432559233373900061e+05
2.257266122758990079e+00,4.432407431036686176e+05
2.257762443366450267e+00,4.432268213450543699e+05
2.258258763973919780e+00,4.432147137289419770e+05
2.258755084581389738e+00,4.432044838258089731e+05
2.259251405188850370e+00,4.431953830222045071e+05
2.259747725796320328e+00,4.431866382252469193e+05
2.260244046403780072e+00,4.431774230506255408e+05
2.260740367011250029e+00,4.431670656952222926e+05
2.261236687618720431e+00,4.431548687934494810e+05
2.261733008226180175e+00,4.431394535480508930e+05
2.262229328833650133e+00,4.431231336278896197e+05
2.262725649441120090e+00,4.431051120771148126e+05
2.263221970048579834e+00,4.430835131868518074e+05
2.263718290656050236e+00,4.430593328436565935e+05
2.264214611263520194e+00,4.430334551096060313e+05
2.264710931870979937e+00,4.430068130444421549e+05
2.265207252478449895e+00,4.429806188189836103e+05
2.265703573085910083e+00,4.429558723293132498e+05
2.266199893693380041e+00,4.429330851660200860e+05
2.266696214300849999e+00,4.429116979884350440e+05
2.267192534908309742e+00,4.428917225102196680e+05
2.267688855515779700e+00,4.428726861465576221e+05
2.268185176123250102e+00,4.428544006706156069e+05
2.268681496730710290e+00,4.428370629343886976e+05
2.269177817338179803e+00,4.428206684764885576e+05
2.269674137945649761e+00,4.428062016876213020e+05
2.270170458553110393e+00,4.427919337276903098e+05
2.270666779160579907e+00,4.427783070303591667e+05
2.271163099768049864e+00,4.427648746153578977e+05
2.271659420375510052e+00,4.427501906433853437e+05
2.272155740982980454e+00,4.427352625341480016e+05
2.272652061590440198e+00,4.427191339955630829e+05
2.273148382197910156e+00,4.427018744834503741e+05
2.273644702805380113e+00,4.426836597332803649e+05
2.274141023412839857e+00,4.426645991368757095e+05
2.274637344020310259e+00,4.426448764687143266e+05
2.275133664627780217e+00,4.426241641059129033e+05
2.275629985235239960e+00,4.426027440847796388e+05
2.276126305842709918e+00,4.425808807308761170e+05
2.276622626450180320e+00,4.425593972174523515e+05
2.277118947057640064e+00,4.425382544816212030e+05
2.277615267665110022e+00,4.425192559140846715e+05
2.278111588272569765e+00,4.425022626631846069e+05
2.278607908880040167e+00,4.424868597057551378e+05
2.279104229487510125e+00,4.424726830493269954e+05
2.279600550094969869e+00,4.424589661585217691e+05
2.280096870702439826e+00,4.424461055658711703e+05
2.280593191309909784e+00,4.424341683817713056e+05
2.281089511917369972e+00,4.424232723945789039e+05
2.281585832524839930e+00,4.424134403605966945e+05
2.282082153132309887e+00,4.424044751085191965e+05
2.282578473739770075e+00,4.423959826686278684e+05
2.283074794347240033e+00,4.423874246607121313e+05
2.283571114954709991e+00,4.423782546280981041e+05
2.284067435562170179e+00,4.423680539228221751e+05
2.284563756169640136e+00,4.423566352490771678e+05
2.285060076777100324e+00,4.423435818394353264e+05
2.285556397384570282e+00,4.423286686758323922e+05
2.286052717992040240e+00,4.423131394175020396e+05
2.286549038599499983e+00,4.422962366868775571e+05
2.287045359206969941e+00,4.422779631023593829e+05
2.287541679814440343e+00,4.422591537823771359e+05
2.288038000421900087e+00,4.422383532762280665e+05
2.288534321029370044e+00,4.422156636286896537e+05
2.289030641636840002e+00,4.421914642546889372e+05
2.289526962244300190e+00,4.421663398381100269e+05
2.290023282851770148e+00,4.421412360834013089e+05
2.290519603459229891e+00,4.421170320813861326e+05
2.291015924066699849e+00,4.420949881663950509e+05
2.291512244674169807e+00,4.420740671041759779e+05
2.292008565281629995e+00,4.420552683159801527e+05
2.292504885889099953e+00,4.420379202424380928e+05
2.293001206496569910e+00,4.420233839153330773e+05
2.293497527104029654e+00,4.420095497877880116e+05
2.293993847711500056e+00,4.419974339924679953e+05
2.294490168318970014e+00,4.419869608880291344e+05
2.294986488926430201e+00,4.419776507021987927e+05
2.295482809533899715e+00,4.419688392544320668e+05
2.295979130141370117e+00,4.419601746410296764e+05
2.296475450748830305e+00,4.419505699967100518e+05
2.296971771356300263e+00,4.419398002923926688e+05
2.297468091963760006e+00,4.419258396680756123e+05
2.297964412571229964e+00,4.419109579597307020e+05
2.298460733178700366e+00,4.418943893091088394e+05
2.298957053786160110e+00,4.418760171631462290e+05
2.299453374393630067e+00,4.418564676765727927e+05
2.299949695001100025e+00,4.418363713713840116e+05
2.300446015608560213e+00,4.418162011716022389e+05
2.300942336216030171e+00,4.417960539794228389e+05
2.301438656823489914e+00,4.417759657015419216e+05
2.301934977430959872e+00,4.417561918132928549e+05
2.302431298038430274e+00,4.417373346185274422e+05
2.302927618645890018e+00,4.417197126413275837e+05
2.303423939253359976e+00,4.417030166574498871e+05
2.303920259860829933e+00,4.416868439390727435e+05
2.304416580468289677e+00,4.416707081371939275e+05
2.304912901075760079e+00,4.416564943720271694e+05
2.305409221683230037e+00,4.416425934614443104e+05
2.305905542290689780e+00,4.416307418790144147e+05
2.306401862898159738e+00,4.416212617080215132e+05
2.306898183505630140e+00,4.416138751358768786e+05
2.307394504113090328e+00,4.416079952563080587e+05
2.307890824720559841e+00,4.416028769848034717e+05
2.308387145328020029e+00,4.415977237902685301e+05
2.308883465935490431e+00,4.415917322133353446e+05
2.309379786542960389e+00,4.415842594614701229e+05
2.309876107150420133e+00,4.415748382464811439e+05
2.310372427757890090e+00,4.415637782075739815e+05
2.310868748365360048e+00,4.415492881397771416e+05
2.311365068972820236e+00,4.415346284523024224e+05
2.311861389580290194e+00,4.415185414705947624e+05
2.312357710187760151e+00,4.415013865969954059e+05
2.312854030795219895e+00,4.414834986242078012e+05
2.313350351402690297e+00,4.414650405654050992e+05
2.313846672010150041e+00,4.414461698990440927e+05
2.314342992617619998e+00,4.414271909555789316e+05
2.314839313225089956e+00,4.414082055316561600e+05
2.315335633832549700e+00,4.413890554262154619e+05
2.315831954440020102e+00,4.413694719478829065e+05
2.316328275047490060e+00,4.413491715417635860e+05
2.316824595654949803e+00,4.413286137198099750e+05
2.317320916262419761e+00,4.413087749902542564e+05
2.317817236869890163e+00,4.412913789957899135e+05
2.318313557477349907e+00,4.412778254768177285e+05
2.318809878084819864e+00,4.412651760439589270e+05
2.319306198692280052e+00,4.412548299341975944e+05
2.319802519299750454e+00,4.412457194545636885e+05
2.320298839907219968e+00,4.412368154442904051e+05
2.320795160514680155e+00,4.412272965353016043e+05
2.321291481122150113e+00,4.412166298271558480e+05
2.321787801729619627e+00,4.412047614059754414e+05
2.322284122337080259e+00,4.411908607234621886e+05
2.322780442944550217e+00,4.411765412121192203e+05
2.323276763552020174e+00,4.411611387794649927e+05
2.323773084159479918e+00,4.411451405076102819e+05
2.324269404766950320e+00,4.411289434053823352e+05
2.324765725374420278e+00,4.411125505044486490e+05
2.325262045981880021e+00,4.410957327832078445e+05
2.325758366589349979e+00,4.410783329275227152e+05
2.326254687196810167e+00,4.410603164321152144e+05
2.326751007804280125e+00,4.410418588987282128e+05
2.327247328411750082e+00,4.410236123452373431e+05
2.327743649019209826e+00,4.410062409124214319e+05
2.328239969626679784e+00,4.409920737282919581e+05
2.328736290234150186e+00,4.409783077630490297e+05
2.329232610841609930e+00,4.409662243076664163e+05
2.329728931449079887e+00,4.409551634530799929e+05
2.330225252056549845e+00,4.409443349332030048e+05
2.330721572664010033e+00,4.409333128641647054e+05
2.331217893271479991e+00,4.409221377277273568e+05
2.331714213878949948e+00,4.409110840104473173e+05
2.332210534486410136e+00,4.409004361705785268e+05
2.332706855093880094e+00,4.408902921124256682e+05
2.333203175701340282e+00,4.408805141255746712e+05
2.333699496308810239e+00,4.408707802378758206e+05
2.334195816916279753e+00,4.408606525422440027e+05
2.334692137523739941e+00,4.408497397238976555e+05
2.335188458131210343e+00,4.408378122991531854e+05
2.335684778738680301e+00,4.408247473887655651e+05
2.336181099346140044e+00,4.408101935119559057e+05
2.336677419953610002e+00,4.407952537773970398e+05
2.337173740561070190e+00,4.407791634040962090e+05
2.337670061168540148e+00,4.407616880634840345e+05
2.338166381776010105e+00,4.407433496292998316e+05
2.338662702383469849e+00,4.407234866151313763e+05
2.339159022990939807e+00,4.407023879744568258e+05
2.339655343598410209e+00,4.406812197525320807e+05
2.340151664205869952e+00,4.406604233615884441e+05
2.340647984813339910e+00,4.406415230404349277e+05
2.341144305420809868e+00,4.406244496573832002e+05
2.341640626028270056e+00,4.406087138097917777e+05
