x(m),wallHeatFlux(W/m2)
7.810750953387962658e-01,5.871768108182250367e-01
3.403063961711045859e-01,3.210323260647450772e-01
5.753616173533909750e-01,6.668118089999000020e-01
5.292627487915322337e-01,8.365254712954465210e-01
9.267012427289474941e-01,2.037492075851228268e-01
5.343560753732412572e-01,6.111793630606057182e-01
4.895295875979949196e-01,2.400336053747308407e-01
6.964427055968003266e-02,7.490876563182903292e-01
6.708342302106216071e-01,2.480250068579341605e-01
7.404187199755349891e-01,5.443878545783213951e-01
8.642948506610550474e-01,7.770095332748565564e-01
3.207359176628999942e-01,1.580660163963413245e-01
4.769237012347480320e-01,7.147231963773162944e-01
9.557475452579945463e-01,3.091054546875315889e-02
2.664830019108117565e-01,1.724240312210852943e-01
4.024056751323167314e-01,2.193251658891851585e-01
6.638128777543914616e-01,8.869727624545562517e-01
2.735655646376579098e-01,6.882493961271204386e-01
3.200869001284528670e-01,5.792719477402862305e-01
3.174522716280746559e-01,3.035582601192390317e-01
6.199032980948159244e-01,5.952801245254722984e-01
4.323266765175728388e-01,6.169544797670323266e-02
1.195884786690305512e-01,5.054006401526659475e-01
2.155279692344953535e-01,8.930201281712405459e-01
7.097652772711400271e-01,7.511822895182300730e-01
1.805207402523828497e-01,3.058317687911817906e-01
6.959853589723030698e-02,8.394026434970613959e-02
4.908966227219765388e-01,6.493790028548152016e-01
2.105690078701227819e-01,8.102703016416945569e-02
1.317779678002511945e-01,5.444661153719578817e-01
2.376066650650155987e-01,8.346551146090278595e-01
3.333475599462180083e-01,1.006437481682801449e-01
3.437226466095627542e-01,6.026910248669160586e-01
5.254364860726713493e-01,7.037862631693992954e-01
1.529446007839323496e-01,8.241755797351789647e-01
2.515148608782629136e-01,6.486926061204816296e-01
5.720235288444508459e-01,5.489381650800685408e-01
9.849363945493346817e-01,3.775278835960140800e-01
9.796615386282075955e-01,2.187202456501528003e-01
8.544807766809651151e-01,4.499965112975667925e-01
6.963777792650363008e-01,7.255119528018867392e-01
7.841792281324126979e-01,2.420844915450648394e-01
7.187490932519374764e-01,5.913257350807680224e-01
5.277480857308647355e-01,3.611750479090254373e-01
4.674742144702739299e-01,6.697049473518233986e-01
9.222914216342147364e-01,7.554080622883725393e-01
2.477450322932399640e-01,8.737109900503812199e-01
3.266460365099767005e-01,2.054731035420421792e-01
9.249255289313302875e-01,9.796777245322633165e-01
7.316586653401890850e-01,3.749866530300970391e-01
2.254710542094260362e-01,6.002527558425375664e-01
5.605661461255722067e-01,4.464058595587327982e-01
2.087260862940959472e-01,1.474349958545897454e-01
2.228149862781381163e-02,4.710452348837607106e-01
2.102807648729071444e-01,2.671812278784096994e-01
9.712322816376101065e-01,6.079303376647680057e-01
3.836303154109534930e-01,7.663535677670739732e-01
1.968944902860356727e-01,1.238213964017594870e-01
8.970017505537599689e-01,7.909340122605847956e-01
9.764498236268942533e-01,1.614561914160181910e-01
1.456123776005706638e-01,7.108572957904004674e-01
5.348550586983136235e-01,5.745398772042163982e-01
8.632732163554793781e-01,3.865673572414153325e-01
3.411914423518761508e-01,6.807880437568715193e-01
2.705835716947883052e-01,7.310615928534583974e-01
5.290817572242056954e-02,3.957567023985809618e-01
5.517872869195428187e-01,3.816017710216081937e-01
4.425328597032129885e-01,4.109213186996896194e-01
9.787138469918291728e-01,4.250861060311802442e-01
8.322361715591752862e-02,3.295808993001722031e-01
6.749200765457241680e-01,5.779174129201946064e-01
2.166492352267823662e-01,2.716569308957460516e-01
5.572700243915599261e-01,1.725372151919454256e-01
1.736393494966348428e-03,1.598515460006354472e-01
4.993611781769731195e-01,6.991498137523650680e-01
8.080060941107913841e-02,9.117517103037870996e-01
3.844904047986072992e-01,5.429718995404534398e-01
5.473545239860088119e-01,3.801199446302487850e-01
2.813414274675387627e-01,8.835525573781100039e-02
4.572822415994309830e-01,4.940680116153284285e-02
2.069986116948483446e-01,3.830297326768838939e-01
5.884928361561322374e-01,8.813931894066751038e-02
7.711679886338768108e-01,4.161538628019886277e-01
2.323663658343373406e-01,8.241830666377605308e-01
3.508023188248740043e-01,8.801259238391172524e-01
5.381707888913829230e-01,7.678426476625488384e-01
1.631572583842594293e-01,9.981368194788786674e-02
8.016382300372818515e-01,2.025365446149286486e-01
1.023406786513888500e-01,7.736912166364627863e-01
5.621380207544623975e-01,6.661465558876167314e-01
7.506204082572399683e-01,2.610470235883169954e-01
5.287344496626888990e-01,1.702575636815504279e-01
7.325135971514210587e-01,7.027139812456600909e-01
8.009135127931319431e-01,3.446585803513133595e-01
9.804147531478631938e-01,8.521139375483680611e-01
4.745937729041646014e-01,8.335877029827900575e-01
4.469295532208299448e-01,5.591547467796842419e-01
4.302569403670589709e-01,2.176359755024409592e-01
6.609733722254349519e-01,2.567188753278917268e-01
3.553973195775288474e-01,3.432553844387534747e-01
