x(m),wallP(Pa)
2.380015733624262220e-01,8.039756717585508916e-01
3.850086535709870139e-01,4.336598045463458950e-01
1.070819475868978188e-02,7.463543945907108457e-01
3.086779731194173593e-01,9.588280697784455908e-01
6.391384662697665586e-01,7.108683772686413826e-01
1.690197077904471712e-01,9.908628323284210948e-01
6.911491984129622956e-01,1.265799910853174781e-01
2.965219921534416603e-01,2.013146248029829000e-01
8.379484111192700979e-01,2.887445234923811110e-01
1.014026767901161641e-01,4.067276475288817972e-01
1.278756692971840803e-01,6.956361093054538314e-01
3.670650991306467770e-02,2.236757743587968195e-01
7.863453725755372714e-01,5.194061948241418536e-01
6.906937160644163187e-01,1.971407478936459956e-01
3.005509312129005517e-01,8.982625731816651360e-02
7.744282944649412137e-01,9.457081665341725563e-01
1.805775162095819564e-01,2.096824025401300418e-02
9.031438416274637504e-01,1.695286603979203610e-01
7.720651405688921942e-01,5.900768236551283685e-01
1.222209701316747665e-01,4.000490834164603937e-01
5.323890131301821649e-01,1.677387917613406554e-01
1.975752899401439500e-01,2.779296886407889300e-02
4.189315771355590634e-01,8.222187807329962572e-01
2.880921087384662460e-01,8.241483949599186509e-01
4.887548764340713392e-01,5.917311643419144174e-01
6.332722270540802612e-01,6.549270184080900892e-01
2.226522626234138658e-01,8.863261076067291411e-01
7.170983988548553789e-01,2.606736066493178239e-01
6.382222442059590772e-01,7.088103097163852562e-01
1.942764131149757878e-01,2.417080021792317179e-01
1.656416954859483148e-01,6.911667084093129354e-01
7.907976864764488800e-01,9.059812675078458000e-01
4.273269463264035561e-01,7.347230220006263357e-01
8.544712952829451869e-01,3.092845559711692172e-01
2.560884093203860123e-01,2.681730879225505682e-01
5.078650484593382197e-01,6.688602375124071964e-01
3.279397942695352342e-01,4.815476561844141967e-01
1.567006704959176266e-01,4.377198812053242349e-01
8.087796533862271486e-01,7.332402181171410183e-01
4.834522036486416097e-01,1.860419964593090780e-01
6.187468686863455414e-01,5.622130645746026278e-01
2.176357554625992785e-01,1.469723608078554733e-01
7.607573627993403642e-01,7.624471146152952405e-01
2.171941970239277264e-02,3.060550357279612221e-02
1.818004118925297119e-01,9.972349291243476355e-01
1.936725937778228657e-01,1.694633240785436978e-02
3.364583306329729240e-01,3.149592060871334587e-01
3.257942393020347716e-01,2.137452889773608922e-01
8.969387082302925362e-01,6.715730406963493770e-03
6.971232553421913281e-01,1.510827447161594561e-01
5.188080071908374169e-01,7.345370738568579583e-02
5.359337025523036591e-02,7.523400719431300177e-01
4.325767125397609325e-01,6.665012823334979242e-01
1.138111068789993130e-01,8.974718279654908537e-01
9.063241387997633680e-02,4.086335896076722651e-01
6.856293099197130481e-02,4.270558237131016899e-01
3.932641240725480714e-01,4.360164276759682656e-01
1.634549672929963560e-02,1.769541039425441831e-01
1.361613377149060167e-01,9.416683791580470198e-01
1.103042920309246222e-01,4.688972642944181368e-01
2.584537076048838422e-01,4.474209647348255103e-01
4.683418355766980623e-01,1.786130119363361635e-01
2.837045476507705777e-01,7.371621953472851096e-03
2.059536254935434574e-01,8.365178806217644647e-01
6.798817297280166372e-01,9.096712064581746748e-01
1.236345646452053915e-01,8.530751832780183452e-01
5.874898056846104000e-01,2.426685866828878213e-01
1.841946233636408969e-01,5.039400521010752865e-01
5.463541265267157776e-01,4.439232435433606572e-01
8.203921350994880513e-02,5.688290467280820994e-01
1.112499724267028700e-01,4.538180910391915734e-01
4.763512397257169129e-01,6.068331415571687204e-01
4.321047909000407250e-01,7.802492414559033529e-01
1.243718717722628320e-01,3.563987806601531805e-02
9.347807336891146290e-01,2.822983569593435771e-01
7.690774579345721618e-01,5.110918161677185934e-01
5.551106915011884135e-01,7.824866748605835420e-01
2.149538106601355247e-01,6.123362268802122754e-01
6.150691015139396756e-01,7.782260644961825902e-01
1.751202209474953531e-01,5.181361147197376393e-01
6.149501286172253112e-01,6.653685557884123636e-01
8.097156913394267796e-01,3.635346170536438715e-01
3.105685707470590140e-01,7.057014607675724527e-01
6.958581890561118533e-01,5.045527851913684803e-01
2.967835432644558846e-01,7.835043184319185894e-01
9.169813823229828742e-01,8.133610487112842291e-01
3.431301728139198870e-01,9.342764651500148343e-01
1.505644486453916464e-02,6.638201656160710451e-01
4.462716657057254066e-01,7.343145890729315672e-01
7.419496962940552720e-02,5.042146087604983951e-01
9.845748885937013473e-01,4.526107114422246447e-01
9.248104654834388150e-01,8.651161387866577179e-01
5.120510775641262669e-01,1.817472648133444668e-02
6.372939082341166905e-02,7.081368497525025729e-01
2.549241981752498054e-01,5.441748618573157836e-01
5.391751268847633227e-01,7.451418199253748709e-01
3.880853820807689258e-01,3.983715650443937495e-01
8.174621372965735766e-01,7.351701315981320484e-01
3.469191733438226066e-02,4.420483044902961955e-01
3.705816221852163972e-01,6.834328674253078439e-01
