x(m),wallP(Pa)
2.250317634254459964e+00,1.531992832810001710e+04
2.250813954861920152e+00,1.531943312936755865e+04
2.251310275469390110e+00,1.531896859966661214e+04
2.251806596076860068e+00,1.531853485382562940e+04
2.252302916684319811e+00,1.531814685250020193e+04
2.252799237291790213e+00,1.531783219225713583e+04
2.253295557899260171e+00,1.531762530016767050e+04
2.253791878506719915e+00,1.531753568069378889e+04
2.254288199114189872e+00,1.531756306881509954e+04
2.254784519721650060e+00,1.531767723729124191e+04
2.255280840329120018e+00,1.531784108073159950e+04
2.255777160936589976e+00,1.531800727344758343e+04
2.256273481544050163e+00,1.531814725303039813e+04
2.256769802151519677e+00,1.531825718563594637e+04
2.257266122758990079e+00,1.531835217141810608e+04
2.257762443366450267e+00,1.531845629917525002e+04
2.258258763973919780e+00,1.531859275115359924e+04
2.258755084581389738e+00,1.531877518902477095e+04
2.259251405188850370e+00,1.531900194583194752e+04
2.259747725796320328e+00,1.531925550630941507e+04
2.260244046403780072e+00,1.531950723686180936e+04
2.260740367011250029e+00,1.531972515790643592e+04
2.261236687618720431e+00,1.531988203328543023e+04
2.261733008226180175e+00,1.531995965105674622e+04
2.262229328833650133e+00,1.531995166362659802e+04
2.262725649441120090e+00,1.531986977362625476e+04
2.263221970048579834e+00,1.531969732924375057e+04
2.263718290656050236e+00,1.531943657761919167e+04
2.264214611263520194e+00,1.531910064546033027e+04
2.264710931870979937e+00,1.531871716880861641e+04
2.265207252478449895e+00,1.531832226432672724e+04
2.265703573085910083e+00,1.531795603584065611e+04
2.266199893693380041e+00,1.531765269533394348e+04
2.266696214300849999e+00,1.531743239059363623e+04
2.267192534908309742e+00,1.531729594128568169e+04
2.267688855515779700e+00,1.531723482792418145e+04
2.268185176123250102e+00,1.531724473442231101e+04
2.268681496730710290e+00,1.531731716524668809e+04
2.269177817338179803e+00,1.531744335383912585e+04
2.269674137945649761e+00,1.531760471936318936e+04
2.270170458553110393e+00,1.531778768062138806e+04
2.270666779160579907e+00,1.531798024309250104e+04
2.271163099768049864e+00,1.531816518773176722e+04
2.271659420375510052e+00,1.531832195779837457e+04
2.272155740982980454e+00,1.531843436159307748e+04
2.272652061590440198e+00,1.531849624241693891e+04
2.273148382197910156e+00,1.531850986416870001e+04
2.273644702805380113e+00,1.531848330332337537e+04
2.274141023412839857e+00,1.531843203562175040e+04
2.274637344020310259e+00,1.531835979086259977e+04
2.275133664627780217e+00,1.531826615213774494e+04
2.275629985235239960e+00,1.531814927582128621e+04
2.276126305842709918e+00,1.531801465914135770e+04
2.276622626450180320e+00,1.531787855713898534e+04
2.277118947057640064e+00,1.531776981953427457e+04
