x(m),wallP(Pa)
2.250317634254459964e+00,1.597688689754535881e+04
2.250813954861920152e+00,1.597656220914855112e+04
2.251310275469390110e+00,1.597620226760673540e+04
2.251806596076860068e+00,1.597581236607760366e+04
2.252302916684319811e+00,1.597541090257670476e+04
2.252799237291790213e+00,1.597502620344870229e+04
2.253295557899260171e+00,1.597468390512834230e+04
2.253791878506719915e+00,1.597439346785639827e+04
2.254288199114189872e+00,1.597414728404168636e+04
2.254784519721650060e+00,1.597392790112630792e+04
2.255280840329120018e+00,1.597371838024504905e+04
2.255777160936589976e+00,1.597351262886955374e+04
2.256273481544050163e+00,1.597331811427810680e+04
2.256769802151519677e+00,1.597315216739186144e+04
2.257266122758990079e+00,1.597303293575668431e+04
2.257762443366450267e+00,1.597296874993090387e+04
2.258258763973919780e+00,1.597296361133636310e+04
2.258755084581389738e+00,1.597300542191809291e+04
2.259251405188850370e+00,1.597308506494704852e+04
2.259747725796320328e+00,1.597318240134582811e+04
2.260244046403780072e+00,1.597327812656027163e+04
2.260740367011250029e+00,1.597335335054537791e+04
2.261236687618720431e+00,1.597339544900790497e+04
2.261733008226180175e+00,1.597339245917592052e+04
2.262229328833650133e+00,1.597334233253033381e+04
2.262725649441120090e+00,1.597323430765122430e+04
2.263221970048579834e+00,1.597306212134091766e+04
2.263718290656050236e+00,1.597282868793711532e+04
2.264214611263520194e+00,1.597254402233284964e+04
2.264710931870979937e+00,1.597223148209415012e+04
2.265207252478449895e+00,1.597191918854751202e+04
2.265703573085910083e+00,1.597163873919577600e+04
2.266199893693380041e+00,1.597140536820554189e+04
2.266696214300849999e+00,1.597121834791390938e+04
2.267192534908309742e+00,1.597106330493038877e+04
2.267688855515779700e+00,1.597092741219700292e+04
2.268185176123250102e+00,1.597080526907234162e+04
2.268681496730710290e+00,1.597069894840022243e+04
2.269177817338179803e+00,1.597061449499683295e+04
2.269674137945649761e+00,1.597055720236840352e+04
2.270170458553110393e+00,1.597052612026931638e+04
2.270666779160579907e+00,1.597051477409926702e+04
2.271163099768049864e+00,1.597051172290756404e+04
2.271659420375510052e+00,1.597050684975255717e+04
2.272155740982980454e+00,1.597049524079273942e+04
2.272652061590440198e+00,1.597047584859704148e+04
2.273148382197910156e+00,1.597044983716532806e+04
2.273644702805380113e+00,1.597041881912491226e+04
2.274141023412839857e+00,1.597038360910994379e+04
2.274637344020310259e+00,1.597034297583251464e+04
2.275133664627780217e+00,1.597029299934912524e+04
2.275629985235239960e+00,1.597022854537026069e+04
2.276126305842709918e+00,1.597014740270266702e+04
2.276622626450180320e+00,1.597005449921145919e+04
2.277118947057640064e+00,1.596996211792338545e+04
2.277615267665110022e+00,1.596988604444254088e+04
2.278111588272569765e+00,1.596983251084407675e+04
2.278607908880040167e+00,1.596979801952990238e+04
2.279104229487510125e+00,1.596977416110241575e+04
2.279600550094969869e+00,1.596975300783571583e+04
2.280096870702439826e+00,1.596973197585046910e+04
2.280593191309909784e+00,1.596971403030283909e+04
2.281089511917369972e+00,1.596970643720866065e+04
2.281585832524839930e+00,1.596971612144908613e+04
2.282082153132309887e+00,1.596974621761829258e+04
2.282578473739770075e+00,1.596979482364659816e+04
2.283074794347240033e+00,1.596985378185716036e+04
2.283571114954709991e+00,1.596991293743720598e+04
2.284067435562170179e+00,1.596996184303111659e+04
2.284563756169640136e+00,1.596999234322463599e+04
2.285060076777100324e+00,1.596999641385724681e+04
2.285556397384570282e+00,1.596997550818769014e+04
2.286052717992040240e+00,1.596993237527874226e+04
2.286549038599499983e+00,1.596987625031184143e+04
2.287045359206969941e+00,1.596981137417332320e+04
2.287541679814440343e+00,1.596973390142444623e+04
2.288038000421900087e+00,1.596963475912305148e+04
2.288534321029370044e+00,1.596950754245757344e+04
2.289030641636840002e+00,1.596935221205577909e+04
2.289526962244300190e+00,1.596918961839212716e+04
2.290023282851770148e+00,1.596900547640717195e+04
2.290519603459229891e+00,1.596891237999272198e+04
2.291015924066699849e+00,1.596877583945735023e+04
2.291512244674169807e+00,1.596902174775338972e+04
2.292008565281629995e+00,1.604914137869121078e+04
2.292504885889099953e+00,1.697562276230710631e+04
2.293001206496569910e+00,2.234801203178722790e+04
2.293497527104029654e+00,2.806716962978609808e+04
