x(m),wallP(Pa)
2.250317634254459964e+00,1.597896046116015168e+04
2.250813954861920152e+00,1.597852216099244106e+04
2.251310275469390110e+00,1.597805860766664046e+04
2.251806596076860068e+00,1.597759201664295870e+04
2.252302916684319811e+00,1.597715688896022766e+04
2.252799237291790213e+00,1.597678071887330225e+04
2.253295557899260171e+00,1.597647326212353801e+04
2.253791878506719915e+00,1.597622535479937505e+04
2.254288199114189872e+00,1.597601467688417324e+04
2.254784519721650060e+00,1.597581695280359054e+04
2.255280840329120018e+00,1.597561954494512975e+04
2.255777160936589976e+00,1.597543014347886856e+04
2.256273481544050163e+00,1.597527161292980600e+04
2.256769802151519677e+00,1.597517213900513525e+04
2.257266122758990079e+00,1.597515134487337855e+04
2.257762443366450267e+00,1.597520902984455461e+04
2.258258763973919780e+00,1.597533958335156422e+04
2.258755084581389738e+00,1.597551985071843228e+04
2.259251405188850370e+00,1.597571937938880001e+04
2.259747725796320328e+00,1.597590691441442505e+04
2.260244046403780072e+00,1.597605241537571783e+04
2.260740367011250029e+00,1.597613411219308364e+04
2.261236687618720431e+00,1.597613725525789414e+04
2.261733008226180175e+00,1.597606522555444826e+04
2.262229328833650133e+00,1.597590746103747006e+04
2.262725649441120090e+00,1.597566676621014631e+04
2.263221970048579834e+00,1.597534797310345675e+04
2.263718290656050236e+00,1.597496779243653873e+04
2.264214611263520194e+00,1.597455708339639023e+04
2.264710931870979937e+00,1.597415390877327445e+04
2.265207252478449895e+00,1.597379890860072192e+04
2.265703573085910083e+00,1.597351286353967771e+04
2.266199893693380041e+00,1.597329561024365103e+04
2.266696214300849999e+00,1.597313210736979090e+04
2.267192534908309742e+00,1.597300384700264476e+04
2.267688855515779700e+00,1.597290337152307984e+04
2.268185176123250102e+00,1.597283402081353779e+04
2.268681496730710290e+00,1.597280114881213922e+04
2.269177817338179803e+00,1.597281052736318816e+04
2.269674137945649761e+00,1.597285266952983875e+04
2.270170458553110393e+00,1.597291652683721259e+04
2.270666779160579907e+00,1.597298081819392792e+04
2.271163099768049864e+00,1.597302511970777778e+04
2.271659420375510052e+00,1.597303336452934673e+04
2.272155740982980454e+00,1.597300361212047574e+04
2.272652061590440198e+00,1.597293304656730106e+04
2.273148382197910156e+00,1.597282530793717888e+04
2.273644702805380113e+00,1.597268464992541703e+04
2.274141023412839857e+00,1.597251531989773139e+04
2.274637344020310259e+00,1.597232054875363247e+04
2.275133664627780217e+00,1.597210494699254923e+04
2.275629985235239960e+00,1.597187664726800358e+04
2.276126305842709918e+00,1.597165218091214047e+04
2.276622626450180320e+00,1.597146234715440369e+04
2.277118947057640064e+00,1.597133533671012628e+04
2.277615267665110022e+00,1.597128141784994659e+04
2.278111588272569765e+00,1.597129456763237067e+04
2.278607908880040167e+00,1.597135405631837057e+04
2.279104229487510125e+00,1.597144688553774540e+04
2.279600550094969869e+00,1.597156348520504071e+04
2.280096870702439826e+00,1.597170619799793531e+04
2.280593191309909784e+00,1.597188163339599487e+04
2.281089511917369972e+00,1.597209281333488616e+04
2.281585832524839930e+00,1.597233412069046062e+04
2.282082153132309887e+00,1.597259085038445482e+04
2.282578473739770075e+00,1.597284277085020040e+04
2.283074794347240033e+00,1.597306683928512939e+04
2.283571114954709991e+00,1.597324497165264802e+04
2.284067435562170179e+00,1.597336560533683951e+04
2.284563756169640136e+00,1.597342385918240689e+04
2.285060076777100324e+00,1.597341721946262987e+04
2.285556397384570282e+00,1.597335615876320662e+04
2.286052717992040240e+00,1.597324642119797136e+04
2.286549038599499983e+00,1.597309786506330420e+04
2.287045359206969941e+00,1.597291198532841372e+04
2.287541679814440343e+00,1.597268246214747705e+04
2.288038000421900087e+00,1.597239960008929120e+04
2.288534321029370044e+00,1.597206249900425792e+04
2.289030641636840002e+00,1.597168703983246814e+04
2.289526962244300190e+00,1.597130137218166055e+04
2.290023282851770148e+00,1.597094597837652509e+04
2.290519603459229891e+00,1.597065300683020178e+04
2.291015924066699849e+00,1.597043594935321016e+04
2.291512244674169807e+00,1.597029394044637229e+04
2.292008565281629995e+00,1.597021064870422560e+04
2.292504885889099953e+00,1.597018173676463084e+04
2.293001206496569910e+00,1.597021193374334689e+04
2.293497527104029654e+00,1.597030282197306224e+04
2.293993847711500056e+00,1.597045036921021710e+04
2.294490168318970014e+00,1.597064081212103338e+04
2.294986488926430201e+00,1.597085328366256726e+04
2.295482809533899715e+00,1.597106254370690840e+04
2.295979130141370117e+00,1.597124259550807255e+04
2.296475450748830305e+00,1.597136670372502340e+04
2.296971771356300263e+00,1.597141787015919908e+04
2.297468091963760006e+00,1.597138933418791930e+04
2.297964412571229964e+00,1.597128353110745957e+04
2.298460733178700366e+00,1.597111046196200914e+04
2.298957053786160110e+00,1.597089316122580931e+04
2.299453374393630067e+00,1.597065729448306956e+04
2.299949695001100025e+00,1.597042263897938028e+04
2.300446015608560213e+00,1.597019984742820452e+04
2.300942336216030171e+00,1.596998874918332149e+04
2.301438656823489914e+00,1.596979148675774923e+04
2.301934977430959872e+00,1.596962191768444427e+04
2.302431298038430274e+00,1.596949623238905406e+04
2.302927618645890018e+00,1.596941473116226916e+04
2.303423939253359976e+00,1.596936355424135945e+04
2.303920259860829933e+00,1.596932995517156814e+04
2.304416580468289677e+00,1.596931686048753545e+04
2.304912901075760079e+00,1.596934110765492005e+04
2.305409221683230037e+00,1.596942728685805560e+04
2.305905542290689780e+00,1.596959087102623016e+04
2.306401862898159738e+00,1.596983102903428153e+04
2.306898183505630140e+00,1.597013205334335362e+04
2.307394504113090328e+00,1.597046726538088842e+04
2.307890824720559841e+00,1.597080682189615072e+04
2.308387145328020029e+00,1.597111832199322816e+04
2.308883465935490431e+00,1.597137499051208215e+04
2.309379786542960389e+00,1.597155988116200024e+04
2.309876107150420133e+00,1.597166521819034642e+04
2.310372427757890090e+00,1.597169376017603281e+04
2.310868748365360048e+00,1.597165809559956506e+04
2.311365068972820236e+00,1.597157216159320342e+04
2.311861389580290194e+00,1.597145234633886503e+04
2.312357710187760151e+00,1.597131226041202899e+04
2.312854030795219895e+00,1.597115898910116994e+04
2.313350351402690297e+00,1.597099814324787440e+04
2.313846672010150041e+00,1.597083840938032336e+04
2.314342992617619998e+00,1.597068861035446389e+04
2.314839313225089956e+00,1.597054348961736832e+04
2.315335633832549700e+00,1.597038857329026723e+04
2.315831954440020102e+00,1.597021240425991891e+04
2.316328275047490060e+00,1.597002074554548199e+04
2.316824595654949803e+00,1.596984352332476556e+04
2.317320916262419761e+00,1.596972566696199647e+04
2.317817236869890163e+00,1.596969843921670690e+04
2.318313557477349907e+00,1.596976145169119991e+04
2.318809878084819864e+00,1.596990339917012534e+04
2.319306198692280052e+00,1.597009361351327971e+04
2.319802519299750454e+00,1.597029600240530999e+04
2.320298839907219968e+00,1.597047739259014634e+04
2.320795160514680155e+00,1.597061327647826147e+04
