x(m),wallP(Pa)
2.250317634254459964e+00,1.598333603256617425e+04
2.250813954861920152e+00,1.598296833961179073e+04
2.251310275469390110e+00,1.598256458577901685e+04
2.251806596076860068e+00,1.598214647032317953e+04
2.252302916684319811e+00,1.598174634022367172e+04
2.252799237291790213e+00,1.598139495073136095e+04
2.253295557899260171e+00,1.598110660843886217e+04
2.253791878506719915e+00,1.598087642899787170e+04
2.254288199114189872e+00,1.598068503653461812e+04
2.254784519721650060e+00,1.598050773606893381e+04
2.255280840329120018e+00,1.598033328971809169e+04
2.255777160936589976e+00,1.598016656936298023e+04
2.256273481544050163e+00,1.598002759972381682e+04
2.256769802151519677e+00,1.597993872525632469e+04
2.257266122758990079e+00,1.597991692810632230e+04
2.257762443366450267e+00,1.597996474243143166e+04
2.258258763973919780e+00,1.598007989448171975e+04
2.258755084581389738e+00,1.598024630675684057e+04
2.259251405188850370e+00,1.598043948870686654e+04
2.259747725796320328e+00,1.598063331118552742e+04
2.260244046403780072e+00,1.598079907086340609e+04
2.260740367011250029e+00,1.598091351575237240e+04
2.261236687618720431e+00,1.598096093416069925e+04
2.261733008226180175e+00,1.598093533858638330e+04
2.262229328833650133e+00,1.598083093875457780e+04
2.262725649441120090e+00,1.598063923073543083e+04
2.263221970048579834e+00,1.598036146383299456e+04
2.263718290656050236e+00,1.598000712970749191e+04
2.264214611263520194e+00,1.597960372426924732e+04
2.264710931870979937e+00,1.597918874653010425e+04
2.265207252478449895e+00,1.597880469224819717e+04
2.265703573085910083e+00,1.597847933518359423e+04
2.266199893693380041e+00,1.597821613682160023e+04
2.266696214300849999e+00,1.597800479572737277e+04
2.267192534908309742e+00,1.597782922524625246e+04
2.267688855515779700e+00,1.597768019559355889e+04
2.268185176123250102e+00,1.597755940056180953e+04
2.268681496730710290e+00,1.597747436700389153e+04
2.269177817338179803e+00,1.597742897923543933e+04
2.269674137945649761e+00,1.597742373560663691e+04
2.270170458553110393e+00,1.597744352676636481e+04
2.270666779160579907e+00,1.597747409130723099e+04
2.271163099768049864e+00,1.597749511810053082e+04
2.271659420375510052e+00,1.597748852737713969e+04
2.272155740982980454e+00,1.597744853877714741e+04
2.272652061590440198e+00,1.597737077824666630e+04
2.273148382197910156e+00,1.597725789608511695e+04
2.273644702805380113e+00,1.597711407132721070e+04
2.274141023412839857e+00,1.597694255677499132e+04
2.274637344020310259e+00,1.597674360834436084e+04
2.275133664627780217e+00,1.597651810740005385e+04
2.275629985235239960e+00,1.597627054282188692e+04
2.276126305842709918e+00,1.597601367419266899e+04
2.276622626450180320e+00,1.597577294446460655e+04
2.277118947057640064e+00,1.597557973047038831e+04
2.277615267665110022e+00,1.597545028747764445e+04
2.278111588272569765e+00,1.597538195289283067e+04
2.278607908880040167e+00,1.597535956674625049e+04
2.279104229487510125e+00,1.597537191751940554e+04
2.279600550094969869e+00,1.597541004537792833e+04
2.280096870702439826e+00,1.597547685094855115e+04
2.280593191309909784e+00,1.597557722758959426e+04
2.281089511917369972e+00,1.597571497733657452e+04
2.281585832524839930e+00,1.597588806724354072e+04
2.282082153132309887e+00,1.597608635049737495e+04
2.282578473739770075e+00,1.597629360261099282e+04
2.283074794347240033e+00,1.597649068982162862e+04
2.283571114954709991e+00,1.597665985836871550e+04
2.284067435562170179e+00,1.597678888877328973e+04
2.284563756169640136e+00,1.597687064891446244e+04
2.285060076777100324e+00,1.597690208161157352e+04
2.285556397384570282e+00,1.597688415074739896e+04
2.286052717992040240e+00,1.597682303555059843e+04
2.286549038599499983e+00,1.597672338162110100e+04
2.287045359206969941e+00,1.597658476896816501e+04
2.287541679814440343e+00,1.597639762713063828e+04
2.288038000421900087e+00,1.597615404643148759e+04
2.288534321029370044e+00,1.597585026475823179e+04
2.289030641636840002e+00,1.597549812955423840e+04
2.289526962244300190e+00,1.597512429126327334e+04
2.290023282851770148e+00,1.597476427870334010e+04
2.290519603459229891e+00,1.597445182995756113e+04
2.291015924066699849e+00,1.597420147349261060e+04
2.291512244674169807e+00,1.597401992664408863e+04
2.292008565281629995e+00,1.597389649446841577e+04
2.292504885889099953e+00,1.597382629791985164e+04
2.293001206496569910e+00,1.597381503836027696e+04
2.293497527104029654e+00,1.597386052388480311e+04
2.293993847711500056e+00,1.597396466906014393e+04
2.294490168318970014e+00,1.597411680807371158e+04
2.294986488926430201e+00,1.597430052276414062e+04
2.295482809533899715e+00,1.597449478752790856e+04
2.295979130141370117e+00,1.597467765214188330e+04
2.296475450748830305e+00,1.597482363100069779e+04
2.296971771356300263e+00,1.597491393296156821e+04
2.297468091963760006e+00,1.597493408591703519e+04
2.297964412571229964e+00,1.597488500241615475e+04
2.298460733178700366e+00,1.597477160562692734e+04
2.298957053786160110e+00,1.597460964926137603e+04
2.299453374393630067e+00,1.597442142636245990e+04
2.299949695001100025e+00,1.597422464179912640e+04
2.300446015608560213e+00,1.597402755106757468e+04
2.300942336216030171e+00,1.597383085881827174e+04
2.301438656823489914e+00,1.597363866081392189e+04
2.301934977430959872e+00,1.597346519602670924e+04
2.302431298038430274e+00,1.597332659872905788e+04
2.302927618645890018e+00,1.597322624201618964e+04
2.303423939253359976e+00,1.597315256828131169e+04
2.303920259860829933e+00,1.597309451443161015e+04
2.304416580468289677e+00,1.597305241219209347e+04
2.304912901075760079e+00,1.597304789856549905e+04
2.305409221683230037e+00,1.597309755137120555e+04
2.305905542290689780e+00,1.597322316581782434e+04
2.306401862898159738e+00,1.597342524145174139e+04
2.306898183505630140e+00,1.597369121571587311e+04
2.307394504113090328e+00,1.597399891398086220e+04
2.307890824720559841e+00,1.597432155470101861e+04
2.308387145328020029e+00,1.597463109495275421e+04
2.308883465935490431e+00,1.597490105879252224e+04
2.309379786542960389e+00,1.597511211306996120e+04
2.309876107150420133e+00,1.597525372902570052e+04
2.310372427757890090e+00,1.597532541849210247e+04
2.310868748365360048e+00,1.597533344046612910e+04
2.311365068972820236e+00,1.597529465313828769e+04
2.311861389580290194e+00,1.597521745026293502e+04
2.312357710187760151e+00,1.597511203143895182e+04
2.312854030795219895e+00,1.597498321043526266e+04
2.313350351402690297e+00,1.597483480714696270e+04
2.313846672010150041e+00,1.597467569864797770e+04
2.314342992617619998e+00,1.597451485532056904e+04
2.314839313225089956e+00,1.597435184043702247e+04
2.315335633832549700e+00,1.597417561807043239e+04
2.315831954440020102e+00,1.597397672635681374e+04
2.316328275047490060e+00,1.597376044588056720e+04
2.316824595654949803e+00,1.597355301975635848e+04
2.317320916262419761e+00,1.597339759568054069e+04
2.317817236869890163e+00,1.597332707791972643e+04
2.318313557477349907e+00,1.597334862632830118e+04
2.318809878084819864e+00,1.597344735817749097e+04
2.319306198692280052e+00,1.597360359980485009e+04
2.319802519299750454e+00,1.597378312433347855e+04
2.320298839907219968e+00,1.597395609978092943e+04
2.320795160514680155e+00,1.597409831390090403e+04
2.321291481122150113e+00,1.597419637294907079e+04
2.321787801729619627e+00,1.597424708942768484e+04
2.322284122337080259e+00,1.597425407458854170e+04
2.322780442944550217e+00,1.597422987530392129e+04
2.323276763552020174e+00,1.597418018773406584e+04
2.323773084159479918e+00,1.597411642426754042e+04
2.324269404766950320e+00,1.597404405971230517e+04
2.324765725374420278e+00,1.597396112229725986e+04
2.325262045981880021e+00,1.597386043238526327e+04
2.325758366589349979e+00,1.597373628212086624e+04
2.326254687196810167e+00,1.597359307614998033e+04
2.326751007804280125e+00,1.597344648222859178e+04
2.327247328411750082e+00,1.597332448413298334e+04
2.327743649019209826e+00,1.597325131558523208e+04
2.328239969626679784e+00,1.597324351259407194e+04
2.328736290234150186e+00,1.597329122437945080e+04
2.329232610841609930e+00,1.597338394504846838e+04
2.329728931449079887e+00,1.597349601893785803e+04
2.330225252056549845e+00,1.597360789267435757e+04
2.330721572664010033e+00,1.597371238748562973e+04
2.331217893271479991e+00,1.597381577894867223e+04
2.331714213878949948e+00,1.597392893592852488e+04
2.332210534486410136e+00,1.597405957064544782e+04
2.332706855093880094e+00,1.597420719231167641e+04
2.333203175701340282e+00,1.597436340597217350e+04
2.333699496308810239e+00,1.597451489876558662e+04
2.334195816916279753e+00,1.597464627838642991e+04
2.334692137523739941e+00,1.597474570017587030e+04
2.335188458131210343e+00,1.597480764483824896e+04
2.335684778738680301e+00,1.597483260288152815e+04
2.336181099346140044e+00,1.597482159531372963e+04
2.336677419953610002e+00,1.597477680889275507e+04
2.337173740561070190e+00,1.597469384262330459e+04
2.337670061168540148e+00,1.597456843297708838e+04
2.338166381776010105e+00,1.597439458445028322e+04
2.338662702383469849e+00,1.597417696824404265e+04
2.339159022990939807e+00,1.597393399233349191e+04
2.339655343598410209e+00,1.597369634623503771e+04
2.340151664205869952e+00,1.597350102163022530e+04
2.340647984813339910e+00,1.597336366933561112e+04
2.341144305420809868e+00,1.597328143802273553e+04
2.341640626028270056e+00,1.597324000173899731e+04
2.342136946635740014e+00,1.597322514246754326e+04
2.342633267243209971e+00,1.597322228375469786e+04
2.343129587850669715e+00,1.597321826319913089e+04
2.343625908458140117e+00,1.597320697720362477e+04
2.344122229065600305e+00,1.597319581275033124e+04
2.344618549673070262e+00,1.597321311458183482e+04
2.345114870280539776e+00,1.597329584635058927e+04
2.345611190887999964e+00,1.597347094805468805e+04
2.346107511495470366e+00,1.597372768167785762e+04
2.346603832102939879e+00,1.597408412160311673e+04
2.347100152710400067e+00,1.597419319501029167e+04
2.347596473317870025e+00,1.597510325878440563e+04
2.348092793925340427e+00,1.598058769174516419e+04
2.348589114532800171e+00,1.623105934419243022e+04
2.349085435140270128e+00,1.895461711275804191e+04
2.349581755747729872e+00,2.611642477821386274e+04
2.350078076355200274e+00,3.167608929168981558e+04
2.350574396962670232e+00,3.574345062120097282e+04
2.351070717570129975e+00,3.847245794928252872e+04
2.351567038177599933e+00,4.075955956956126465e+04
2.352063358785069891e+00,4.235911541772472992e+04
2.352559679392530079e+00,4.411236013677161100e+04
2.353056000000000036e+00,4.592198924464866286e+04
2.353439480825959773e+00,4.835544156365906383e+04
2.353822961651920398e+00,5.441637458312501258e+04
2.354206442477880135e+00,6.209330966525869735e+04
2.354589923303830101e+00,7.080364241269827471e+04
2.354973404129790282e+00,7.933189307163756166e+04
2.355356884955750019e+00,8.768201263246740564e+04
2.355740365781709755e+00,9.543885040942316118e+04
2.356123846607670380e+00,1.026191739016056526e+05
2.356507327433630117e+00,1.091066357783997082e+05
2.356890808259589853e+00,1.149026954944500467e+05
2.357274289085550478e+00,1.200681724465780135e+05
2.357657769911500001e+00,1.247476502059909981e+05
2.358041250737459738e+00,1.288916959334404091e+05
2.358424731563420362e+00,1.325727852766888682e+05
2.358808212389380099e+00,1.359689468252552906e+05
2.359191693215339836e+00,1.391800719315508613e+05
2.359575174041300460e+00,1.422056241610341240e+05
2.359958654867260197e+00,1.450202482987431285e+05
2.360342135693219934e+00,1.475144975959517760e+05
2.360725616519170345e+00,1.495997426940988516e+05
2.361109097345130081e+00,1.513777239521130687e+05
2.361492578171089818e+00,1.531209248657194257e+05
2.361876058997050443e+00,1.550700231327072834e+05
2.362259539823010179e+00,1.572967076290670375e+05
2.362643020648969916e+00,1.596930567075380532e+05
2.363026501474929653e+00,1.620779814028297842e+05
2.363409982300880063e+00,1.643642651052368165e+05
2.363793463126839800e+00,1.665814604720863863e+05
2.364176943952799981e+00,1.687664336039181508e+05
2.364560424778760162e+00,1.709487470384624903e+05
2.364943905604719898e+00,1.731143033221199876e+05
2.365327386430679635e+00,1.752067507685191231e+05
2.365710867256640260e+00,1.771731697884274181e+05
2.366094348082599996e+00,1.789954033489425201e+05
2.366477828908549963e+00,1.806813036409846100e+05
2.366861309734510144e+00,1.822532622656597523e+05
2.367244790560469880e+00,1.837483210942227743e+05
2.367628271386429617e+00,1.852187534601179359e+05
2.368011752212390242e+00,1.867220238789389550e+05
2.368395233038349978e+00,1.883067167103108368e+05
2.368778713864309715e+00,1.900040124991536140e+05
2.369162194690270340e+00,1.918165936461857054e+05
2.369545675516219863e+00,1.937175598034858122e+05
2.369929156342180043e+00,1.956725346533691336e+05
