x(m),wallP(Pa)
2.250317634254459964e+00,1.598333525740668847e+04
2.250813954861920152e+00,1.598296756872337210e+04
2.251310275469390110e+00,1.598256381947622867e+04
2.251806596076860068e+00,1.598214570891907351e+04
2.252302916684319811e+00,1.598174558388027799e+04
2.252799237291790213e+00,1.598139419968776929e+04
2.253295557899260171e+00,1.598110586281666838e+04
2.253791878506719915e+00,1.598087568879299943e+04
2.254288199114189872e+00,1.598068430150882705e+04
2.254784519721650060e+00,1.598050700719398083e+04
2.255280840329120018e+00,1.598033256618810992e+04
2.255777160936589976e+00,1.598016585115531598e+04
2.256273481544050163e+00,1.598002688633402795e+04
2.256769802151519677e+00,1.597993801399497715e+04
2.257266122758990079e+00,1.597991619278141297e+04
2.257762443366450267e+00,1.597996404442919084e+04
2.258258763973919780e+00,1.598007920155213287e+04
2.258755084581389738e+00,1.598024561985210676e+04
2.259251405188850370e+00,1.598043880768606323e+04
2.259747725796320328e+00,1.598063263357930191e+04
2.260244046403780072e+00,1.598079839580940825e+04
2.260740367011250029e+00,1.598091283934577586e+04
2.261236687618720431e+00,1.598096023005291318e+04
2.261733008226180175e+00,1.598093466227601311e+04
2.262229328833650133e+00,1.598083026586901178e+04
2.262725649441120090e+00,1.598063855827408770e+04
2.263221970048579834e+00,1.598036079135398904e+04
2.263718290656050236e+00,1.598000645801038991e+04
2.264214611263520194e+00,1.597960305294086720e+04
2.264710931870979937e+00,1.597918807578896667e+04
2.265207252478449895e+00,1.597880402134703763e+04
2.265703573085910083e+00,1.597847866426081600e+04
2.266199893693380041e+00,1.597821546625659175e+04
2.266696214300849999e+00,1.597800412584828518e+04
2.267192534908309742e+00,1.597782855645907694e+04
2.267688855515779700e+00,1.597767952724755924e+04
2.268185176123250102e+00,1.597755873369652545e+04
2.268681496730710290e+00,1.597747369919699486e+04
2.269177817338179803e+00,1.597742830307861368e+04
2.269674137945649761e+00,1.597742304566590246e+04
2.270170458553110393e+00,1.597744286591889977e+04
2.270666779160579907e+00,1.597747343023561916e+04
2.271163099768049864e+00,1.597749442720456136e+04
2.271659420375510052e+00,1.597748785920494265e+04
2.272155740982980454e+00,1.597744787609815467e+04
2.272652061590440198e+00,1.597737011480769070e+04
2.273148382197910156e+00,1.597725723108786042e+04
2.273644702805380113e+00,1.597711340680307330e+04
2.274141023412839857e+00,1.597694189111582818e+04
2.274637344020310259e+00,1.597674294166348773e+04
2.275133664627780217e+00,1.597651743988224734e+04
2.275629985235239960e+00,1.597626987483593257e+04
2.276126305842709918e+00,1.597601300626312877e+04
2.276622626450180320e+00,1.597577227655188290e+04
2.277118947057640064e+00,1.597557906323927455e+04
2.277615267665110022e+00,1.597544962194925938e+04
2.278111588272569765e+00,1.597538128641686126e+04
2.278607908880040167e+00,1.597535887531979097e+04
2.279104229487510125e+00,1.597537125501287301e+04
2.279600550094969869e+00,1.597540938465232466e+04
2.280096870702439826e+00,1.597547619185259100e+04
2.280593191309909784e+00,1.597557657066352476e+04
2.281089511917369972e+00,1.597571432302109679e+04
2.281585832524839930e+00,1.597588741568815385e+04
2.282082153132309887e+00,1.597608570176325156e+04
2.282578473739770075e+00,1.597629295626050225e+04
2.283074794347240033e+00,1.597649004531222454e+04
2.283571114954709991e+00,1.597665921546390018e+04
2.284067435562170179e+00,1.597678824686258667e+04
2.284563756169640136e+00,1.597687000493671803e+04
2.285060076777100324e+00,1.597690140902468738e+04
2.285556397384570282e+00,1.597688350778921995e+04
2.286052717992040240e+00,1.597682239433372160e+04
2.286549038599499983e+00,1.597672274100488721e+04
2.287045359206969941e+00,1.597658412782598498e+04
2.287541679814440343e+00,1.597639698693530227e+04
2.288038000421900087e+00,1.597615340586242201e+04
2.288534321029370044e+00,1.597584962396918854e+04
2.289030641636840002e+00,1.597549748855667531e+04
2.289526962244300190e+00,1.597512364979461927e+04
2.290023282851770148e+00,1.597476363635896632e+04
2.290519603459229891e+00,1.597445118550699408e+04
2.291015924066699849e+00,1.597420082760525111e+04
2.291512244674169807e+00,1.597401928326425332e+04
2.292008565281629995e+00,1.597389584429987917e+04
2.292504885889099953e+00,1.597382563808247141e+04
2.293001206496569910e+00,1.597381435141041220e+04
2.293497527104029654e+00,1.597385987210597705e+04
2.293993847711500056e+00,1.597396401767043426e+04
2.294490168318970014e+00,1.597411615818582504e+04
2.294986488926430201e+00,1.597429987444657490e+04
2.295482809533899715e+00,1.597449414054173030e+04
2.295979130141370117e+00,1.597467700433977552e+04
2.296475450748830305e+00,1.597482297871686205e+04
2.296971771356300263e+00,1.597491327089101105e+04
2.297468091963760006e+00,1.597493339459924391e+04
2.297964412571229964e+00,1.597488434745360064e+04
