x(m),wallHeatFlux(W/m2)
2.250443934999999840e+00,4.102464971999999834e+05
2.251112460999999954e+00,4.102375204999999842e+05
2.251780987000000067e+00,4.102287838999999803e+05
2.252449512000000098e+00,4.102196122999999789e+05
2.253118038000000212e+00,4.102101950000000070e+05
2.253786563999999881e+00,4.102007410999999847e+05
2.254454851000000204e+00,4.101912049000000115e+05
2.255123376999999874e+00,4.101816157000000239e+05
2.255791902999999987e+00,4.101720908000000054e+05
2.256460428000000018e+00,4.101626134999999776e+05
2.257128954000000132e+00,4.101532462999999989e+05
2.257797241000000010e+00,4.101436796999999788e+05
2.258465767000000124e+00,4.101338845999999903e+05
2.259134292999999793e+00,4.101230256000000518e+05
2.259802817999999824e+00,4.101155530999999610e+05
2.260471343999999938e+00,4.101072955000000075e+05
2.261139630999999817e+00,4.100962074000000139e+05
2.261808156999999930e+00,4.100848919999999925e+05
2.262476683000000044e+00,4.100737127999999793e+05
2.263145208000000075e+00,4.100672006000000401e+05
2.263813734000000188e+00,4.100600790000000270e+05
2.264482259999999858e+00,4.100495173000000068e+05
2.265150547000000181e+00,4.100379113999999827e+05
2.265819072999999850e+00,4.100276085999999777e+05
2.266487597999999881e+00,4.100187572999999975e+05
2.267156123999999995e+00,4.100093572999999742e+05
2.267824650000000108e+00,4.099990593999999692e+05
2.268492936999999987e+00,4.099899164999999921e+05
2.269161463000000101e+00,4.099822518999999738e+05
2.269829988000000132e+00,4.099738056000000215e+05
2.270498513999999801e+00,4.099643162000000011e+05
2.271167039999999915e+00,4.099548614999999991e+05
2.271835566000000028e+00,4.099458614999999991e+05
2.272503852999999907e+00,4.099372613000000129e+05
2.273172379000000021e+00,4.099289568999999901e+05
2.273840904000000052e+00,4.099204249000000418e+05
2.274509430000000165e+00,4.099116781000000192e+05
2.275177955999999835e+00,4.099024588999999687e+05
2.275846243000000158e+00,4.098941454000000376e+05
2.276514768999999827e+00,4.098863303999999771e+05
2.277183293999999858e+00,4.098780265999999829e+05
2.277851819999999972e+00,4.098693631000000169e+05
2.278520346000000085e+00,4.098606630000000005e+05
2.279188871000000116e+00,4.098517069999999949e+05
2.279857159000000077e+00,4.098431910999999964e+05
2.280525684000000108e+00,4.098338814000000129e+05
2.281194210000000222e+00,4.098236082999999635e+05
2.281862735999999892e+00,4.098180046999999904e+05
2.282531260999999922e+00,4.098135339000000386e+05
2.283199548999999884e+00,4.098034205000000075e+05
2.283868073999999915e+00,4.097917628000000259e+05
2.284536600000000028e+00,4.097829925999999978e+05
2.285205126000000142e+00,4.097756448000000091e+05
2.285873651999999812e+00,4.097711350000000093e+05
2.286542176999999842e+00,4.097446296000000439e+05
2.287210464000000165e+00,4.095391537999999709e+05
2.287878989999999835e+00,4.075979740999999922e+05
2.288547515999999948e+00,3.938005385000000242e+05
2.289216042000000062e+00,3.104258238000000129e+05
2.289884567000000093e+00,2.834735628000000142e+05
2.290552855000000054e+00,3.175090356000000029e+05
2.291221380000000085e+00,3.632540782999999938e+05
2.291889906000000199e+00,3.965584600000000210e+05
2.292558431999999868e+00,4.185656120999999694e+05
2.293226956999999899e+00,4.328646456999999937e+05
2.293895244999999861e+00,4.436280993000000017e+05
2.294563769999999892e+00,4.533106719000000157e+05
2.295232296000000005e+00,4.629338396000000066e+05
2.295900822000000119e+00,4.722670578000000096e+05
2.296569347000000150e+00,4.811884211999999825e+05
2.297237872999999819e+00,4.897572221000000136e+05
2.297906160000000142e+00,4.978680598999999929e+05
2.298574685999999812e+00,5.056208867999999202e+05
2.299243211999999925e+00,5.130131412999999593e+05
2.299911736999999956e+00,5.200639876000000513e+05
2.300580263000000070e+00,5.267737826999999816e+05
2.301248549999999948e+00,5.331531637999999803e+05
2.301917076000000062e+00,5.392025895000000019e+05
2.302585602000000176e+00,5.449631117999999551e+05
2.303254127999999845e+00,5.504414094999999506e+05
2.303922652999999876e+00,5.556624581999999937e+05
2.304591178999999990e+00,5.606413956999999937e+05
2.305259465999999868e+00,5.653986134999999776e+05
2.305927991999999982e+00,5.699338543000000063e+05
2.306596518000000096e+00,5.742736131000000751e+05
2.307265043000000126e+00,5.784184034999998985e+05
2.307933568999999796e+00,5.823967478999999585e+05
2.308601856000000119e+00,5.862154834999999730e+05
2.309270381999999788e+00,5.898859250000000466e+05
2.309938907999999902e+00,5.934246193999999668e+05
2.310607432999999933e+00,5.968304795000000158e+05
2.311275959000000046e+00,6.001121916999999667e+05
2.311944485000000160e+00,6.032933231999999844e+05
2.312612772000000039e+00,6.063800698000000557e+05
2.313281298000000152e+00,6.093726846000000369e+05
2.313949823000000183e+00,6.122775906999999424e+05
2.314618348999999853e+00,6.150962247000000207e+05
2.315286874999999966e+00,6.178286240000000689e+05
2.315955161999999845e+00,6.204731409999999451e+05
2.316623687999999959e+00,6.230259144999999553e+05
2.317292212999999990e+00,6.254809660000000149e+05
2.317960739000000103e+00,6.278315008999999845e+05
2.318629265000000217e+00,6.300714415000000736e+05
2.319297552000000096e+00,6.321943855999999214e+05
2.319966078000000209e+00,6.341953059999999823e+05
2.320634603999999879e+00,6.360695679000000237e+05
2.321303128999999910e+00,6.378146851999999490e+05
2.321971655000000023e+00,6.394306436000000685e+05
2.322640181000000137e+00,6.409204004999999888e+05
2.323308468000000016e+00,6.422904943999999668e+05
2.323976994000000129e+00,6.435530177999999141e+05
2.324645519000000160e+00,6.447244102000000421e+05
2.325314044999999830e+00,6.458271361000000034e+05
2.325982570999999943e+00,6.468892172000000719e+05
2.326650857999999822e+00,6.479437428999999538e+05
2.327319383999999935e+00,6.490289168000000063e+05
2.327987908999999966e+00,6.501858684000000358e+05
2.328656435000000080e+00,6.514610860999999568e+05
2.329324961000000194e+00,6.529016293999999762e+05
2.329993485999999780e+00,6.545482486000000499e+05
2.330661774000000186e+00,6.564382861000000266e+05
2.331330299000000217e+00,6.586094532999999356e+05
2.331998824999999886e+00,6.611097493999999715e+05
2.332667351000000000e+00,6.639912971000000834e+05
2.333335876000000031e+00,6.672818993000000482e+05
2.334004163999999992e+00,6.709816428999999771e+05
2.334672689000000023e+00,6.751183745000000345e+05
2.335341215000000137e+00,6.797124932000000263e+05
2.336009740999999806e+00,6.847670411999999778e+05
2.336678266999999920e+00,6.902956310000000522e+05
2.337346791999999951e+00,6.962941628999999957e+05
