x(m),wallHeatFlux(W/m2)
2.250443934999999840e+00,4.278384025999999722e+05
2.251112460999999954e+00,4.278327173000000184e+05
2.251780987000000067e+00,4.278263015000000014e+05
2.252449512000000098e+00,4.278186864000000060e+05
2.253118038000000212e+00,4.278151350000000093e+05
2.253786563999999881e+00,4.278121026999999885e+05
2.254454851000000204e+00,4.278041175000000512e+05
2.255123376999999874e+00,4.277954921000000322e+05
2.255791902999999987e+00,4.277890987999999779e+05
2.256460428000000018e+00,4.277829249999999884e+05
2.257128954000000132e+00,4.277765099000000046e+05
2.257797241000000010e+00,4.277699229000000050e+05
2.258465767000000124e+00,4.277626667000000016e+05
2.259134292999999793e+00,4.277545479000000050e+05
2.259802817999999824e+00,4.277467448000000441e+05
2.260471343999999938e+00,4.277392094999999972e+05
2.261139630999999817e+00,4.277324385999999940e+05
2.261808156999999930e+00,4.277235093000000343e+05
2.262476683000000044e+00,4.277148588999999920e+05
2.263145208000000075e+00,4.277075170999999973e+05
2.263813734000000188e+00,4.276994206000000122e+05
2.264482259999999858e+00,4.276905114999999641e+05
2.265150547000000181e+00,4.276812866999999969e+05
2.265819072999999850e+00,4.276721072999999742e+05
2.266487597999999881e+00,4.276635932999999495e+05
2.267156123999999995e+00,4.276548511000000290e+05
2.267824650000000108e+00,4.276457060000000056e+05
2.268492936999999987e+00,4.276360816999999806e+05
2.269161463000000101e+00,4.276260737000000081e+05
2.269829988000000132e+00,4.276161296999999904e+05
2.270498513999999801e+00,4.276071524000000209e+05
2.271167039999999915e+00,4.275983257999999914e+05
2.271835566000000028e+00,4.275880021999999881e+05
2.272503852999999907e+00,4.275776158999999752e+05
2.273172379000000021e+00,4.275678461999999708e+05
2.273840904000000052e+00,4.275577915999999968e+05
2.274509430000000165e+00,4.275475501999999979e+05
2.275177955999999835e+00,4.275371298000000534e+05
2.275846243000000158e+00,4.275268316999999806e+05
2.276514768999999827e+00,4.275168009999999776e+05
2.277183293999999858e+00,4.275066891000000178e+05
2.277851819999999972e+00,4.274957812999999733e+05
2.278520346000000085e+00,4.274851882999999798e+05
2.279188871000000116e+00,4.274733835000000545e+05
2.279857159000000077e+00,4.274616436000000103e+05
2.280525684000000108e+00,4.274529935999999871e+05
2.281194210000000222e+00,4.274456128000000026e+05
