x(m),wallHeatFlux(W/m2)
1.191825139999999963e-03,2.814389917000000179e+07
1.192210590999999995e-03,2.776505314999999851e+07
1.192980329999999934e-03,2.741544418999999762e+07
1.194132840999999985e-03,2.702921928000000119e+07
1.195665216000000057e-03,2.657852816000000015e+07
1.197574077999999983e-03,2.604563010999999940e+07
1.199854653999999970e-03,2.542244330000000075e+07
1.202502055000000038e-03,2.471128966000000015e+07
1.205509761000000003e-03,2.391788585999999940e+07
1.208871020999999950e-03,2.304788767999999970e+07
1.212577801000000108e-03,2.211489401999999955e+07
1.216621603999999950e-03,2.112172476999999955e+07
1.220992882999999895e-03,2.008817071000000089e+07
1.225681510000000080e-03,1.901103767999999970e+07
1.230676541999999995e-03,1.792506391999999806e+07
1.235966337999999968e-03,1.679972200000000000e+07
1.241538674000000056e-03,1.571242845000000112e+07
1.247380393999999917e-03,1.458366858999999985e+07
1.253477995999999943e-03,1.351286532000000030e+07
1.259817042999999926e-03,1.246707596000000089e+07
1.266383100000000083e-03,1.143597859999999963e+07
1.273160568000000076e-03,1.044767906000000052e+07
1.280133845000000015e-03,9.510635899000000209e+06
1.287286518999999994e-03,8.624012618000000715e+06
1.294602057999999934e-03,7.795077821999999695e+06
1.302063231999999945e-03,7.015826385000000708e+06
1.309652812999999912e-03,6.304994920999999158e+06
1.317353104000000075e-03,5.647829598999999464e+06
1.325146062000000105e-03,5.054183921000000089e+06
1.333013525999999930e-03,4.513378130000000820e+06
1.340926624999999985e-03,4.026334956000000238e+06
1.349445199999999966e-03,3.741631808999999892e+06
1.359237473999999959e-03,3.532999743999999948e+06
1.370493206000000016e-03,3.352786728999999817e+06
1.383430092000000012e-03,3.192768912000000011e+06
1.398298190999999963e-03,3.046313091000000015e+06
1.415384350999999898e-03,2.908893537000000011e+06
1.435017445999999973e-03,2.776543046000000089e+06
1.457574544000000104e-03,2.647436995000000112e+06
1.483487664000000079e-03,2.521353865000000224e+06
1.513251686000000040e-03,2.397470418000000063e+06
1.547432620999999965e-03,2.275106270000000019e+06
1.586678321000000022e-03,2.154837478999999817e+06
1.631728838999999941e-03,2.037951553000000073e+06
1.683428883999999988e-03,1.925675111999999965e+06
1.742742023999999936e-03,1.818752573999999790e+06
1.810765592000000007e-03,1.718115285000000149e+06
1.888747560000000013e-03,1.623969858999999939e+06
1.978104933999999798e-03,1.537934692999999970e+06
2.080443082000000068e-03,1.458027882999999914e+06
2.197577618000000170e-03,1.388772735000000102e+06
2.331555122999999854e-03,1.321799332999999868e+06
2.484677127000000166e-03,1.269830508000000147e+06
2.659521764000000177e-03,1.213159898000000045e+06
2.858966123000000054e-03,1.173076642999999924e+06
3.086204640999999985e-03,1.123859976000000024e+06
3.344765631000000058e-03,1.090039133000000147e+06
