x(m),wallP(Pa)
6.689037197774659882e-01,1.724480900639394632e-01
8.972176633408814883e-01,7.477778372690172537e-01
1.884334012241979384e-01,6.599341023649840654e-02
1.052747922246491941e-01,5.282615614044090524e-01
4.156159301673091333e-01,2.231316154245188699e-02
8.186279854753922836e-01,9.153175136001752143e-01
5.883107491537693523e-01,7.974516909947265697e-01
1.858582132868106251e-01,4.182976131809734710e-02
1.896402297507343571e-01,1.544231363138949265e-01
9.258392747882220331e-01,1.534626584648766112e-01
7.049809471199272037e-01,9.938329434476069757e-01
2.036843691579909299e-01,8.435052200324123506e-01
5.043679082629581867e-01,5.479083132231179487e-01
9.195986618626569298e-01,6.277409171665472298e-01
3.382310185259185253e-02,6.368382831839883851e-01
8.972290853350988193e-01,8.690196996038168642e-01
9.406827920860860726e-02,3.932773837204208700e-01
4.384033610713117257e-01,7.599890726484148651e-02
7.467003510763250418e-01,3.646681520263264087e-01
9.583219059181560251e-01,5.012008056303159931e-01
2.719472672504295030e-01,8.036499162868990798e-01
7.632643216727738045e-01,4.301642798503257925e-02
9.700162313609194120e-01,1.671674818647772565e-02
4.322407339780313107e-01,8.731248075412340048e-01
7.631578576695826621e-01,4.503147253310852971e-01
2.370034596444772212e-01,2.712057551667915734e-01
9.064892806753754861e-01,2.869429526239991590e-01
9.942937740377559841e-01,3.559908913724959545e-01
3.946030077896182098e-01,3.308301924878057632e-01
9.634658114967125098e-01,7.201841461440515735e-01
8.821301612304909279e-01,2.406575440023355217e-01
7.612097794284675700e-01,1.858082133846936657e-01
7.646391821162596969e-01,1.133087256480538318e-01
4.894709365903111564e-01,6.237967210992587663e-01
4.650390555286033623e-01,7.889387308384038233e-01
9.637020708198271723e-01,3.846400358485874138e-01
4.294851859045142328e-01,6.867967691513943151e-01
4.887156484058684525e-01,4.825029913443993346e-01
5.431715297919736951e-01,3.365994999544771327e-01
3.542395413726318054e-01,2.018741587957011419e-01
4.590237357947266617e-01,4.756378520152760858e-01
3.927689341325822925e-01,8.982754312156977505e-01
1.363726042123325488e-02,9.265887695481720421e-01
3.838801563852051180e-01,6.100893510190068536e-01
9.764762046288366637e-01,8.938598769704106939e-01
9.510675696555905834e-01,1.408524500619521280e-01
4.474858168673067071e-01,5.034888086077494718e-01
5.882852798237375724e-01,9.242865199000072085e-02
5.181817412276771284e-01,9.232278997853380353e-01
1.860103455340711420e-01,4.875998638938390251e-01
3.980195979867342526e-01,7.192871500238013915e-01
7.198142266050947535e-01,8.203695615148931530e-01
2.665549261047728269e-02,1.508050683047102991e-01
2.109967511285425479e-01,8.078147166493631071e-01
7.938205568261813561e-01,4.980311944490778409e-01
4.520148898851241714e-01,8.241475399231730226e-01
9.106208455720828931e-01,6.332338319236738844e-01
9.292136289248126291e-01,4.374957460942549003e-01
1.646330664187953818e-01,3.107744281485227411e-01
6.031288020767577862e-03,7.394672899038494673e-01
3.972598058801057874e-02,2.452774451443192616e-01
1.278813150044223468e-01,5.000478659077407517e-01
7.023612572855647551e-01,6.942976339274321562e-01
8.657606512110354036e-01,7.481950944192784503e-01
7.522165794135221573e-01,5.847446736035188941e-02
3.572649214992266176e-01,5.971892161455222281e-01
5.054126793019405595e-01,2.280887270114909660e-01
2.500827283673996426e-01,1.090868958224247010e-01
6.880852549496441206e-02,8.415533057757069724e-01
4.477472009484622095e-01,4.871571044569685816e-01
7.369833736054536288e-01,3.400702877213698239e-01
7.725659334798973266e-02,5.008191793055449814e-02
3.521274432263979959e-01,8.919254070297508719e-01
2.949375468820079060e-01,5.410126547519391593e-01
5.629941366481983067e-01,8.151966598519548857e-01
2.727834435824535442e-01,5.821427240374809076e-01
1.927463433223693956e-01,5.971698903124927904e-01
3.335316774287460095e-01,9.168744976555911474e-01
5.741620810897268834e-01,4.384289142524211425e-02
4.348453464639866484e-01,9.354212366137839574e-01
1.235376347159711230e-02,9.570073384611981204e-01
1.850485232279307501e-01,5.875934089416269268e-01
7.753436246558220724e-01,6.823486075394407102e-01
9.628638125550722515e-01,1.207709473285032420e-01
9.867526935788628606e-03,4.531248548000516019e-01
9.322235643899391411e-01,5.463179024591602317e-01
9.944730455852197615e-01,3.102206396215129169e-01
6.266379924452281092e-02,8.238107108382904942e-01
4.407134203939266914e-02,2.440845426126619921e-01
1.305795545957050274e-01,7.705508333859716341e-01
6.814551713149445966e-01,5.373986009922139262e-01
1.068957324869462822e-01,8.500891077455047240e-01
3.421887537729811912e-01,6.268632833714918862e-01
4.667967646924431335e-02,1.270062251535564180e-01
1.944334475360410819e-01,8.157966426506314539e-01
3.197820923880698718e-01,4.614779522888474705e-01
4.512573360916801724e-01,4.970507629808851302e-01
8.251040304820038696e-01,2.729141250710687139e-01
8.341169423637562197e-01,9.852851267831463922e-01
4.417699541854058776e-02,4.623887819921771447e-01
