x(m),wallP(Pa)
3.092165615198710915e-01,7.225078289143069821e-01
6.385245991023924539e-01,9.980087062374398688e-01
8.687062618576310014e-01,9.471588432880030384e-01
9.709330384720954443e-01,3.713519965241163234e-03
8.644192547362588019e-01,8.711477649850488669e-01
1.065086394508291123e-01,9.235102865292368346e-01
2.871474854976743263e-01,9.766453668042296421e-02
3.156343477982160861e-01,9.477865663203914881e-01
5.293010035418266312e-03,6.418937885283488853e-01
3.468189953105068613e-01,2.489781209150093710e-01
4.113955723355777749e-01,7.529685996823106686e-01
1.745045507394012985e-01,5.655831355778421221e-01
7.181261629937294444e-01,3.679046108548180705e-01
5.282579007827920003e-01,6.695533812503313698e-01
2.283994332053299603e-01,6.227326043350018825e-01
4.803640230777629361e-01,6.733721023011831619e-01
8.688084256974476505e-01,4.983092090935914431e-02
9.698039699386161727e-01,5.154746060445044575e-01
5.799274056093658425e-01,8.050560256975354267e-01
4.238358036302630749e-01,4.214274226825595049e-01
3.266919675269517320e-01,1.254320039659408970e-01
5.523156377628060110e-01,8.039843128719605936e-01
9.550811202672973010e-01,6.459485568589113935e-01
6.977806901818850438e-02,6.096542608893669168e-01
1.368468281210325488e-01,5.766506396063135753e-01
9.288379877815267083e-01,3.152107166687261319e-01
8.244669423807204911e-01,1.958733277701474318e-01
1.648076998873544419e-01,8.242992576638644708e-01
6.381729069799604304e-01,4.975033280624396870e-01
9.849447506415001108e-01,7.515908254779335440e-01
5.787956381225238811e-01,3.031681423967335087e-01
5.030172419391172323e-01,2.057839981931405271e-01
9.606465077684351872e-01,7.801458508971089723e-01
6.001317440958159333e-01,1.971119601082486072e-01
6.661444924227114539e-01,6.134725096548486745e-01
2.328790785871360791e-01,7.218848171629743682e-02
2.135096741527605646e-01,5.024923463322931161e-01
2.947731055834922342e-01,3.752718358649296260e-01
9.545322908922330152e-01,7.987773563901572338e-01
8.087982608289329134e-01,6.360251027758888620e-01
3.789367553041816938e-01,1.395297588663746424e-03
5.094910245503107005e-01,1.256851655372961396e-01
3.535348107367056736e-01,5.432441645332073410e-01
4.976381189550342921e-01,8.309035929847227164e-01
1.157853677573833506e-01,3.911763469574103258e-01
9.774157906498821546e-01,7.420868472737377486e-01
7.570297346226995128e-01,1.627663470667026768e-01
8.893181202971757182e-01,8.433591833407828586e-01
5.219093757344450690e-02,3.210396083254102306e-01
5.837399961487230726e-01,2.570723289548966228e-01
9.123111825407927977e-01,4.437050846577262897e-01
2.156069013918262556e-01,9.616540111524335410e-01
3.085445423305805956e-01,4.109408001234629015e-01
4.568606740850468251e-01,6.544846707879812264e-01
8.013591232022642119e-01,2.010131957179862594e-01
2.186105756466338867e-02,3.129202523665367552e-01
3.159021732376997571e-01,3.601565755009582537e-01
4.571544307639440197e-01,8.365478173927030081e-01
7.752702513492510938e-01,9.673056343221152487e-01
1.103485397305805638e-01,9.781713573872644618e-01
7.739410591641686654e-01,5.743592058654195531e-01
5.138695219997717611e-01,5.632637355226405296e-01
3.609502215680474579e-01,4.106753275437380335e-01
9.027239910881942331e-01,2.667751685438044529e-01
6.636045868983175833e-01,5.467030295942224560e-01
5.676010413197314364e-01,1.841020154269770170e-01
7.424504407013947649e-01,7.758944446534639106e-01
4.146290412707568374e-01,6.066728499820859266e-01
1.316765226626772645e-01,6.538691555046053372e-01
9.355887503606246103e-01,7.426351415767673547e-01
7.823483618306706910e-01,3.989051503335171445e-01
9.962057355011555426e-01,8.554298933811989025e-01
4.565218035697444776e-01,5.347720526289730936e-01
3.246255503868977765e-01,5.142145723070074004e-01
8.336579743320591263e-01,4.432035258360502716e-01
6.036886877656088002e-01,8.562199108472596798e-01
9.538276410309992626e-01,2.646863338519607201e-01
8.759644990168514722e-01,8.103952849606256281e-01
5.530383294916840775e-03,1.230482547456246412e-02
7.049252108808460315e-01,4.398442034282026292e-01
8.058798682975343297e-01,2.072803849524454955e-01
2.509091599342634371e-01,5.852277419372177159e-01
5.234049170304716503e-01,7.783887394113939706e-01
7.473837623137646879e-01,9.631890330983905457e-01
4.183992597661143620e-01,8.689239395048709014e-01
3.538323123824310690e-01,7.135096324222052200e-01
8.932649099195342224e-01,3.304626742283562901e-01
7.449037534635347679e-01,9.637828179498681980e-01
6.746887740935875177e-01,1.950960227326391516e-01
9.416137720504541564e-01,3.614670019713620563e-01
5.942677412392889380e-01,7.168778614246630321e-01
5.118916213041015961e-01,7.975205013102834029e-01
4.346120955228740534e-01,9.632643555752862241e-01
7.321461524409743626e-01,1.078522584242480598e-01
1.199097219750362431e-01,7.573968289761092709e-01
6.489617553632686109e-01,2.037343688051611590e-01
3.589441470121708111e-01,9.954926552791958372e-01
6.822020478739372340e-01,3.184490355518891924e-01
1.468099164504178544e-01,3.028426634685910113e-02
3.102968573759318227e-01,8.547029748307297670e-01
