x(m),wallP(Pa)
1.495963051920140563e-01,8.575831219353935442e-02
7.012636407730465926e-01,4.541011141849976562e-01
8.727357267053256207e-01,4.612487144624136670e-01
4.680147750623273595e-01,8.438149879997842717e-01
6.045950157003215919e-01,1.459908775206586462e-01
8.354555074391428748e-01,9.998475268419800832e-01
4.905189902291388071e-01,7.104567083598757327e-01
2.932343465785079983e-01,8.142172882517717536e-02
4.821504800433842330e-01,6.799627901913285477e-01
6.048227330510365096e-01,4.085112513618135432e-01
6.452254652847089211e-02,7.483405210752321901e-01
4.780842788679697808e-01,9.825392994285950810e-01
2.299484048706617045e-01,8.054639606977591626e-01
5.877269682335084511e-01,4.739867948185139124e-01
9.526127867610513222e-01,9.494365275136515958e-01
9.366380509892813233e-02,5.127045808977948038e-01
5.411847099549719209e-01,5.707479772185412026e-01
7.677478536682523780e-01,7.541181397848808476e-01
7.202036675792242715e-01,7.071539236446758858e-01
2.140801181414904164e-01,1.240186139855107283e-01
8.600347003020080150e-01,6.226450624272280576e-01
1.722291882994850809e-01,3.885465477349447916e-01
2.024260837017000103e-01,6.525296517073031488e-01
9.162009486124872426e-01,2.996375145724414768e-01
3.307980159046054469e-01,4.590622043454820611e-01
8.220133992960992897e-01,9.164342990743710171e-01
3.980762586929414981e-01,8.763721865641520559e-01
8.458856060478322503e-01,6.840871708486979674e-01
7.464717676568894955e-01,9.706455638072128966e-01
7.019261060078283432e-01,2.642405627684250025e-01
2.578882364765622270e-01,2.851725233985590302e-01
8.535830195585464297e-01,5.808422781984523553e-02
7.944185839279999106e-01,6.636878004754390714e-01
7.994702744356513291e-01,3.850152487442637383e-02
5.237930782677657771e-01,3.676113467883046493e-02
3.903549511083650447e-01,4.913334789569631100e-01
2.574174510532738491e-01,1.742275609357032407e-01
4.403934625456406016e-01,5.080960958119672410e-01
1.262236504508840174e-01,6.739404149623096085e-02
4.577189910105989856e-01,7.039239175688237760e-01
6.179647340786325049e-01,7.466646162314124480e-01
3.875634616417400480e-02,8.327708526604435946e-01
2.589938463169512151e-01,3.486459589110952884e-01
2.056688961574570929e-02,9.474526397398346234e-01
7.556911441028364429e-01,5.340192377795097700e-01
6.292122257158924148e-01,4.216880323339048386e-01
4.372420332836186585e-01,5.028187061790164725e-01
8.383675506966465907e-01,3.155169258954825251e-01
9.830709760408961051e-01,5.672704183725313376e-01
1.852184776821587109e-01,4.894149017380506894e-01
7.385568648100675482e-01,2.047932709602579004e-01
9.380282208565083879e-01,7.924077672917984039e-01
8.257030508929131818e-01,2.809920277552481194e-01
4.341441317840960545e-01,3.527317136430577760e-01
2.844263007501439677e-01,8.256810553279092524e-03
5.526392391062472376e-01,9.751375726812958611e-01
5.319960601071596074e-01,9.887984043581676818e-02
1.758141820979599590e-01,2.216422940195286184e-01
6.760909500970212482e-01,3.607409873797103872e-01
3.302511582008705870e-01,4.632998586898412485e-01
1.571299722809538224e-01,2.771366973533562206e-02
4.987890132625694140e-01,3.333788990038599742e-01
8.247517517425223543e-01,7.571365658586189928e-01
7.825672121059688013e-01,9.867571127626793004e-01
1.022978270935366307e-01,3.465147059423928644e-01
7.038473188912816036e-01,5.179929507829400537e-01
6.534704963397330868e-01,9.545267576555448441e-01
6.584536029700458482e-01,6.146144009998155688e-01
4.192600112439525128e-01,3.602365419527362445e-01
1.180618292224668853e-01,4.754133219011559275e-01
3.944174380108469435e-01,3.003587996643204416e-01
1.165213721383826506e-01,8.670905248115228225e-01
2.610192065455242405e-01,1.773411476487563032e-02
5.844205924305043709e-01,7.892737961702549487e-01
8.108163602931290903e-01,7.306567796677770898e-01
3.906999019959713770e-01,4.259058169135945260e-01
2.402080663429841945e-01,5.559408725053172073e-01
1.844093839726458350e-01,2.769967696730504247e-01
7.746747526194083244e-01,6.963674287810263097e-01
5.471557734524290506e-02,8.836938492045720572e-01
6.387891570938915020e-01,5.974287957328677789e-01
6.282141234663626284e-01,7.446239874332437614e-01
4.341737273696953947e-01,8.932438485376034132e-01
9.516807143139005554e-01,2.149158617167367114e-01
1.729111982881003096e-01,2.841836125600594176e-01
2.671667948226141842e-01,9.755400569306589276e-01
4.314338292677264430e-01,4.866831969960297988e-01
7.437854155702031678e-01,5.131914572684975751e-01
7.927756651147702671e-01,4.823568652265524115e-01
1.368457701913770030e-01,1.348264390060364137e-01
1.263608085307966755e-01,4.275534229799965447e-01
3.721674707339208688e-01,4.483938284017554565e-01
9.893977960504294344e-01,6.296858232261837163e-02
3.547634058688172720e-01,6.264172408535972902e-01
3.957695343194483906e-01,4.759109783253956394e-02
6.172739701401990242e-01,5.073376321579272652e-01
6.892723904560319470e-01,7.064359854486101931e-01
4.913335929783424483e-02,5.739632337453494104e-01
8.246537491161946010e-01,2.436299424825001392e-01
4.464393011933072142e-01,6.280440831367612997e-01
