x(m),wallHeatFlux(W/m2)
6.135212820045987669e-02,5.767280963507763758e-01
6.830077795919790029e-01,2.089248798119366368e-01
3.009542986504626372e-01,4.990307399748201700e-01
5.354365589011753634e-01,5.635358850826270860e-01
7.323643999361116874e-01,3.449376107287417392e-01
1.139619982483164318e-02,9.389940437227590753e-01
4.370070528973002411e-02,9.323025148424857189e-02
7.010832885721078878e-01,5.216117545386904641e-01
7.556461539188685794e-02,6.681451103413198478e-01
3.850481583940479346e-02,4.372943636487398589e-01
3.917774261674107361e-01,4.844607000135585650e-01
1.608443956962891663e-01,1.755889281149607406e-01
2.696461144757785755e-01,1.894483168160639996e-01
3.775698637274184088e-01,3.618500190979631048e-01
8.307230813998150998e-01,3.704950241216359297e-01
2.885176338043871080e-02,6.980180547800435287e-01
4.788745842613835180e-01,4.068444784196033615e-01
2.266259977329615483e-01,8.312650658764766387e-01
9.455915273152470935e-01,2.684991899689938011e-01
1.032512164715899683e-01,2.560033664977969803e-01
5.724415523913235493e-01,2.281100914262286228e-01
4.576435225680441921e-01,7.533724477664490715e-01
2.595333036433492557e-01,9.870971700407182858e-01
5.620709675254095261e-01,5.975869047200188522e-01
4.309174064314372776e-01,3.770786880963891141e-01
3.029596475254593413e-01,3.520443867276146221e-01
3.061352721489405404e-01,9.421841929066242516e-01
1.917486175036298146e-01,7.052822233710759336e-01
9.150056806192260472e-01,1.202032879928923714e-01
3.954094738739893922e-01,4.570580986203697238e-01
4.647081831964667842e-01,1.868517570419507834e-01
6.859983799749824751e-02,1.950237913386199118e-01
1.797220726821104897e-01,1.401193652354182362e-01
4.049798988456622117e-01,9.176324272348678202e-01
4.888348878867676550e-02,3.024178989641035376e-02
8.630946574761636514e-01,8.700064875179737145e-01
1.059259885331159667e-01,7.211884006775804989e-01
4.830106896547988748e-01,4.499903359197444663e-01
1.795317840371889462e-01,8.239765539019962004e-01
5.036293137256635521e-01,6.060780813900246144e-02
6.220781313138916691e-01,9.220838057111981900e-01
6.192792294815571141e-01,9.178163594505550638e-01
5.906747193745863767e-01,5.076882741624008100e-01
1.718290634672114958e-02,4.416410871640517044e-01
9.899874011107523408e-01,7.293699343941059121e-01
8.717216240222123158e-01,7.384789099098598708e-02
5.625623249795027592e-01,1.865521227257433967e-01
1.346823233782417084e-01,7.805310200451361924e-01
3.581938168379326104e-01,7.342159310315865550e-02
7.897103836703824875e-01,8.677932529337539780e-01
2.810953931585724597e-02,5.326422726319801626e-02
3.771674195347189951e-01,7.667108047060863241e-01
3.713723825005895707e-01,4.626702763450145639e-01
1.979136875182226918e-01,7.644336313980981679e-02
3.476515564104749600e-01,3.603711140779908284e-01
9.616886356088756305e-01,6.084101033894896426e-01
7.107214904007912448e-01,9.686589092845020454e-01
1.190020374846308959e-01,5.211487499703791881e-01
8.601497692233416315e-01,8.904032926459921615e-01
5.830606975369351241e-01,5.905264233585032496e-01
8.577329974420274672e-01,2.526345087675423429e-01
5.692400326161508595e-01,2.223830345204931280e-01
4.097707007783621957e-01,6.620852682802753630e-01
5.163106921414757355e-01,1.366104880672738275e-01
6.571392669833248101e-01,5.658683374092364771e-01
5.355804176982459364e-02,6.316910546626343104e-01
9.181510581946372707e-01,7.818739188847202426e-01
6.933287707376493136e-01,9.342800082422771935e-01
5.443906625016461387e-01,1.273759885525570512e-01
2.893139969870980321e-01,5.726909371459532050e-01
5.172010885985144357e-01,3.914880654420319628e-01
6.187904204667311614e-01,4.995565393273205812e-01
7.832239333785364632e-01,7.669087810179714415e-01
3.095383514531949709e-01,9.593188251278165213e-01
2.995359218608545371e-01,5.955110927513994623e-01
3.557250506217657371e-02,1.969500549859423133e-01
2.675169323764426954e-01,9.917715193662803852e-01
5.675015836093877386e-01,5.987049487208654375e-01
6.798805310310501726e-01,6.238146624869063128e-01
9.855364236829879943e-01,6.531202377434394135e-01
5.996786037020971349e-01,4.805145906636953956e-01
9.689208931176140904e-01,4.684615219743206715e-01
4.004906896339162081e-01,9.233956750966170191e-01
1.153139717488009808e-01,8.541577721623995201e-01
1.072440057471805153e-01,2.806413671186878123e-01
1.955161039829655945e-01,9.609416715192778957e-01
1.325881870802665397e-01,1.269376699436625122e-01
3.796809026687675281e-01,4.890606955279408474e-01
5.384431430859177858e-01,8.076263169884356774e-02
2.070206231718300094e-01,9.544895373778904402e-01
6.910914529429543762e-01,5.665503207236073369e-01
2.868249931965016764e-02,3.571263466144811716e-01
6.380050098316936147e-01,4.130860496709382046e-01
2.543995087660255727e-01,5.827711359453285889e-01
5.894011066754686334e-01,8.535714706282905295e-01
8.855421191238004308e-01,1.556404515980749359e-01
1.007309398030231673e-02,7.027941012152455480e-01
8.581255034371984003e-01,7.646217276310229849e-01
2.330062593093948919e-01,2.594924785701867576e-01
8.852087653701102843e-01,9.761524725492227716e-01
