x(m),wallP(Pa)
7.317059445107273463e-01,3.080779283705310512e-01
8.649254231904571766e-01,1.609558129055436160e-01
3.204738248373094622e-01,7.482231871202021933e-01
2.917169137258018852e-01,1.385992288833800545e-01
4.529659295270915820e-01,2.885473264523654713e-01
1.879868922548200150e-01,2.737092678409747126e-02
6.096491943728119534e-01,1.240528285091960781e-01
1.421596046028132942e-01,8.697160515578280515e-01
4.055384700499065076e-02,4.897883564519903699e-01
3.263862726817958748e-01,3.872625451689121201e-01
5.075532437544605369e-02,7.236229941441360003e-01
6.930176876875537850e-01,4.430816718974034396e-01
4.458743228184186558e-01,9.418439223943834149e-01
3.110267602046047353e-01,9.997250580969798683e-01
8.697154337470603958e-01,7.034038269148051858e-01
4.659594351182657634e-01,4.935586629317959551e-01
5.273417615734175001e-01,2.822075062654204602e-01
6.853833147144087201e-01,6.873400390600559184e-01
1.863274569084552024e-01,4.851441166570872321e-01
5.137491397509102997e-01,3.987480363936275474e-01
4.464823949253432511e-01,3.986500559083866468e-01
4.751636015120231926e-01,1.644989792729506517e-01
9.792599155602517147e-01,1.204366455488843357e-01
7.526380706924068464e-01,4.789918136035585805e-01
6.884930726721255612e-01,2.434476423276024093e-01
6.850360739681478073e-01,5.076426464528087656e-01
6.532514968177194348e-04,6.814951228469579014e-02
6.157650681201469745e-01,2.980633869617475007e-01
9.927427455911667087e-01,8.685592051435073735e-01
6.069329527945379610e-01,8.962330230269990317e-01
7.462673978534429819e-01,6.632580075108938100e-01
7.253941445804111821e-01,4.540766245987163385e-01
3.144735555360446133e-01,9.600724064567967009e-02
8.445450652946179249e-01,3.536743434742218861e-01
3.383863867363574585e-01,6.114424722908917698e-02
7.265294920607242579e-01,7.975080850401179422e-01
3.845420726202550821e-01,7.894268689117157622e-01
9.821163686109446456e-02,3.694246636917457582e-01
5.321946870943194963e-01,2.763352986601058658e-01
7.721237441482287078e-01,7.422578967490911506e-01
2.939267875019280218e-01,8.827369460606924179e-01
5.469840761516421290e-01,6.613705834816345774e-01
5.751942873863435945e-02,9.182967521649276765e-01
8.623607742118752917e-01,2.966614950116802651e-01
2.536956493877597918e-01,6.674440174180383822e-01
9.769235952931658584e-01,2.422736371355552754e-01
2.883339320996667343e-01,1.697844567669321014e-01
4.961097486539609580e-01,6.721315153266840259e-01
1.333952732937094821e-01,5.773328180632532058e-01
2.056270784550402464e-01,6.815024725552171203e-01
5.617404014057703066e-01,5.013812873383636237e-01
3.123178586185774153e-01,2.853557739850868247e-01
8.327218014911420552e-01,1.961880818479684319e-01
1.883390973784754285e-01,4.379469964647353386e-02
2.554061433886795074e-01,3.330581792803063435e-01
2.844120166222663393e-02,4.600400589902832182e-01
8.828444655976230848e-01,3.524407462577239247e-02
9.960127605933826178e-01,4.735717254124127695e-02
6.164659755755752535e-02,4.193822867168603974e-01
8.648980194238212738e-01,9.328163261908517523e-02
9.381023474822574038e-01,6.233940927555023936e-01
2.574387456165911914e-01,1.301848707718235021e-01
4.088642724095907788e-01,6.530915270588937283e-01
2.950903095443713209e-01,2.838353717900390372e-01
1.874234657803107718e-01,9.119290479868206178e-01
4.244013608997031506e-01,3.320852147888706529e-01
9.285266171354309428e-01,6.910713566569582911e-01
3.289841925390546429e-02,5.971109665409002343e-02
8.043836539636000094e-01,3.215858627502363731e-01
8.484587597227917222e-01,3.370165750836783269e-01
7.792649926576882269e-01,2.764992753047001983e-01
5.147558005657625335e-01,9.525717416161585405e-01
1.497690448262185559e-01,1.166679711779350370e-01
6.303234616759533226e-01,7.039779479684634689e-01
3.085180405754004429e-01,8.733034331366926750e-01
6.776046877600906404e-01,8.091512194241099465e-01
3.326660727012238361e-01,2.209635727289405160e-02
8.732258087795703450e-01,3.542493682165883673e-01
8.358370096132021754e-01,5.594511485641843196e-01
5.525808740190817359e-01,4.943779847013487494e-01
9.103925549343581114e-01,2.816960311544649542e-01
3.560782771548365311e-02,4.561734041330965939e-01
5.822528968364755197e-01,8.269857770618199710e-01
8.809304306530155726e-01,1.135174576837871818e-01
6.119779947088737071e-01,3.352175522791415174e-01
4.487811228425918619e-01,8.014160244536541189e-01
4.443544801411069001e-01,3.006874584026895114e-01
5.531199712772040256e-01,9.522115962817810919e-01
7.187631986654935412e-01,1.914175377706485159e-01
4.476557721602563156e-01,3.607535306387461560e-01
3.660962664136376832e-01,4.309252121066146080e-01
6.218878059613471843e-01,8.868280670441480718e-01
4.806052723419531603e-01,9.794687079850709077e-01
1.045547735816141355e-01,9.337349195035349325e-02
6.848732815563707277e-02,4.697269347286858743e-01
1.811686732616019091e-01,9.543737957232614200e-01
8.665110784006335720e-03,4.820793225927971770e-01
9.244698695649294917e-01,8.092258318943350570e-01
7.758387781935089933e-01,7.990671467071834844e-01
4.230912889370911367e-01,8.706439032256845234e-01
