x(m),wallHeatFlux(W/m2)
6.213031705583211828e-01,1.980476039975833658e-01
8.555384087673570948e-01,3.642855352155570658e-01
6.843722800092199021e-01,8.807539221462625800e-01
8.740600665484798970e-01,6.304185054894941853e-01
2.622432958208071874e-01,1.818232794548110265e-01
5.237734965864385694e-01,6.244735088966180125e-01
2.351105677519845782e-01,5.885014503845777956e-01
3.855674861284249522e-01,5.909327116560683102e-01
3.454325294685944847e-01,6.075388224257973757e-01
6.009479359171820967e-02,3.709421138051209876e-01
6.394849884196145418e-01,5.469728222053180655e-01
9.938088635041828489e-01,2.225203292976520864e-01
3.035597030792069884e-01,8.397394722420828961e-01
7.123120263386977236e-01,7.365943931917181553e-01
5.128938390372448364e-01,3.221676931320628379e-01
4.398351832363599501e-01,3.858145021793989438e-01
5.419196538194948065e-01,8.159885752189414143e-01
6.346531472667602536e-01,9.911909046053096750e-01
9.808111026375960773e-01,8.839057213025404147e-01
8.319204907627855139e-01,5.592283854213858652e-01
7.398863662872644520e-01,3.569497221076033400e-01
2.568754142102092075e-02,5.237761836830918671e-01
5.994191934588466442e-01,9.835819082754794218e-01
7.103749425949029694e-01,2.644279538256999462e-01
1.480408454845072441e-02,9.069205786801697311e-01
8.107024566861964487e-01,3.809343751558277313e-01
7.331940265443180893e-01,4.415722311909600073e-01
4.195330885394823461e-01,6.116673260673010093e-01
3.885392825824138807e-01,9.944236211866568365e-01
9.015961111887337287e-01,5.854631129713859794e-01
3.137137529200195729e-02,7.271301095590175789e-01
5.601428197311475454e-02,2.564082773152821515e-01
1.052023511030372172e-01,5.732943071681345648e-01
9.178530140616506516e-01,9.089963344918162713e-01
6.265226832773514998e-01,5.590793067448779352e-01
9.467391084528822276e-01,7.045585230310668079e-01
3.911044472429880958e-01,6.472941782689372037e-01
8.868996175487215972e-01,3.248812093156482339e-01
5.687597665239518818e-02,8.291591222616625512e-01
1.241160715064756337e-01,8.736844494313537046e-01
6.429789524205239415e-01,1.039800225660432176e-01
5.348297208339181097e-03,6.682805592431682040e-01
1.802465821033600868e-01,5.814674787273501622e-01
9.729160817081580204e-01,9.273614729441737037e-01
7.173601084975009812e-01,3.999529183727950077e-01
1.048999760696550654e-01,9.734202224734814779e-01
8.170171457690023065e-01,7.396458482312642246e-01
1.248576632189959401e-01,5.824996119576826281e-01
6.969605569573111836e-02,9.675346740584687133e-01
7.421938938588641399e-01,5.413751984042465271e-01
1.091292934763056222e-01,9.232004635805622916e-01
6.924999456482783255e-02,3.976261021219361647e-01
6.778170465541177858e-01,6.280000865815631439e-01
4.355262748655541749e-02,5.066755923279108176e-01
1.609072903362688267e-01,6.274773289576099922e-01
4.185389265409610315e-01,9.954811365798590383e-01
3.513529927872477421e-01,7.455286497560998926e-01
9.293834233195110706e-01,5.175665114695521263e-01
2.481119901854409449e-01,4.533166896142819535e-01
8.494215091343616519e-01,9.824371863101438729e-01
3.455135088957076439e-01,8.271452148676601279e-01
3.459104347842930638e-01,5.559436430604431933e-01
7.754461141449371375e-01,7.510087199661877877e-01
1.249477097499099854e-01,5.681149123846597204e-01
9.302118067159698134e-01,5.853366358522189561e-01
9.120318980154898947e-01,4.793087152660413519e-02
1.265345328862959029e-01,3.489514306030639945e-01
4.069810854150046620e-01,6.189998534330991564e-01
9.620711121645558750e-01,2.845872225793139032e-01
7.208897284588188237e-01,7.935279376036492582e-01
6.073598626873313311e-01,5.677023551788530353e-01
2.656867938463447487e-01,9.791563272871431911e-01
5.459276922445490676e-01,7.015665037555814942e-01
2.015172866121966999e-01,6.215613123232355264e-01
9.373883993797673675e-01,4.224346286857794119e-02
7.999978757077614855e-01,5.077180136218895079e-02
4.325792963498498178e-02,8.960395515221829532e-01
9.138372474825747771e-01,1.088896824057997703e-01
2.694617836373180975e-01,5.394211582776424763e-01
1.722581454244976884e-01,2.137484882376139428e-02
1.177165734575442713e-01,1.009956531610048946e-01
2.718783681895595716e-01,6.142932071836848529e-01
4.026779420117532204e-03,2.991836421486074871e-01
8.241763792976031233e-02,6.106751958053379115e-01
2.295644825390253940e-01,2.966232781115910599e-01
2.822270412835181652e-01,8.950700020579347438e-01
6.988302787327524968e-01,1.917062369535076360e-01
2.225151341729765253e-01,7.300566581082609252e-01
7.573966299224403897e-01,1.810228636443284023e-01
4.118301063712100918e-01,5.722841149917332615e-01
3.445590859585669907e-01,3.624655014829734068e-01
8.230906436242918511e-01,8.503894052517874114e-01
3.427763768397328326e-01,8.197889559920804592e-01
9.056236711181535615e-01,1.715080648474968106e-01
4.687685874052450741e-01,4.392088153025388575e-01
1.946842423046007964e-01,3.692582312495629182e-01
9.368475848598639688e-01,9.121663343285433267e-01
7.974829028750690663e-01,8.231749584276563114e-01
5.897283476319230555e-01,5.145363205331151546e-01
4.737805905851850685e-01,9.856236970422271870e-02
