x(m),wallP(Pa)
3.838954838757553389e-01,7.140479395003596075e-02
5.265993902573167240e-01,2.582106644095502057e-01
9.602807990007584671e-01,2.078286198836329923e-01
1.162503672942973854e-01,2.888021936276882196e-01
3.656465555989212302e-01,2.215370328458575733e-01
6.549540550544568074e-01,4.728968635026353784e-01
8.542103524178252805e-01,6.737041236077778716e-01
7.291433862684121303e-01,8.402589025597546613e-01
7.937106810551718405e-01,5.222719961638216946e-01
9.706445983882115991e-01,1.947115123871404618e-01
7.565773324201712224e-01,8.902998662013270614e-01
8.948168066635981965e-01,8.499455787738039447e-01
5.427035186765811758e-01,5.961707411471389717e-01
4.295402031364067286e-01,6.505119287814126183e-01
3.868537865552974520e-01,2.207415362660823943e-01
7.764485517767121259e-01,6.806059573388373307e-01
6.810529182978785068e-01,6.472590296840310398e-01
3.751159201541413024e-01,8.238156508823566426e-01
8.438079432305531924e-01,7.414141588170566344e-01
6.370451415894293756e-01,1.362020986031753367e-02
4.009076092515562184e-01,1.236606091214282888e-01
8.985206756925077087e-01,8.066602894021015491e-01
8.682311229995763879e-01,3.482237510433877636e-01
2.968947845788777462e-01,4.771414124581341287e-01
6.776989997175718594e-01,9.438681676392726150e-01
3.349615524760540808e-02,5.720041564859853489e-01
2.991227037438685121e-01,3.450651792611050261e-01
2.382762452616038473e-02,3.598202320398046217e-01
1.865967321494220732e-01,7.784650879143475422e-01
4.193300816008405096e-01,9.010214290654638969e-01
4.342392804040108301e-01,3.477021641782817030e-01
5.656609924687172608e-02,7.175493773875974979e-01
4.800484530906604652e-01,6.039494648525989273e-02
2.045887719963326301e-01,2.207769652080830980e-01
5.668584391751165796e-01,6.632888785857498082e-01
6.017771600169364854e-01,8.601249080325452656e-01
7.782209992484123706e-01,9.653715760985349670e-01
3.345344045873267502e-01,2.384787512501818085e-02
2.347001785469116086e-02,7.260989833388473702e-01
8.975847777961583063e-01,4.387928774866857173e-01
3.660820306908146859e-01,9.606327489910740924e-01
4.334977639667718652e-01,6.563562555021482670e-01
6.920351197018348444e-01,7.596728734373265901e-01
2.342395153168428390e-01,2.605212672603446356e-01
2.642046771809241079e-01,1.228562848771956872e-01
7.561583779018666851e-01,8.467187316825997012e-02
4.300047811291085598e-01,2.923183777772182523e-01
6.906670748832240969e-01,8.231597652314334157e-01
1.042419427556670053e-01,2.966913441157168485e-01
7.884838958396090947e-01,9.833345335166111534e-01
9.044231248701527504e-01,6.401298413277114463e-01
7.913379306734541485e-01,6.548768663277235724e-01
2.734741585842183076e-01,9.397165598638501649e-02
1.882928846355226282e-01,3.531535228045931119e-01
5.430358498924527932e-01,9.023746561175833847e-01
8.811206699622999849e-01,7.682064184305870125e-01
9.136564138471421348e-01,7.632206035091692042e-01
1.652178050801965670e-01,4.085384350756799954e-01
4.320252366832827429e-01,9.439105961919674881e-01
2.577508272800810296e-01,1.861391906349280090e-01
2.714273068715395976e-01,2.436564454633212140e-01
4.028317515290241735e-01,1.344428215165444085e-01
2.614130215931829149e-01,1.398841124533632962e-01
9.900997195955895114e-01,9.296974410234152275e-01
6.831451041594025497e-01,8.342695929137039501e-01
3.874720388810273253e-01,7.839102652165418350e-01
1.171895396028651559e-01,9.386694886705264640e-01
8.190957556589072430e-01,8.390953656968055396e-01
6.610559499203830791e-01,6.506140422240914711e-01
8.309967811968420603e-01,7.544290069863579529e-01
7.025276878457419327e-01,4.954048970788704764e-02
5.449299682279283852e-01,5.899716214445316353e-02
1.382586104080674172e-02,8.381577028382395378e-01
9.290423630896867957e-01,1.059177390124969032e-01
9.732268335701864670e-01,4.554352024595070825e-01
4.802650425254476607e-01,5.004927142089141689e-01
8.746991438987192780e-01,8.670631187269370876e-01
5.039412898249046036e-01,6.951807127940285991e-01
7.998754418652032072e-02,8.995619385933624201e-01
1.313198131819240944e-01,2.337317665601355010e-01
8.551814522950758057e-01,3.103377910876943258e-01
8.443558468860370425e-01,6.887459055233495775e-01
5.091995422388448933e-01,2.184717778696655399e-01
6.095186193882417003e-01,4.392489921500386529e-02
5.317632286071564129e-01,2.855221074169743689e-01
3.446554064071039036e-01,8.707482944382405332e-01
7.214664128852025238e-01,1.786132288031089255e-01
4.292807576652865054e-01,9.458739585673188177e-01
5.394542648873642543e-01,3.972059937474606839e-01
2.934050834081066705e-01,1.054085187529245626e-01
1.918422961094534696e-02,4.832144612880473478e-01
4.192377175042893978e-01,5.986863179658231671e-01
7.603879845256192871e-01,7.296630900036767953e-01
4.985823326701662728e-01,5.869986240327991212e-01
8.892399376760052876e-01,7.789051972071231456e-01
7.528579362344788306e-01,1.845548973814656879e-01
4.258562545670441235e-02,4.487959706599631282e-02
7.818269658299408231e-01,7.060517700140984676e-01
8.445428708256215167e-01,3.896765373215742567e-01
2.669316115798487932e-01,6.499727779173211095e-01
