x(m),wallHeatFlux(W/m2)
6.827546777055469862e-01,4.203908257221888878e-01
6.645126402421581702e-01,4.366089521997622569e-01
9.130565664477738874e-01,7.187387250100982783e-01
6.577600563018368707e-01,3.279868164780435080e-01
5.957190305855631918e-01,6.396586924014937559e-01
3.007036185447484744e-01,3.325245467070299110e-01
7.881584436708427566e-01,9.497362486469008713e-01
3.950688867317190267e-01,4.937059045080850472e-01
3.019614215507118171e-01,7.136566329732092484e-01
6.615977888561751508e-01,8.909096946227770264e-01
2.677162377127215720e-01,7.003748378343566117e-01
2.452828176211976352e-01,1.461886896602346830e-01
4.859468935955822966e-01,2.569865197077657593e-01
1.759976882488493155e-01,4.105886906335901587e-01
4.640800028436644631e-01,8.223725089616988893e-01
6.967116908383619300e-02,5.981359000243705593e-01
2.841624133551486908e-01,7.147296757004562018e-02
2.828852921020830191e-02,1.271653597989396145e-01
3.044823733555823697e-02,6.026079337993094365e-01
5.721102327384475217e-01,5.747992167974103062e-01
3.103379912928180273e-01,8.781698873502885583e-02
7.889155880074913973e-01,8.081056914156861115e-01
7.072621187710803614e-01,7.579611033947685206e-01
2.532828447240862424e-01,6.910618696161274777e-01
8.721174887426698108e-01,8.521935318018905026e-01
7.021082057274820043e-01,2.749287838936639305e-01
1.407334242101067057e-01,1.694645579558756721e-01
2.927993462821835147e-01,6.448637109572084025e-01
9.841586388469468760e-01,3.766399736149868005e-01
5.622088966931889642e-01,8.123636073391959922e-02
1.169480592690723686e-01,6.691702327575114184e-01
6.777182012826565849e-01,5.929925652153452686e-01
8.111001318732773413e-01,8.840422775915739440e-01
5.182457685629997535e-01,5.663017016863546305e-01
1.476038371033527863e-01,3.680509827514119037e-01
4.815216735212168864e-01,3.926195147599387258e-01
4.873944349530432429e-01,5.257109450940353756e-01
4.935192498154274965e-01,1.621836321674164916e-01
7.042042387450334617e-01,2.391317588704203745e-01
6.993784692500693012e-01,7.018907618896492728e-01
8.531964378970976481e-01,1.840389693428367002e-01
9.268760349706928192e-01,6.202565076809877231e-01
6.949874395110433589e-01,1.368722782666063065e-01
8.621011740321282701e-01,6.365162888200032176e-01
6.492961790222531171e-01,6.394617817362400203e-01
1.436397245070591966e-01,2.975581150008986819e-01
2.922469552393361925e-01,6.546872110250845367e-01
7.926392140707908540e-01,4.300620332459929029e-01
4.377932927000476315e-01,2.372700681211087348e-01
6.474239047316796558e-01,3.132216502094591348e-01
2.124832795009001796e-02,4.394844907306743043e-01
5.660303514975306705e-01,7.688500494332477508e-01
7.762778120948776728e-02,6.945034051031404587e-01
6.917385932186496111e-01,5.459844400715916368e-01
5.321762165581415127e-01,8.400756204002752803e-01
1.188870037134255320e-01,6.879416343770549114e-01
8.545152278925529643e-01,2.533128664195088975e-01
5.985925469087960415e-01,8.015500443869120195e-01
5.537183593829758665e-01,5.631439296801274974e-01
8.913281735750697710e-01,4.556310605406677094e-02
2.788303539540871734e-01,5.608495585128069338e-01
1.237998939815114774e-01,2.601208448668426154e-01
1.612696127154915615e-01,2.100197419754898931e-01
3.329481820832682626e-01,5.486619053801988777e-02
9.533458045820464299e-01,4.413716369970855924e-01
4.465467108652826367e-01,5.509257919585568430e-01
9.226450716592352608e-01,7.574219946219172828e-01
9.815346119358292487e-01,4.675344897885094220e-01
7.358070286729145870e-02,7.892858936193433150e-01
5.259028824436133842e-01,5.792194676889360627e-01
2.344021356848413618e-01,1.659820174700915585e-01
2.180866589029878400e-01,5.011680300312215675e-01
5.770464849145179320e-01,9.167825479650404397e-01
2.892364023785714000e-01,4.980512920328542537e-01
4.166115370673829643e-01,3.530287291806499805e-02
1.707327787850939638e-01,6.606793558091761387e-01
1.058041697104367129e-01,9.531072810180951649e-02
6.865788361891562719e-01,8.034931703581488227e-01
9.341500801439379664e-01,5.081887564724438811e-01
5.518088997057081224e-01,4.760741210750715213e-01
2.095468005647256327e-01,7.452096440208211270e-01
8.830279719594565924e-01,1.951858232121990167e-01
2.621580076459816278e-01,6.172292500611584742e-01
3.046411752942840279e-01,4.332082148864135895e-01
2.663135624404822099e-02,4.314149068852087821e-01
7.390946498421302469e-01,6.769943996601910374e-01
3.248834429482156949e-01,3.554251144873457058e-01
5.330665869251710598e-01,2.236315007522285958e-01
5.931628749260935418e-01,7.609138574066205418e-01
7.721492328182569809e-01,4.850537939449097724e-01
8.871846970613534999e-01,7.426602163705193771e-01
9.357078181750294599e-01,6.383285724800562555e-01
2.929185363595835367e-01,7.744663066313319799e-01
8.851699510238125734e-01,6.353554283097562205e-01
6.291733792719047536e-01,4.408378726363223477e-01
7.663503388252926873e-01,9.771293185676818149e-01
8.529142354462646569e-01,2.898216483746165473e-01
2.352821131773422669e-01,2.242427134532480881e-01
1.461367755009718161e-01,1.658542699581616597e-01
3.005872222396142046e-01,1.333969842464228783e-01
