x(m),wallHeatFlux(W/m2)
8.867451225549960458e-01,3.548500893345051255e-01
5.627352828764786707e-01,8.553130327655344978e-01
3.039163325504322666e-01,4.553555579072374737e-01
8.015025689880050930e-02,3.067423245012156352e-01
1.481732430149564905e-01,6.030741266551076230e-01
4.263403864353301209e-01,1.853371583067702222e-01
2.215463635676978571e-01,2.518786736263001202e-02
6.887439651644267080e-02,1.525098693098120295e-01
1.351037365844588445e-01,6.327891522650141987e-01
1.488972486251775029e-01,9.684456954382413274e-01
9.641469845175498765e-01,3.137320478619731734e-01
1.249262277249795217e-01,7.939557276722105650e-01
5.671729713043393017e-01,1.091301285307284541e-01
1.333496873620557688e-01,9.637045838579809676e-01
9.779676550355973497e-01,1.885466702610359979e-01
6.381368980590503837e-01,4.306459056402840435e-01
1.359521461804702458e-01,3.738312093339610787e-01
2.241613343211990017e-01,3.596027996034201202e-01
7.200722818067051278e-04,7.668774115086905985e-01
2.585803149067272821e-01,3.691404035329598488e-01
9.856354334722638999e-02,9.579886804085538943e-01
5.267045568705130965e-01,7.800180654280395309e-01
3.401154359555266238e-01,8.237726651542128797e-01
7.622242606625584393e-02,1.150908874172296148e-01
4.432077363868525133e-02,4.312703557539729893e-01
2.670456807812034983e-01,5.834912735083737090e-01
2.312810049017558489e-01,3.555970866015467635e-01
3.436291363850014768e-01,9.827519083975833070e-01
2.631910465555477030e-01,7.745275914108940007e-01
8.614580208228216351e-01,1.353537744766777351e-01
8.418293504342151401e-01,2.101292860210656199e-01
1.890471866012308766e-01,1.127766495557473991e-01
2.552786808681194453e-01,3.867294018865494731e-01
4.241631956483756793e-01,6.770777315243104999e-01
5.160468532678759157e-01,3.551163511468751199e-01
2.713160462443822141e-01,1.706527793164723805e-01
6.024045248378084860e-01,5.160214923529742315e-01
6.423917621570690573e-01,3.579040521320768775e-01
1.057770182024423411e-01,2.996587289258287878e-01
3.427198127978900999e-01,4.538967620881138032e-01
9.272845668133375963e-01,3.453090791640736068e-01
7.770206845064799861e-01,5.428966140010070829e-01
2.627840469917670507e-01,7.483269673852216419e-01
9.573062005703248944e-01,9.969667236937335142e-01
9.930808265974222504e-01,7.852348867871804527e-01
1.722168665572083590e-01,5.988497313752976225e-01
3.176126320976945250e-01,8.419997868817907793e-02
1.716982347247719698e-01,6.083357733172639614e-01
6.188656724932648512e-01,5.201473333742567817e-01
5.654156716224529866e-01,2.495350341196567179e-02
2.270348276199601889e-01,6.041748048656124803e-01
3.625942914227685554e-01,9.275173683750131959e-01
1.502360565896555533e-01,9.815095487657422568e-01
3.347782567055570535e-01,2.635597857351051898e-01
7.486201066714446295e-01,5.355061641625974422e-01
1.683544575086166617e-01,1.766774124941677959e-01
4.035101342903281152e-01,9.459111256102772369e-01
7.987806678727593646e-01,1.734419482678291047e-01
7.115671994428992564e-01,1.623743347352165634e-01
6.714149156486987069e-01,9.627986695701185038e-01
4.132582438532947933e-01,3.868306898346429712e-02
4.976478849467452781e-01,6.162404044418025029e-01
6.827030619967280334e-01,7.532567711571758196e-01
2.330167539958175604e-01,9.347846069323095808e-01
4.861241068470972815e-01,3.059034328094112354e-02
9.283998832858844086e-01,9.623794818194981726e-01
7.056814986393888933e-02,3.769849446928564829e-01
3.703473165038748682e-01,8.384742357633855336e-01
3.715168038421086116e-01,2.199589778092577719e-01
2.187138726916012521e-01,8.309749658026964747e-01
9.281719764641644943e-01,4.599972015428476224e-01
7.395935076286507259e-01,9.808963792577806151e-01
4.469569739724952306e-01,4.725213834848596139e-02
9.733843187398582009e-01,1.667318931360647349e-01
4.046752065104416429e-01,2.696730212109129665e-01
7.763906162979467007e-01,7.133137597148174747e-01
2.266891051991779538e-01,6.913980589119090858e-01
6.550204919058458808e-01,3.852117798016166939e-01
8.763183050676927044e-01,1.330326792894180876e-01
1.100321878305199341e-02,6.098892860491171852e-01
2.436288847866343588e-01,5.311212294616700635e-01
1.527218534018355278e-01,8.316137425094342062e-01
3.089423988584500957e-01,3.684008867910292251e-01
3.607858438293330972e-01,5.116814783644870746e-01
9.954791217141742976e-01,3.431102858456411830e-01
5.945593052277358126e-01,2.783141125919569303e-01
4.656173014064581839e-01,7.231320626355265402e-01
8.142710365818078833e-01,8.911760565035669046e-01
7.619417205610578003e-01,7.366213064947177980e-01
8.203557747636575082e-01,9.374526126407144444e-01
7.867542026477978290e-01,9.000729830462891323e-01
9.219591595992868704e-01,3.894921552565714373e-01
5.846630729406560034e-01,7.894451316945624297e-01
7.484478727577814627e-02,6.521318077731081964e-01
7.452048249083010889e-01,6.340256632417524685e-01
6.298759382300370691e-01,8.666415314613853393e-01
7.551364291429994990e-01,9.151879369772464301e-02
9.355194983032300016e-02,9.522343821214173110e-01
4.271099102390828461e-01,2.475012819276727338e-01
1.696280351589697366e-01,9.996018954095068354e-01
