x(m),wallHeatFlux(W/m2)
2.057695039191144160e-01,2.992197474015144687e-01
2.746922107370857180e-01,4.318146110887596256e-01
5.617653879464387101e-01,4.856413308123681549e-01
1.639029018656579240e-01,7.911786092788966052e-01
7.881486023367013649e-01,2.715298732548098171e-01
2.194069658986027571e-01,9.206964407906945702e-01
4.032915766068835284e-01,5.597453151691732520e-01
9.410987501059593363e-01,7.210686666451283644e-01
2.053709787352541172e-01,2.632339076499710107e-01
2.830929158993810146e-01,3.128351481479231255e-01
9.049133044052076746e-01,4.988861259094886647e-01
1.661378214541874287e-01,5.793107293770921595e-01
5.600229297538742435e-01,7.489513009068149429e-01
8.077251307296339222e-01,7.021320304112720345e-01
7.286910117777345430e-02,5.857408420952315842e-01
7.028172912665470173e-01,1.502231665653429582e-01
1.968028050435949305e-01,9.991702653164803438e-01
3.381825143637435804e-01,3.828133621517406660e-01
3.720359030821690505e-01,3.370413526983122576e-01
7.215953835326954779e-01,8.687542494494993051e-03
8.658042345321375066e-01,9.752026463040137649e-01
7.131985894639132351e-01,6.405561366403782486e-01
8.956853851492252439e-02,3.413008250957930700e-01
7.436467024508318646e-01,8.634939798457880178e-01
7.781649015375312617e-01,5.637136448659677557e-01
3.300056706365773751e-01,5.375748173082743886e-01
3.001205174399762532e-01,2.786899001811150578e-01
6.243032341675167629e-01,4.807340782991283978e-01
9.626099775037912920e-01,4.651232906301806524e-01
7.154914233639922960e-01,8.844104688344234244e-02
5.801684186993485426e-01,5.260465804495331188e-01
1.456000007799471696e-01,1.530957295601638180e-01
3.375873310376014125e-01,6.456902368989758667e-01
4.001283255777402514e-01,7.249575240566706880e-01
2.625306601233228232e-01,7.093512741290913803e-01
3.390499106912227001e-01,9.524618918051794836e-01
9.547722141185295275e-01,8.149222441403691786e-01
4.170792308283584049e-01,4.380235350760569579e-01
2.455112454024708235e-01,9.384170634690369717e-01
8.729026395645267389e-01,4.889303478925310920e-01
2.584254851890925853e-01,8.875852310187848371e-01
9.920312164573064084e-01,7.639815934537564912e-01
7.719488530008792315e-01,6.683651818246323373e-01
9.575581614196880809e-01,3.555513007777219014e-01
5.995179633587532919e-02,8.760131877537088441e-01
8.114563586271432705e-01,4.537895757377817807e-01
2.483329306281770732e-01,7.021819118310984598e-01
2.629721378375747820e-01,4.809507945593937128e-01
7.503498237375552105e-01,1.459937566173604706e-01
5.235768376575411498e-02,1.140311213643419030e-02
5.995294072433722254e-01,6.237939891977959395e-01
9.755522532350069387e-02,3.016071204886648927e-01
2.137572953108741736e-01,5.974966858943522308e-01
6.657033243006742484e-01,3.599549660525103167e-02
6.284669141562171379e-02,2.311785535503128042e-01
4.574186945403782012e-01,5.019418169737874802e-01
9.618036704413461813e-01,1.050338871982159361e-02
3.097451888380254870e-01,6.883438716320700035e-02
2.549914683527729764e-01,7.350873736475070919e-01
9.495980605413002484e-01,9.845739423992615480e-01
1.594965070801434015e-01,7.462114750599097013e-01
4.196976586959959565e-01,6.638202966287559681e-01
4.822044776661181809e-01,9.468628445208304711e-01
5.426338792047340487e-01,4.421255125471860170e-01
8.507816405169289498e-01,7.308472729859747385e-01
4.559754963090234536e-01,2.636071899908520866e-01
6.813587037683366265e-02,6.342113983854857917e-01
4.651028991711584348e-01,9.432788558098167409e-01
2.851406237915915520e-01,6.528326318268313777e-01
7.619929899076687274e-01,7.521899286729079037e-01
5.463393046100941675e-01,9.493947679472075629e-01
4.424754062423111867e-01,7.017885384928088666e-01
3.270958473217616680e-01,2.630059727121522029e-01
8.097963981680069701e-01,4.529945325262065836e-01
2.004074203105540297e-01,9.963174495499580452e-01
4.379366165581337622e-01,2.138510669800943731e-01
5.680571311896984721e-01,3.193817228745309267e-01
9.975747028656856141e-01,6.175770357078058659e-01
1.779503750621547198e-01,5.523809714087444256e-01
8.614235776513923248e-01,2.336660210567105267e-01
3.614256895160417038e-01,9.096747337804658162e-01
1.590051671508768694e-01,9.927320914657027373e-01
7.145275831051127735e-01,3.106000294043113064e-01
8.007700758940393682e-01,6.456470635001132496e-02
7.407899564941312631e-01,8.435949617448659232e-01
4.007929477491094516e-01,8.777609978364645515e-01
3.434463772493001610e-01,5.417591362068265859e-01
9.543686777715821856e-01,7.048952835403129447e-01
1.152985974809509484e-01,9.486060818763908387e-01
1.600500620168290311e-01,5.975082595067519042e-01
1.043546770482919328e-01,2.547678659621659403e-01
5.560665163280441581e-01,4.508614702119516648e-01
8.676156516551353226e-01,3.009032701557758926e-01
1.327944954575986936e-01,9.737461971659289173e-01
9.373866966443666904e-01,3.123590755393579332e-02
5.508995939472440817e-01,2.226994941332404165e-01
4.051002542375520266e-01,7.686386252037002986e-01
5.956750967604557134e-01,3.755767744491966820e-01
7.181846802673008678e-02,3.482163776798895549e-01
5.779971705066747623e-01,4.704962261216389940e-01
