x(m),wallP(Pa)
5.150965905248872101e-02,7.146596350596174929e-01
8.462616561741347354e-01,1.535556742846114764e-01
7.943715108330888786e-01,6.948684162280212018e-01
8.489822071109042190e-01,9.288863738594541619e-01
2.147292237106438462e-01,9.450186958228004031e-01
7.371380556898283753e-01,1.305018591712272524e-01
3.557909094063937960e-02,3.369554597031099163e-02
9.082895175655502085e-01,4.752978732859934885e-01
5.957276684615309126e-01,8.355712027824084842e-01
7.030540815338014449e-01,3.629425374625427914e-01
5.229636383493894147e-01,4.576503998359325864e-01
3.276813890518026628e-01,3.768429261755111837e-01
1.188236880758339886e-01,5.606884230944219061e-01
5.500693373879811388e-01,3.376681960352170275e-01
1.874055357544599509e-01,8.068168152600577736e-01
1.360259125339318143e-01,2.852080460064216894e-01
1.000968012544789509e-02,9.571167013643187005e-01
3.639155240438881611e-01,1.148649832898079870e-01
5.325300030337716262e-01,3.090859922757147604e-01
9.623220135227005256e-01,8.567417590444328379e-01
2.726392838815938635e-02,4.076131837130090307e-01
4.643123257664657499e-01,4.926054708786348213e-01
1.661755799562308900e-01,7.858423788850388281e-01
5.767179079945476960e-01,5.723438352797316497e-02
1.865164818843512151e-02,3.260516392644285943e-02
1.273269986439345969e-01,7.686768963884279549e-01
3.871098043473739647e-01,6.996007117595074432e-01
8.201167700568999797e-01,5.991629797337291174e-01
4.718137086864692131e-01,5.656768035478836332e-01
9.099677532849449468e-01,7.450051148505587584e-02
9.507558984923498713e-01,1.337973819844778811e-01
3.686133157451736420e-01,8.546534898356191734e-01
5.564501853649189700e-01,6.748698070749847844e-03
5.823601110802705261e-01,4.054151037489898135e-01
6.728923963003552444e-02,2.186340169851773707e-01
4.328635648270495739e-02,3.067175109508180064e-02
6.986804748229065165e-01,5.404475302963790417e-01
6.491898982572397170e-02,9.551556043842447385e-01
9.300895034691899488e-01,8.354196686737537236e-01
3.552091133122993183e-01,9.728277202950582625e-01
3.810781619702383605e-01,7.517220582302096554e-01
5.296229274319194102e-01,7.493454187596396698e-01
4.594602629620767598e-01,7.270240774150915630e-02
4.720221034188023523e-01,8.291745969245338799e-01
5.232023124590113872e-01,9.776414583894402766e-01
1.786879806984632557e-01,6.818740655150801189e-01
6.039244046709746350e-02,9.981802559299332023e-01
4.639216183044478914e-01,6.867369184862844866e-01
1.874349652508708886e-01,6.394778955789758301e-01
5.160962594582984009e-01,5.536448507426309229e-01
6.640264220296819841e-01,9.801445388456071495e-01
4.744517196526898406e-02,4.903159520424876794e-01
8.223543468828022895e-01,7.976703764770032290e-01
1.275168410706677413e-01,1.888703402015444732e-01
7.631763549728070029e-01,3.417691023656732607e-01
2.418060687375775952e-01,3.526893717562514796e-01
3.121322945278983685e-01,8.557770972842817514e-01
2.461582430359061657e-01,3.525237701594441386e-01
3.345634505893163579e-01,5.537098348370147471e-01
8.691118747312418513e-01,4.810288726062291742e-01
3.226126895059603372e-01,3.966451894821959590e-01
6.616903428671072618e-02,2.918445204497844836e-01
9.200252678189498878e-01,5.865229908553879490e-01
7.389918186769104391e-01,5.846100875193691593e-01
9.832143759542996131e-01,1.879589282961754426e-01
2.025255214387979841e-01,2.044268815475558387e-02
3.536591538661120193e-01,9.014035989331914411e-01
9.219754250060652190e-01,6.408919922721054707e-01
9.739716657758410445e-01,3.425670347528545490e-01
5.181407513125759756e-01,5.422095044301490363e-01
1.885730978403686864e-01,8.920256218484549082e-01
9.337825484356281347e-01,2.179181587239097384e-01
2.169848143588908318e-01,6.569071377401631828e-01
5.514202016433816800e-01,4.680844771618364319e-02
7.663121628122411266e-01,7.010689347748418898e-01
3.246426684756374970e-01,3.287011242564024105e-01
7.761729754272085335e-01,4.289768664238901019e-01
6.482873392495634990e-01,2.491650820086617202e-01
4.784995641722016302e-01,3.390224027060972922e-02
8.357703127467667192e-01,3.936787190784295509e-01
8.039516246219972073e-01,9.033207995208201169e-01
8.062542816597348949e-01,4.604897163131355109e-01
7.909363814553730387e-01,7.703798859570476498e-02
7.419208017678130540e-01,3.066542400811602676e-01
1.687300181487700890e-01,6.251088485437139575e-01
7.322663122198768137e-01,3.738063498425715503e-01
1.259951691053502465e-01,1.429648840441748447e-01
8.284005434519937650e-01,3.404327911077364988e-03
5.151859713819426645e-01,7.551730087505529321e-01
4.345574458373826499e-01,6.853681506322445438e-01
6.412759266501824040e-01,4.077777618296063444e-01
9.389844927806370034e-01,1.998688017809973072e-01
5.318133794953217031e-01,5.574118276048363185e-01
8.074692838273966888e-01,8.286079046101513246e-02
7.713971101085973503e-01,1.529859377623707939e-01
4.811829603103316977e-01,8.531073532895323552e-01
1.252505069733774734e-01,8.235155536677013499e-01
3.404235748499394587e-01,1.226627813881218110e-01
8.477345445759782994e-01,3.224848423458218649e-01
4.547752843079498897e-01,6.525243188620695189e-01
