x(m),wallHeatFlux(W/m2)
2.090023959874419690e-01,5.885432679251692001e-01
6.573863302077753712e-01,7.720237401544455258e-01
9.677915335312916589e-01,3.623997365450488672e-01
1.225201569480139918e-01,5.029353330914975162e-01
2.747040233921995700e-01,1.011488162552515169e-01
4.062775112695744539e-01,4.061457581635731229e-01
5.184597244905635449e-01,7.544202044458581113e-02
9.621487423730151756e-01,5.565054709846261050e-01
2.962409034439332789e-01,1.789756858108619841e-01
3.721387244318771215e-01,3.815604706229935861e-02
7.332475303139082135e-01,1.624325051026294098e-01
2.362007184059122800e-02,5.251397958641422781e-01
9.954405109605811708e-01,8.406815853774276537e-01
4.751066026455652569e-02,5.770622591511104238e-01
4.965890949643395613e-01,5.784127709149644581e-02
4.814859532592266067e-01,3.208221772217090262e-02
5.194763267881602475e-01,1.208721058442709939e-01
5.872526907194168810e-01,2.236592864381695689e-01
4.224651767600515750e-01,3.529257677137250804e-01
4.369118417846410418e-01,9.988522769964678361e-01
5.269182841999122680e-01,8.627672485894247734e-01
5.417289380239165286e-01,3.909182889195694788e-02
4.222531387161667649e-01,7.586486329937190964e-01
1.874433777206683249e-01,6.726670576813931213e-02
9.171430638255763101e-01,7.726675898523258645e-01
1.471269785742745917e-01,2.165130493257380051e-01
2.308161541620010748e-01,7.805797579219795335e-01
7.751988102248700274e-01,7.631669339123640095e-01
9.779326614020822372e-02,8.223380460962442795e-01
9.268931491935344935e-01,1.471111571025018883e-01
8.139869092756469859e-01,7.976708865054578101e-01
7.322914706408369945e-01,7.013633624733208727e-01
4.662483614091396111e-01,3.749350568441734977e-01
5.751286465913388879e-01,3.032387743976078243e-01
8.962185814351586455e-02,5.247510195376511311e-01
3.066444592383775758e-01,7.035750663611661793e-02
9.011555982655335972e-01,9.308828667276252133e-01
8.013082543047357342e-01,8.500175558446934065e-01
4.257111746132979935e-02,9.982616738627348996e-01
7.677997094099001663e-01,4.930611965355657933e-02
9.023708212923973182e-01,5.885579102868798707e-02
4.204829266258440779e-01,5.065883844637225630e-01
8.691882659324942084e-01,6.031203121899989528e-01
1.979511555408915990e-01,5.185707928357161656e-01
9.149781412970179328e-01,7.588697708952584220e-01
1.311793808605271616e-01,5.666617605417181291e-01
3.582705423008953893e-01,1.431538566030176041e-01
1.381127853225732061e-01,2.310988404328160328e-01
6.727068456573627175e-01,3.909900610045968783e-01
7.842997201111947536e-01,1.249701148707642595e-01
2.479395546314874244e-01,3.320373092829447259e-01
7.198781307462126522e-01,6.011003939967693999e-01
3.390391135130655931e-01,5.774242461823887451e-01
3.114095119745706741e-01,3.664696183320516054e-01
3.929259068751073114e-01,8.953430366589265610e-02
6.123738612153810656e-01,3.309492967455824886e-01
9.050415886261466980e-01,2.683655019092155980e-01
4.907337220710533687e-01,1.415766143959367174e-01
7.948498363557865432e-01,1.265636426026065520e-01
9.492011747562218993e-01,9.633297398935203315e-01
5.943398120584386657e-02,2.902715654311290860e-01
6.046304574538077237e-01,9.421940298130372371e-01
4.252876529206247591e-01,3.917124477949252004e-02
5.992975241371515382e-01,7.660913572650831505e-01
5.181927495562921315e-02,7.083843588631861810e-01
1.199543338747023347e-01,9.158188017942981984e-01
4.877406854957376803e-01,5.142555540725435304e-01
3.075511701086215410e-01,5.910597026516395402e-02
2.445518849751293633e-01,5.816544946204025290e-01
5.287271925224623637e-01,2.433752919742849796e-01
8.711934424597463922e-01,5.883936279219607046e-01
1.571379761766676930e-01,9.185210089505180253e-02
8.127194235366742570e-01,6.181383372055790915e-01
9.444555012646183023e-02,8.328244603962842163e-01
1.173849474654370395e-01,4.418882553449222650e-01
2.836156305540754596e-01,9.083034371208945634e-01
6.609518262793253607e-01,9.896161688338104279e-01
1.390813430861606026e-01,6.655224238931718439e-01
5.354185127343619177e-01,1.726988669839467638e-01
7.769620234733948250e-01,2.948229900059933239e-01
7.994837554761917708e-01,8.966058960649533338e-01
1.288535708920597322e-01,9.429119511132266762e-01
8.388970805402891084e-01,9.470548380505500186e-01
3.579912214596842057e-01,5.879830053081073205e-01
4.836749641125877019e-01,9.178074733169647725e-01
8.761455789986892784e-01,8.474112425897003531e-01
4.541758333921436241e-01,1.642914401225513688e-01
5.868584773866182269e-01,9.194969018520003923e-01
5.127872367620138760e-01,3.889432769729302963e-01
6.281565276273897158e-01,8.147421767208409271e-01
5.089475382454066166e-01,6.838799427337908243e-01
8.644045096725873067e-01,5.348119166437425021e-01
7.619524532732565580e-01,4.497053709262921473e-02
4.531425246109080929e-01,9.994520570438972795e-01
1.202577062733627411e-01,1.622854604130506972e-01
6.123515597959391377e-01,9.962766816960270111e-01
6.863897227914831367e-01,5.683557016759972491e-01
1.524446015200375815e-01,8.822253758889602171e-01
6.218275647521958049e-01,5.083582414174526720e-01
6.539153774389103724e-01,3.473504035594648931e-01
