x(m),wallHeatFlux(W/m2)
6.048953820552643856e-01,1.315166861596681613e-01
5.930666104067816580e-02,3.844991365442229636e-01
6.521777552881257156e-01,2.915082227000664883e-01
1.720736042745486527e-01,7.314406605088313862e-01
9.312378782959448431e-01,3.502989026229551550e-01
6.434579563252570411e-01,4.179347092755155701e-01
8.955130117142838797e-01,1.100738045579582325e-01
6.940158274827697982e-01,2.337620994494672422e-01
5.993889950746389417e-02,1.089516929984042370e-01
8.638288458733039965e-01,8.238625970912183405e-02
3.388092765126461403e-01,3.826928882105598007e-01
1.696537550028154318e-01,1.758862587810156031e-01
5.581166442468357136e-01,6.833541054774689982e-01
9.463324216490798246e-01,3.220192854286898498e-01
9.175069065465675244e-01,3.213904077783057422e-01
7.724681764555344499e-01,2.148773473672516143e-02
9.529450919599856684e-01,8.469079432278103781e-02
2.720595306453206241e-01,5.201804477720159969e-01
7.835369415506744373e-01,6.036488619382368581e-01
9.331316799387182614e-01,5.609379633010557198e-01
8.835175143775590989e-01,8.214163119401356461e-01
6.846390196543358231e-01,6.438081227551075703e-01
9.887128030371256093e-01,3.888636640667768596e-01
6.632359258244580058e-02,5.712944905426802222e-01
3.741259011762991804e-01,7.672302170884396366e-01
8.821073010579366658e-01,9.727837983909443098e-01
4.263100921276223865e-01,9.344316775478018755e-01
5.741752602249849957e-02,1.098678892855122768e-01
7.971301980420053557e-01,4.428076841354697812e-01
7.942449066120852441e-01,4.276292629551877722e-01
4.268070856305724581e-01,7.200991447048086247e-01
9.669179626642273595e-01,7.138091984665054790e-01
5.552191247627483728e-01,4.436791432604442198e-01
5.911533637925416862e-01,5.864526937593318445e-01
1.586388382667188734e-01,2.698563791189885208e-01
7.132817398208775028e-01,9.561300663477725337e-01
7.652967194144565388e-01,8.331102980024382987e-01
4.526286431237561692e-01,3.789246308370779470e-01
4.790802178586788251e-01,1.258470561746218852e-01
3.730939727672677453e-01,3.018109814552610848e-01
2.088118767568044598e-01,3.714090073102008782e-01
8.500444157628497255e-01,5.803341596643487588e-01
1.366221003213691221e-01,4.673452972902261138e-01
5.907359220548336065e-02,5.557423295248278272e-01
2.553244446287159519e-01,1.539603419003887641e-01
2.803673284989094405e-02,4.151235732236424614e-02
6.851296812900393718e-01,3.968142232728333330e-01
8.227935192752344751e-02,6.536184964251523510e-01
8.874846715916205886e-01,4.153714436430556711e-01
4.702429861455252880e-01,9.582535345838397722e-01
3.168860509194448838e-01,3.002785317321079450e-01
8.014067340384964933e-01,7.398074970268301298e-01
8.310511261875641598e-02,7.281462821992967793e-01
5.946505417629863732e-01,8.928235440832915648e-01
8.737828130448594965e-01,5.544846236512570581e-01
7.988601161356914115e-01,1.246623753000535295e-01
3.702690417048755123e-01,6.408775503147091657e-01
7.516251647757894450e-01,3.127832107043410081e-01
6.498101952817362248e-01,3.457553873801324507e-01
4.824751222099442627e-01,5.054936709659723082e-01
6.492603118577870980e-01,9.914963978331675643e-01
8.368567579875491047e-01,7.752326207083884979e-01
5.779241349502253211e-01,8.747106203922770939e-01
2.292098440464526155e-01,3.936481403899214637e-01
6.014055671135269954e-01,4.996962687124721914e-01
1.698782762363897358e-01,6.251799018473593872e-01
6.887219580483663339e-01,3.710136948921231026e-01
3.402552100223790177e-01,1.705982214091572580e-03
6.268281583383482625e-01,7.571929131937225055e-01
6.039686427251088618e-01,5.291815951113456595e-01
4.124207569960998132e-01,5.672694362299554038e-01
5.710006286146105392e-01,1.283809055418994038e-02
1.346316109150419438e-01,8.237282489422259601e-02
5.825074251355097932e-01,7.047926867966206599e-01
9.484186151039508683e-02,2.105393608647452286e-01
9.408538036078805122e-01,8.167749166069029343e-01
8.695208310472920532e-01,7.242391005211260557e-01
8.550699354299704513e-01,5.713679085799991952e-01
6.297852048071909126e-01,3.904378697877756155e-01
6.170579642380884522e-01,4.053651544985737987e-01
2.451383623840299730e-01,8.614119635536650055e-01
4.827168632435256956e-01,1.994761033080372226e-01
1.779360157622511540e-02,6.808958234632324080e-01
1.228025589016136232e-01,4.059251283118873177e-01
6.972842300475368127e-01,9.832679121217767770e-01
1.996374946746432011e-01,6.810046711062350822e-01
3.269334358945894525e-01,3.231134211867708883e-01
5.548530331948947625e-01,3.285006115139647020e-01
3.938960928199601863e-01,2.166768939668722860e-01
1.124927240684732155e-01,1.692565864240569429e-02
3.266537301172411922e-01,2.227399904132817410e-01
1.901681604718152840e-01,1.821823964157150977e-01
6.149954557601321481e-01,6.355048061552069916e-01
8.756348463734618948e-01,4.599215453378497909e-01
8.550308411234741612e-02,9.668884552726594306e-01
4.832427339759013396e-01,2.742370968550997823e-01
8.081254637282517805e-01,5.757215272862642452e-01
1.276480670589674737e-02,2.948187470612990690e-01
8.853271306095492621e-01,9.064801832419754346e-01
4.927245863852578456e-01,9.591012374642351457e-01
