x(m),wallHeatFlux(W/m2)
8.177603029878459662e-01,4.353423604734093511e-01
6.262619098246196003e-01,3.566811230183630776e-02
6.838747765546072666e-01,2.679510424252700140e-01
2.223478855856398928e-01,5.227395402723485907e-01
5.408581313053091311e-01,4.642473047638906447e-02
4.903131537278475616e-01,2.654815546019814176e-01
5.660697104356869902e-01,9.106565173314358219e-01
3.841101632157521983e-01,4.367622600467933047e-01
2.989003005358334963e-01,4.353324312354037717e-01
6.443854279940165464e-01,2.690557252558838375e-01
8.141113652929174993e-01,9.989316095055279510e-01
3.199045064018108953e-01,9.227120996664528452e-01
8.015865833636454107e-01,1.020847016622788983e-01
2.737157776711000023e-01,5.523594073302622309e-01
3.089845384704342779e-01,4.630250348199864696e-01
3.901949297840898723e-01,7.585646543609553261e-01
9.944706994084638874e-01,9.122934075585598102e-02
5.568681430470906468e-01,3.417725168504813782e-01
5.951459887457624109e-01,8.858695415603746737e-01
6.123001073678756567e-01,3.138563237779582460e-01
9.087911072384489142e-01,4.258796403947876508e-01
3.068306774078445320e-01,5.019633941842744917e-01
6.434836104410541768e-01,5.650970031054780573e-01
9.451555194937848459e-01,9.493382662551669293e-01
8.498588805096038978e-01,3.542349350958151621e-01
6.743729907905767762e-01,6.941556746757463481e-01
5.349589924722130130e-01,8.923534811801167033e-01
1.854440496183559217e-01,5.590171507321151090e-02
1.368317001396014421e-01,9.392766553568020482e-01
1.578482641229030925e-01,6.828977630622117267e-01
9.655254120319967104e-02,6.206102628525513865e-01
3.304671866186038587e-01,2.044134304618675513e-01
7.803938463117046087e-01,9.167561719579623292e-01
7.558043875621182073e-01,7.922460940490453352e-01
9.795209450877837565e-01,6.696408712828402221e-01
2.167664464546873448e-01,8.311097049169573481e-01
8.311668663963307502e-01,3.158101724816126943e-01
3.858954941512297010e-01,9.977233097728943623e-01
1.569714356114505494e-01,3.377971301146267535e-01
1.065572496133873059e-01,6.946865895408196323e-01
3.420958454613556299e-01,2.200904901087700205e-01
4.526447937807648314e-01,3.001063793624844100e-01
6.370727200505121868e-01,1.338273619893101118e-01
1.176074412683425496e-02,5.368524625900434888e-01
7.525630696981643331e-01,1.068808058924473059e-01
8.215414019656078759e-01,4.454043450549010075e-01
3.784859991577234073e-01,5.234877017765180440e-01
9.469902799752841771e-01,1.299688087051844576e-01
3.757712660286042228e-01,7.398347467832080415e-01
2.814461386298998669e-01,8.650579234071711365e-01
3.350926561816844895e-01,5.661395002678255572e-01
7.674414381630911830e-01,8.327068993081683246e-01
4.607210509240523555e-01,3.092520888475983609e-01
2.309705963931881767e-01,6.140364348019820007e-01
7.987025390151736293e-02,5.991336486861064126e-01
4.743760794630165201e-01,9.125559753082107539e-01
7.809064260058646845e-01,3.767325485380481620e-01
7.627715224754353374e-01,3.892727553646468941e-01
7.702062110215102120e-01,7.184008027017525500e-01
7.830252967305004752e-01,8.138173873893117527e-02
7.164248900099835504e-01,9.248630950381591109e-01
2.310171596913195291e-01,3.204390951468469861e-01
1.719629458214012585e-01,4.970672994823778224e-01
5.121843222920486882e-01,8.362058141973593983e-02
7.490713238911480554e-01,3.458084257984093135e-01
7.383204725641834276e-01,1.284937472292256855e-01
6.687567731268561078e-01,8.350345781018529978e-01
9.541515277675687301e-01,2.152303278017820842e-01
7.961347171322509242e-01,1.908166396101259599e-01
8.502745444403586594e-01,9.409174507989197522e-01
7.436752396397419140e-01,5.306902925992720288e-01
9.100875100078372748e-01,2.254740603547724653e-01
4.306838353609574455e-01,6.600686799505217639e-02
4.057871661732200819e-01,7.809771436715371440e-01
4.169581159168319617e-01,5.296406801669732989e-01
9.733286975525521356e-01,2.072654662843746998e-01
7.005741587685212490e-01,8.423620628353993833e-01
8.529968753126627723e-01,8.183328056545398077e-01
9.285398668799931254e-01,6.862734589758962001e-01
4.846650862128122350e-01,7.899865325837029939e-02
4.050546065053187705e-01,9.180117344887595010e-02
3.166663471180113376e-01,2.965196294465711757e-01
9.348772490043233407e-01,4.419403037224288733e-01
8.229810580988243807e-01,4.619189670780787793e-02
4.461511800775774805e-01,7.705195963095595735e-01
2.622880922075747634e-01,7.074948027841497789e-01
8.501776969714789356e-01,2.921594003125127514e-01
2.612015982889454024e-01,6.736947165596306464e-01
4.229878356976914944e-01,3.064099998760769772e-01
1.607089280691273991e-01,5.697714465286921603e-01
5.126184440355290306e-01,2.864656791228179511e-01
6.858693896160350523e-02,6.301782048420838667e-01
8.382572964160652784e-01,9.255231711496340052e-01
2.856529929788171884e-01,2.226963052481146788e-01
2.657165759088649937e-01,5.235607505226879121e-01
4.760541934813595777e-01,7.048544422382888586e-01
3.858618169571091938e-01,2.194001124247532131e-01
7.315717668803303209e-01,4.989487004526047542e-01
2.131951553763959950e-01,1.660348989798130503e-01
5.371845939480400789e-01,3.234939764271634877e-01
