x(m),wallHeatFlux(W/m2)
4.777540676766275363e-01,3.939918659362176001e-01
1.975365643025711604e-01,3.081144841009362256e-01
7.384496015150299186e-02,6.894618929919629213e-01
4.313021330514106300e-01,8.807742870028307802e-01
5.965330348849177122e-01,8.207386416357578263e-01
2.440420894659734996e-01,4.203202284905980246e-01
5.046124498227274602e-01,1.760024510260094210e-02
8.529103903740865578e-01,7.073295672703033832e-01
4.977566483827627897e-01,8.906550973319625752e-01
9.571550302713491831e-01,4.526921765297947653e-01
1.126083968838345051e-01,4.002607486017019101e-01
2.434143151269949623e-01,6.333381800243758075e-01
2.919306198811492115e-01,7.253058793654434400e-01
4.410506352893949211e-01,2.831448870935793227e-01
6.513595489306178710e-02,3.198473201336122784e-01
5.130460531507089472e-01,7.820371274976584131e-01
6.960926285156691096e-01,9.636229239801283875e-01
8.282031534705127651e-01,9.926323268265617727e-01
5.359475827475457255e-01,3.211023806767162592e-01
3.776520397716046640e-01,2.357365620785588645e-01
5.348290180574621910e-01,7.841164083633976878e-01
7.510935668572390478e-01,1.159163260818681929e-01
9.672590506484446404e-01,1.805443049538719702e-01
5.113133074601322603e-01,7.985053832172879229e-01
9.378477326471990061e-02,6.319277040913986454e-01
5.664829115454345088e-01,7.258781053316141207e-01
4.226062937960304300e-01,6.515821838795836651e-01
3.420524150148347431e-01,7.136363261086381415e-01
1.689379059299445096e-01,5.013051784432833724e-01
5.810719696888323460e-01,7.564872288393320598e-01
9.930130057401131971e-02,8.688387760128956083e-01
4.362594068581916451e-01,8.282119167163481954e-01
4.039412765915885162e-01,4.680551205793233027e-01
3.008594159957078684e-02,7.897074392700242917e-01
6.838103033188022151e-01,2.118927184381117490e-01
2.322223496492986650e-01,4.564144659540014803e-01
9.385661334306487635e-01,5.179728904422793434e-01
2.749320528703207422e-01,4.379142084932261536e-01
9.809815443104157318e-01,3.023846232057806338e-01
6.998527170718440438e-01,4.346229136491812639e-01
5.409062898853463919e-01,1.788558226791830963e-01
6.243356507879284090e-01,5.956155951425997630e-01
8.954781607759144668e-01,8.076396126691367527e-01
4.113804941715365482e-01,9.693612480578404078e-01
7.189391794063837438e-01,5.186417564656293777e-01
8.587671419619025137e-03,4.540439192584908579e-01
5.673451047483782927e-01,1.199573239162905480e-01
9.418756414584836811e-01,9.929380057477478205e-01
2.750821570830438434e-01,9.868140819265277530e-01
1.074754816139471547e-01,4.817037097661412970e-01
3.800021920207502513e-01,3.467941414644237774e-02
1.966003248728057651e-01,9.654086968885908782e-01
3.729326949433346972e-01,3.241313350439958274e-01
9.477668275470507719e-01,5.317324279412199983e-01
9.130224329416328777e-01,6.066674279087382882e-01
8.714749689669054611e-02,8.840317962977523036e-01
7.326134391013650049e-01,4.935979264786681808e-01
6.277721146191389545e-01,9.336411033532675541e-01
1.380682434422810800e-01,7.768506045139408345e-01
8.256705192120661341e-02,7.465842079274402909e-01
3.063029062438454853e-01,5.752627773425265101e-01
2.038146496473687286e-01,8.466151124870002764e-02
3.726765250707196886e-01,8.624180276766630904e-01
8.362049138529481507e-02,5.730715117794508151e-01
1.541053608791628227e-01,9.792300398155764363e-01
8.363509112806065682e-01,9.300642627893096481e-01
1.147939514593770971e-01,3.135913860676603493e-01
8.307633573081879552e-01,4.290531124373124783e-01
5.265770587753459964e-03,4.401667040764504213e-01
1.136232846455693668e-01,2.941166506109351708e-01
6.391812089688900800e-01,7.788480326231883577e-01
8.813525299024206339e-01,4.427366608698586337e-01
5.515120700831610545e-01,6.483931135891218833e-02
7.161241456226826729e-01,1.956485695951414305e-01
3.129097204921780229e-01,2.417520936554010680e-01
7.996440890863613093e-01,8.189738551780947340e-01
5.382613284686237343e-01,9.043488959045855591e-01
8.390742454775703685e-01,9.784424326763190294e-01
6.990940293938345818e-01,6.137144682866664258e-01
9.685090982537173376e-01,8.231384314710897820e-01
1.684296605395961821e-01,5.225225572945357833e-03
7.969995195037782310e-01,9.900932700948664733e-01
4.864900770508661099e-01,3.248721454705461031e-01
6.185886489599731197e-01,5.058311035311604531e-01
7.834997903739859826e-01,5.646241814546465454e-01
8.002277641155097765e-01,8.730319669291872753e-01
3.268754669153953740e-01,2.751050406464968789e-01
9.243235127980221622e-01,4.197750741129683272e-01
9.585206684033975577e-01,7.134575394023245920e-02
7.259073378859975945e-01,6.397010278038598452e-01
2.035905144748786366e-01,3.049259652418033761e-01
2.680706954498516259e-01,6.577819791143418859e-01
5.303275927562598469e-01,2.508350399763061844e-01
8.725751092409436138e-01,2.038392040329642940e-01
3.951861216416248102e-01,8.194066100799336505e-01
9.596497373124797114e-01,9.536724955683797411e-01
7.815291175574446969e-01,6.677732446444663017e-01
4.324056480281301962e-02,8.331501015229297868e-01
4.218308940548729513e-01,9.481969021014008403e-01
3.113444895369806842e-01,3.772652429095719739e-01
