x(m),wallHeatFlux(W/m2)
9.481970543868287749e-01,9.894368127102992627e-01
5.472941209632574688e-01,7.846233499727733873e-01
8.846155195931865167e-01,1.004829060764081960e-01
4.657250902623172317e-01,3.031660018242980925e-01
1.841966871888771617e-01,9.239777813122358463e-01
2.319991091643354153e-01,9.450463976600224081e-01
3.753371488617890384e-01,7.391313121074435388e-01
5.375261026154847244e-01,9.365766551979423093e-01
7.114674647952693443e-01,9.105579171016803253e-01
2.241077679167068348e-01,1.418742776350229162e-01
1.967075170535743656e-01,1.385268186953273473e-01
7.031031283842290591e-01,1.211165875009629911e-01
7.004929532301382711e-01,7.528993363974997299e-01
1.010768316561895253e-01,5.107927705265542517e-01
6.444119445865168494e-01,7.972976506086428827e-01
8.268668074980548566e-01,1.789293303923289447e-01
8.418132633556163480e-02,6.581186709835019633e-01
9.245763922697993742e-01,3.941800630711035369e-01
7.250102465821953723e-01,9.288478574813923139e-01
5.915857252843371716e-01,4.490880440291243891e-01
1.746816707419722725e-01,7.978037606648721303e-01
9.640082789532748997e-01,1.383574808970288172e-01
2.683370236662260266e-01,7.784881120229905083e-01
2.889298290408714998e-02,8.501330168430469847e-01
5.861305216094170323e-01,2.243890176586111895e-01
1.215663865345564254e-01,1.191691705712196736e-01
9.119336918833474970e-01,5.039235502410437384e-01
8.459427422210430425e-01,9.698710597168724856e-01
9.815709307966471453e-01,5.667197749622965297e-01
3.144971746532890799e-01,5.614730111873941221e-01
2.165353962922706987e-01,4.155939751456616538e-01
3.132536530075492598e-01,3.443350316607963757e-01
5.974906329513377523e-01,5.498159667700919240e-01
9.594888424981862229e-02,8.513231247712127470e-01
7.925735251969981965e-01,9.283956148429093336e-01
6.829298499461339267e-01,6.109198850570998207e-01
8.132395472136476622e-01,5.490649521466883787e-02
2.019680174372979753e-01,4.179911167588772347e-01
8.135100432418229666e-02,4.491594583296647514e-01
8.727383179449383910e-01,5.894455215191052311e-01
8.629773278869312669e-01,9.378235861583090749e-01
9.453554072490427673e-01,4.951205192255644372e-01
9.366512841288188174e-02,3.335143278978843773e-01
2.673716532374555976e-01,7.417210738804735914e-02
5.142638768124860871e-01,4.410329471141336555e-01
1.511739097890484329e-01,8.856018724947539722e-01
9.281670742088817816e-01,7.831178468351784883e-01
2.378757948622971519e-01,4.197699425333560885e-01
3.875330790915316737e-01,3.949633782709145446e-01
1.047669101906528732e-01,7.583044221592227796e-01
7.363480034943651331e-01,5.261214768627719973e-01
7.196289085516330841e-01,7.230599557317624049e-01
4.155112937993697964e-01,1.667271064152049398e-01
8.262565947404881816e-01,2.776299733666851566e-01
5.652782667091683644e-01,8.264541963220924936e-01
3.533620433119347704e-01,7.509745637870572921e-01
9.996567211464941760e-01,9.573239397662827166e-01
5.059635579414002438e-01,4.097894093642782121e-01
8.271583598109158997e-01,6.747507635341847276e-01
8.529366427505580273e-02,1.102492294647672288e-02
1.349946684045141287e-01,2.585768489212816323e-01
1.594086374467292844e-01,3.674381663766123074e-01
5.550007581097748943e-01,5.216905599249128667e-01
6.993022660420114001e-01,3.920537121663656421e-01
2.714236625348180887e-01,3.586670592433646165e-01
4.345733484874715336e-01,5.338563609085533734e-01
5.223282188190955244e-01,2.954197811442560440e-01
1.393026603360677518e-01,1.978223985864813184e-02
6.401751053270474667e-01,5.292089828487215319e-01
9.913945563675726769e-01,9.194090053869214962e-01
2.683723120800836082e-01,2.372363779633457348e-03
3.673508733818395822e-01,2.337893090696426812e-01
8.204042578997096102e-01,2.182545611569852717e-02
9.280546358417294250e-01,9.060549134607704946e-01
3.471156059688333961e-01,3.155468318232114155e-01
5.885552566741133473e-01,4.318005787486844937e-01
4.281962546816399096e-01,6.344171256356823108e-01
5.188433576863994423e-01,3.817632213839178279e-01
6.995769209962009461e-01,4.174279118647995501e-01
4.723490293781270610e-01,4.682304164869761642e-01
3.457341626941560220e-01,6.017551351769291346e-01
7.231842390592602143e-01,2.082982406612843285e-01
9.800607861829186973e-01,9.207372602395427208e-01
8.985849495198181547e-01,4.676271154536730812e-01
1.771169049432943510e-01,1.538624086183835171e-01
6.551232345892389342e-01,8.355428544493251897e-01
8.262491000619514026e-01,6.970093303369973015e-01
7.186304733406938539e-01,3.759580469082944854e-01
5.838265863045272175e-01,8.071221078095160983e-01
3.799560640283735635e-01,6.376862941178056410e-01
4.893900389978778076e-02,8.954678868512009338e-01
3.074004285450145924e-01,5.522104421421770715e-01
5.032076086610848265e-02,6.170556129222051212e-01
8.242615063853236945e-01,3.051087394628178018e-01
7.687805962360598766e-01,7.307694302678090503e-01
8.442873963103098012e-01,3.587337562248323897e-01
1.465580538775291819e-01,5.713365404239389989e-01
4.700913887190343310e-01,6.899595208577864458e-01
6.341651611741283556e-02,5.792731812499749555e-01
6.413527286758138324e-01,1.974254675639696144e-01
