x(m),wallHeatFlux(W/m2)
3.328268109898198102e-01,7.033096358686563576e-01
6.128779926251942678e-01,8.493448515798400766e-01
7.021360871655529801e-01,8.065346260051076133e-01
5.524087966932594851e-01,4.021847206161938137e-01
7.665740089360061349e-01,8.600954041415598272e-01
1.222154429907806872e-03,1.563658880854933431e-01
8.207732675113059706e-01,1.162100163765436012e-01
5.479508566294080119e-01,5.770003394286740139e-01
1.086946437563055534e-01,3.864286233063346510e-01
8.526782385571074485e-02,8.691409646368042363e-02
4.339675931829414246e-01,4.460650314620645540e-01
3.622698787251636965e-01,3.223264647265101646e-01
1.071485485671771487e-01,8.137432069719613414e-01
5.549380215097490243e-01,5.695282229468646706e-01
4.698081348690952286e-01,3.570299848560127831e-01
1.289280402019012950e-01,2.054435361580515540e-01
8.972925135528867502e-01,2.948484850298331850e-01
8.663929650934857341e-01,5.665865580387086098e-01
1.598234698466090009e-01,9.463908770200337717e-01
7.661755108090747557e-01,3.709674088877903397e-01
2.867978894264129330e-01,6.852469708635833268e-01
5.397346935593706485e-01,2.850825038365739639e-01
2.418503531777631554e-01,6.153238381453784989e-02
4.557132579293943220e-02,6.689140666607443775e-01
1.585638377804344801e-01,3.803315829178990359e-01
5.003056771676063219e-01,8.944713290827834840e-01
8.394362783559636831e-01,7.799260403601459002e-01
6.735569038889729354e-01,8.724914433623699450e-01
7.523419090640637297e-01,3.839529540533379581e-01
1.362228675621168783e-02,9.439749938877138868e-01
9.558155598299353795e-01,1.621195401462794949e-01
3.543821422728393733e-01,4.476980875791231052e-01
2.383069374058809364e-01,5.335019858461839126e-01
3.127454298210237127e-01,8.659210787600960524e-01
5.681152164960552309e-01,4.695746833566244449e-01
3.713772112639790457e-03,3.843732970011136674e-01
1.020160132310600209e-01,5.183508614606692211e-01
4.361227231905800972e-01,6.021646768213873013e-02
4.758862391051433827e-01,9.465977749477073599e-01
4.213173951950385243e-01,9.608809853817290580e-01
7.917983449267099738e-01,3.597481107947370083e-01
2.989103304681297590e-01,7.459844740897468851e-01
3.193960267926020391e-01,1.319544034878745720e-01
6.985109600700935006e-01,8.170487428525835538e-01
2.235127532768164116e-01,7.053840825739879916e-01
6.342945983361811813e-01,7.326087520436782574e-01
7.997084941034541261e-01,6.132542809907950421e-01
2.849552211609360786e-01,6.096969859969103567e-01
5.277256142092587865e-01,8.943243768521184078e-01
5.955205947090359553e-01,2.969230224065085855e-01
8.394390655976128324e-01,5.510971465116731860e-01
5.726836044730836406e-01,9.520758462307427061e-01
3.572062306593222214e-01,6.893030491870338894e-01
3.696279419128785104e-01,7.855417624411152877e-01
5.435405237582073834e-01,3.872851976717276434e-01
7.003823206314131466e-01,8.762570306130571529e-01
2.127604933696936040e-02,6.055981605592138939e-01
1.359488570327503920e-01,4.768684558233216020e-01
5.076924488922074374e-02,6.932167694569175698e-01
8.365209871192620383e-01,6.686579023161102198e-01
8.871170306995173060e-01,6.892635039514469764e-01
7.293693983726423635e-02,3.874571716065445814e-01
6.648349491611186268e-01,8.334166215134880540e-01
8.950039124185019679e-01,8.718818611574832289e-01
4.821070423069029331e-02,8.668579766193342806e-01
7.514099949474462026e-01,6.967076475879614428e-01
1.407538478162003726e-01,5.715108426687767196e-01
1.914123913762444396e-02,2.318694594574665091e-01
5.954320935450252428e-02,1.784554404361944346e-01
9.792535903378826179e-01,5.853840649639830973e-01
1.637475202766623950e-01,9.158051992478747350e-01
4.253917541437090000e-01,8.787826027783754990e-01
7.824849051500731845e-01,5.182271185323243934e-01
7.820329289014518181e-01,3.996400539520706952e-01
5.948847663667459207e-01,7.876750866141403185e-01
3.651212657421506469e-01,4.743545023673323424e-02
7.935629280695108978e-01,4.783106766738753901e-02
5.197101383146177644e-01,1.347388248083015716e-01
8.861457322669489267e-01,2.287714016153794550e-01
7.568890064847948462e-01,1.264941521530756896e-01
1.100630469229210151e-01,1.152554485989266686e-01
2.469622068357513189e-02,4.642318605617382632e-01
5.129405117707095396e-01,5.375817023330287103e-02
6.749261008170701626e-01,2.575574823459152451e-01
8.952074499689962606e-01,3.663751365975547181e-01
7.075743762888955235e-01,3.329534464364535262e-01
1.099132599557797185e-01,3.687056169873272893e-01
1.351454459625457405e-01,5.797230638206974929e-01
4.189758806128032198e-01,3.909997331566716916e-01
2.744070008711750885e-01,2.162932532066647040e-01
9.923658602647165150e-01,5.072810452939569004e-02
5.749738305129699079e-01,9.538599217106736861e-01
1.691268871193954970e-01,4.274322854133199012e-01
6.462986606385654476e-01,8.318944586181810097e-01
8.425276533480731134e-01,3.584441979070834838e-01
3.832444415622848766e-01,3.518883970736943478e-01
6.933842797986680129e-01,1.141427840262244642e-01
2.776937736030156145e-01,3.453234520037230526e-01
7.154460136200205822e-01,1.984975438261608049e-01
7.864158145661473975e-01,7.968959895770647561e-01
