x(m),wallP(Pa)
8.089705132891320538e-01,1.795814834421127770e-02
1.896325821403168632e-01,3.312901716413816366e-01
2.526574600463395992e-01,7.249508656977916576e-01
6.250768326824175380e-01,7.627128221630443683e-01
3.348949476976911255e-01,9.246183538850468731e-01
4.679692509483124319e-01,5.521755850335761107e-01
8.537189010839058012e-01,8.865515031424929804e-01
8.787223219899130688e-01,7.204726554586905474e-01
2.601157873019674938e-01,5.011486861200136200e-01
6.757211812208536728e-01,6.152219852110489828e-01
3.175603170840214373e-01,3.145813676258600866e-01
8.763518394495608543e-01,8.237457594659234328e-01
6.497254235065178518e-01,5.534086919345817535e-01
6.109148622524677164e-01,7.232496219891876299e-01
4.849691572797820704e-01,3.438313700897754899e-01
8.962380676723084028e-01,4.004535669751981830e-01
8.496026342457172476e-01,6.781242804915016409e-01
2.592152981008987167e-01,9.542238790987922492e-01
1.539034280073386940e-01,6.553017972307604300e-01
4.215359129202759236e-01,9.831210047632250593e-01
1.198820679806122946e-02,6.797584345655433014e-01
7.086672478428829303e-01,6.724243702988748073e-01
1.142505856433276845e-01,7.461794911724151103e-02
2.059075216417687315e-01,9.228021512969070139e-01
7.937083122387282863e-01,3.909779691527878187e-01
6.884351392116859758e-01,9.125793546617484431e-01
9.576509176726991646e-01,6.834000895086568272e-01
2.477588893249338398e-01,9.404371985972374004e-01
5.601027140735936882e-02,7.922914633184741096e-01
1.302842075431187574e-01,9.296584348017811195e-02
7.326310144236021227e-01,3.093734383040759317e-01
4.232637635002811649e-03,9.201538865497730368e-01
7.032239573688299217e-01,1.496329419271419381e-01
6.462340883925741242e-01,8.861426060499666413e-02
9.772308872412305281e-01,5.849297667012105517e-01
4.740471228642295642e-02,8.836303474569991989e-01
8.845956496988999218e-01,7.653913855321463622e-01
7.424770429064022625e-01,5.681028588923979772e-01
3.640122369020361015e-01,4.887949321443536554e-01
9.294023776995103958e-01,2.836446664281923047e-01
9.810526642392158880e-01,9.258242372663171293e-01
2.867792879660966410e-01,6.051128731399461058e-01
2.121480741566348360e-01,5.859496495121458981e-01
9.307916281241246370e-02,9.888076550020135080e-01
2.483010639704730238e-01,7.007170987710992227e-01
7.985640325652075822e-01,3.081989390837648335e-01
7.381124000410060892e-01,4.731041383572898162e-01
5.280268332942783527e-01,6.879822761446630075e-01
4.478433673840762630e-01,8.477286437701704314e-01
9.537519114266570508e-01,7.365669201935894916e-01
8.150384021899076403e-01,6.470276586136700647e-01
3.229203167651377715e-01,8.037014283272814197e-02
8.841473107060211500e-01,6.062959566477789108e-01
7.949424021917838035e-01,3.751126602198014970e-01
7.736346476289958085e-01,1.564055445574334957e-01
6.190735804934298647e-01,6.482694854576706023e-01
7.900728011815474350e-01,6.459795842175952707e-02
1.835302086983279235e-01,4.636818564823539379e-01
2.389616798359459615e-01,1.894317944969695633e-01
7.467679284863706357e-01,3.055485899378165282e-01
7.231076737748843852e-01,1.214672034279815627e-01
1.252197671411044988e-01,2.990544020941546810e-01
4.166110748267143338e-01,7.618159203223984210e-01
4.809388464514670058e-01,4.821373512865529953e-01
8.369226909201149534e-01,8.530178097814253846e-01
5.702303669209340953e-02,2.385337460311843794e-01
2.415218049225292818e-01,1.876938816119816389e-01
3.236836259698434581e-01,6.895772505427849586e-01
8.347280051285258518e-01,1.780970006454845045e-01
1.117169874185974798e-02,4.213810091059558838e-01
7.174996882610097382e-01,8.066067433214947346e-01
5.966611702806322581e-01,4.800748862157089292e-04
4.050466743079338405e-01,2.721428523258824228e-01
3.696915533992313208e-01,2.488129154755207573e-01
4.345963476534544512e-01,7.825384919058401278e-01
1.391107284410665335e-01,9.415769255312137487e-01
7.519590445661817890e-01,4.313011009307323729e-01
1.593233357425009045e-01,5.033607148563156164e-01
9.635465020663693814e-01,5.018949144864059964e-02
6.685539384529204376e-02,1.495055051388003431e-01
8.197482376208464760e-02,6.657938104160977533e-01
6.873920719553512360e-01,6.077789749632046545e-01
1.956288891930177964e-01,2.303955872062031229e-01
9.411605966168501425e-01,9.308010620987395844e-01
5.313433542969181467e-01,1.706889050776952965e-01
8.396396545059308103e-01,8.080454236431895421e-01
8.612278673207776070e-01,2.647046839613610425e-01
5.759854838653487574e-01,3.696477254343324415e-01
8.936880883632469796e-02,3.287470915629946422e-01
7.193267044209437078e-01,3.296925635123946208e-01
5.965138681679915678e-03,7.934522262589329689e-01
4.715608825686652406e-01,2.444890174385800918e-01
9.101733622905782140e-01,4.799069551451495830e-01
5.542324252383326044e-01,1.854685606272142850e-01
5.696471904489673888e-01,7.177204788847828532e-01
8.204671817114940202e-01,1.341665198186012820e-01
9.340656670403238993e-01,2.066642891835712703e-02
4.651568906149106120e-01,1.331315078028371124e-01
3.754186003214388112e-02,7.471389703319094577e-01
9.203590125124211374e-01,4.461423513614612979e-01
